date,value,update_date
1997-05-01,549.62,2022-07-24
1997-06-01,551.74,2022-07-24
1997-07-01,561.83,2022-07-24
1997-08-01,572.83,2022-07-24
1997-09-01,564.72,2022-07-24
1997-10-01,558.5,2022-07-24
1997-11-01,555.81,2022-07-24
1997-12-01,571.98,2022-07-24
1998-01-01,580.27,2022-07-24
1998-02-01,572.16,2022-07-24
1998-03-01,568.45,2022-07-24
1998-04-01,563.34,2022-07-24
1998-05-01,559,2022-07-24
1998-06-01,562.74,2022-07-24
1998-07-01,559.98,2022-07-24
1998-08-01,506.65,2022-07-24
1998-09-01,230.9,2022-07-24
1998-10-01,207.59,2022-07-24
1998-11-01,202.17,2022-07-24
1998-12-01,165.35,2022-07-24
1999-01-01,145.44,2022-07-24
1999-02-01,148.51,2022-07-24
1999-03-01,144.79,2022-07-24
1999-04-01,138.95,2022-07-24
1999-05-01,143.67,2022-07-24
1999-06-01,147.01,2022-07-24
1999-07-01,147.81,2022-07-24
1999-08-01,143.33,2022-07-24
1999-09-01,139.25,2022-07-24
1999-10-01,136.38,2022-07-24
1999-11-01,135.96,2022-07-24
1999-12-01,134.49,2022-07-24
2000-01-01,127.88,2022-07-24
2000-02-01,128.44,2022-07-24
2000-03-01,130.84,2022-07-24
2000-04-01,131.54,2022-07-24
2000-05-01,137.02,2022-07-24
2000-06-01,133.98,2022-07-24
2000-07-01,136.82,2022-07-24
2000-08-01,140.13,2022-07-24
2000-09-01,142.96,2022-07-24
2000-10-01,144.45,2022-07-24
2000-11-01,145.14,2022-07-24
2000-12-01,140.73,2022-07-24
2001-01-01,136.29,2022-07-24
2001-02-01,136.94,2022-07-24
2001-03-01,139.01,2022-07-24
2001-04-01,140.74,2022-07-24
2001-05-01,140.92,2022-07-24
2001-06-01,142.57,2022-07-24
2001-07-01,142.2,2022-07-24
2001-08-01,138.12,2022-07-24
2001-09-01,136.98,2022-07-24
2001-10-01,137.41,2022-07-24
2001-11-01,137.32,2022-07-24
2001-12-01,135.54,2022-07-24
2002-01-01,134.74,2022-07-24
2002-02-01,134.86,2022-07-24
2002-03-01,133.06,2022-07-24
2002-04-01,131.45,2022-07-24
2002-05-01,128.39,2022-07-24
2002-06-01,124.75,2022-07-24
2002-07-01,121.44,2022-07-24
2002-08-01,122.58,2022-07-24
2002-09-01,122.28,2022-07-24
2002-10-01,122.47,2022-07-24
2002-11-01,120,2022-07-24
2002-12-01,118.72,2022-07-24
2003-01-01,115.81,2022-07-24
2003-02-01,115.71,2022-07-24
2003-03-01,116.69,2022-07-24
2003-04-01,117.22,2022-07-24
2003-05-01,113.17,2022-07-24
2003-06-01,114.27,2022-07-24
2003-07-01,116.43,2022-07-24
2003-08-01,117.92,2022-07-24
2003-09-01,116.04,2022-07-24
2003-10-01,114.67,2022-07-24
2003-11-01,116.01,2022-07-24
2003-12-01,114.03,2022-07-24
2004-01-01,114.12,2022-07-24
2004-02-01,115.06,2022-07-24
2004-03-01,117.19,2022-07-24
2004-04-01,117.83,2022-07-24
2004-05-01,117.59,2022-07-24
2004-06-01,116.2,2022-07-24
2004-07-01,115.07,2022-07-24
2004-08-01,115.22,2022-07-24
2004-09-01,114.95,2022-07-24
2004-10-01,113.82,2022-07-24
2004-11-01,112.2,2022-07-24
2004-12-01,112.1,2022-07-24
2005-01-01,113.17,2022-07-24
2005-02-01,113.4,2022-07-24
2005-03-01,113.74,2022-07-24
2005-04-01,114.81,2022-07-24
2005-05-01,115.48,2022-07-24
2005-06-01,116.05,2022-07-24
2005-07-01,116.51,2022-07-24
2005-08-01,115.41,2022-07-24
2005-09-01,115.96,2022-07-24
2005-10-01,117.12,2022-07-24
2005-11-01,117.89,2022-07-24
2005-12-01,117.07,2022-07-24
2006-01-01,116.77,2022-07-24
2006-02-01,118.31,2022-07-24
2006-03-01,119.49,2022-07-24
2006-04-01,119.25,2022-07-24
2006-05-01,118.16,2022-07-24
2006-06-01,120.01,2022-07-24
2006-07-01,120.13,2022-07-24
2006-08-01,119.79,2022-07-24
2006-09-01,120.34,2022-07-24
2006-10-01,120.43,2022-07-24
2006-11-01,119.57,2022-07-24
2006-12-01,118.81,2022-07-24
2007-01-01,119.24,2022-07-24
2007-02-01,119.61,2022-07-24
2007-03-01,119.49,2022-07-24
2007-04-01,118.99,2022-07-24
2007-05-01,118.85,2022-07-24
2007-06-01,118.99,2022-07-24
2007-07-01,118.6,2022-07-24
2007-08-01,118.72,2022-07-24
2007-09-01,118.38,2022-07-24
2007-10-01,118.24,2022-07-24
2007-11-01,117.51,2022-07-24
2007-12-01,117.68,2022-07-24
2008-01-01,116.9,2022-07-24
2008-02-01,116.34,2022-07-24
2008-03-01,116.37,2022-07-24
2008-04-01,116.42,2022-07-24
2008-05-01,116.4,2022-07-24
2008-06-01,116.64,2022-07-24
2008-07-01,116.59,2022-07-24
2008-08-01,116.27,2022-07-24
2008-09-01,114.64,2022-07-24
2008-10-01,116.3,2022-07-24
2008-11-01,116.39,2022-07-24
2008-12-01,109.91,2022-07-24
2009-01-01,97.81,2022-07-24
2009-02-01,89.98,2022-07-24
2009-03-01,92.75,2022-07-24
2009-04-01,94.21,2022-07-24
2009-05-01,96.1,2022-07-24
2009-06-01,97.19,2022-07-24
2009-07-01,95.17,2022-07-24
2009-08-01,93.59,2022-07-24
2009-09-01,95.08,2022-07-24
2009-10-01,98.07,2022-07-24
2009-11-01,99.17,2022-07-24
2009-12-01,96.76,2022-07-24
2010-01-01,98.41,2022-07-24
2010-02-01,99.67,2022-07-24
2010-03-01,101.88,2022-07-24
2010-04-01,103.64,2022-07-24
2010-05-01,103.52,2022-07-24
2010-06-01,102.6,2022-07-24
2010-07-01,101.49,2022-07-24
2010-08-01,101.22,2022-07-24
2010-09-01,98.72,2022-07-24
2010-10-01,96.2,2022-07-24
2010-11-01,95.1,2022-07-24
2010-12-01,97.56,2022-07-24
2011-01-01,98.76,2022-07-24
2011-02-01,100.49,2022-07-24
2011-03-01,101.99,2022-07-24
2011-04-01,101.23,2022-07-24
2011-05-01,101.92,2022-07-24
2011-06-01,101.49,2022-07-24
2011-07-01,101.97,2022-07-24
2011-08-01,98.61,2022-07-24
2011-09-01,95.16,2022-07-24
2011-10-01,94.13,2022-07-24
2011-11-01,96.16,2022-07-24
2011-12-01,95.6,2022-07-24
2012-01-01,96.88,2022-07-24
2012-02-01,99.93,2022-07-24
2012-03-01,101.93,2022-07-24
2012-04-01,101.71,2022-07-24
2012-05-01,98.77,2022-07-24
2012-06-01,94.31,2022-07-24
2012-07-01,95.99,2022-07-24
2012-08-01,96.83,2022-07-24
2012-09-01,96.43,2022-07-24
2012-10-01,96.79,2022-07-24
2012-11-01,96.59,2022-07-24
