date,value,update_date
1992-01-01,46.94867,2022-07-24
1992-02-01,48.31941,2022-07-24
1992-03-01,48.22012,2022-07-24
1992-04-01,48.62863,2022-07-24
1992-05-01,48.60557,2022-07-24
1992-06-01,48.72549,2022-07-24
1992-07-01,50.82103,2022-07-24
1992-08-01,50.4721,2022-07-24
1992-09-01,49.13035,2022-07-24
1992-10-01,45.97592,2022-07-24
1992-11-01,43.91414,2022-07-24
1992-12-01,44.78619,2022-07-24
1993-01-01,44.41303,2022-07-24
1993-02-01,44.18963,2022-07-24
1993-03-01,43.04475,2022-07-24
1993-04-01,41.50349,2022-07-24
1993-05-01,40.28054,2022-07-24
1993-06-01,40.55691,2022-07-24
1993-07-01,40.60402,2022-07-24
1993-08-01,39.96885,2022-07-24
1993-09-01,38.38224,2022-07-24
1993-10-01,37.06463,2022-07-24
1993-11-01,36.74625,2022-07-24
1993-12-01,38.66492,2022-07-24
1994-01-01,40.15048,2022-07-24
1994-02-01,41.69469,2022-07-24
1994-03-01,41.78528,2022-07-24
1994-04-01,41.21174,2022-07-24
1994-05-01,44.19899,2022-07-24
1994-06-01,46.67674,2022-07-24
1994-07-01,47.96943,2022-07-24
1994-08-01,46.8555,2022-07-24
1994-09-01,49.45609,2022-07-24
1994-10-01,51.56603,2022-07-24
1994-11-01,56.15809,2022-07-24
1994-12-01,58.49042,2022-07-24
1995-01-01,62.25714,2022-07-24
1995-02-01,58.10806,2022-07-24
1995-03-01,56.36097,2022-07-24
1995-04-01,56.66586,2022-07-24
1995-05-01,54.93148,2022-07-24
1995-06-01,57.08011,2022-07-24
1995-07-01,59.43499,2022-07-24
1995-08-01,59.84172,2022-07-24
1995-09-01,57.0605,2022-07-24
1995-10-01,55.27628,2022-07-24
1995-11-01,57.04395,2022-07-24
1995-12-01,56.14846,2022-07-24
1996-01-01,53.66757,2022-07-24
1996-02-01,54.35116,2022-07-24
1996-03-01,54.56643,2022-07-24
1996-04-01,54.47596,2022-07-24
1996-05-01,55.00949,2022-07-24
1996-06-01,50.41795,2022-07-24
1996-07-01,48.21615,2022-07-24
1996-08-01,48.30605,2022-07-24
1996-09-01,47.52087,2022-07-24
1996-10-01,46.51645,2022-07-24
1996-11-01,49.03483,2022-07-24
1996-12-01,49.18577,2022-07-24
1997-01-01,51.62501,2022-07-24
1997-02-01,52.47233,2022-07-24
1997-03-01,53.37683,2022-07-24
1997-04-01,51.66395,2022-07-24
1997-05-01,53.31089,2022-07-24
1997-06-01,52.80315,2022-07-24
1997-07-01,52.08614,2022-07-24
1997-08-01,52.14427,2022-07-24
1997-09-01,50.04942,2022-07-24
1997-10-01,48.66999,2022-07-24
1997-11-01,47.388,2022-07-24
1997-12-01,45.28233,2022-07-24
1998-01-01,43.93987,2022-07-24
1998-02-01,43.21095,2022-07-24
1998-03-01,43.54301,2022-07-24
1998-04-01,43.84257,2022-07-24
1998-05-01,42.34175,2022-07-24
1998-06-01,40.49114,2022-07-24
1998-07-01,40.4321,2022-07-24
1998-08-01,39.77086,2022-07-24
1998-09-01,40.08586,2022-07-24
1998-10-01,38.71178,2022-07-24
1998-11-01,38.77705,2022-07-24
1998-12-01,37.27276,2022-07-24
1999-01-01,36.3979,2022-07-24
1999-02-01,36.91799,2022-07-24
1999-03-01,37.29984,2022-07-24
1999-04-01,38.76981,2022-07-24
1999-05-01,39.98686,2022-07-24
1999-06-01,39.01817,2022-07-24
1999-07-01,41.90473,2022-07-24
1999-08-01,43.13645,2022-07-24
1999-09-01,45.28414,2022-07-24
1999-10-01,45.08805,2022-07-24
1999-11-01,45.82238,2022-07-24
1999-12-01,47.048,2022-07-24
2000-01-01,49.22408,2022-07-24
2000-02-01,50.27582,2022-07-24
2000-03-01,49.80563,2022-07-24
2000-04-01,47.73866,2022-07-24
2000-05-01,48.89688,2022-07-24
2000-06-01,46.75879,2022-07-24
2000-07-01,47.3419,2022-07-24
2000-08-01,47.33052,2022-07-24
2000-09-01,49.5039,2022-07-24
