date,value,update_date
1992-01-01,45.01169,2022-07-24
1992-02-01,44.36087,2022-07-24
1992-03-01,44.02004,2022-07-24
1992-04-01,46.56082,2022-07-24
1992-05-01,48.60198,2022-07-24
1992-06-01,51.07982,2022-07-24
1992-07-01,50.26847,2022-07-24
1992-08-01,50.04129,2022-07-24
1992-09-01,51.59094,2022-07-24
1992-10-01,51.76054,2022-07-24
1992-11-01,49.20104,2022-07-24
1992-12-01,47.29429,2022-07-24
1993-01-01,46.02839,2022-07-24
1993-02-01,46.89583,2022-07-24
1993-03-01,48.47814,2022-07-24
1993-04-01,48.86877,2022-07-24
1993-05-01,47.77424,2022-07-24
1993-06-01,46.03778,2022-07-24
1993-07-01,44.41656,2022-07-24
1993-08-01,45.02073,2022-07-24
1993-09-01,43.66043,2022-07-24
1993-10-01,43.96535,2022-07-24
1993-11-01,42.35082,2022-07-24
1993-12-01,38.66061,2022-07-24
1994-01-01,40.23542,2022-07-24
1994-02-01,40.7503,2022-07-24
1994-03-01,38.93983,2022-07-24
1994-04-01,41.12679,2022-07-24
1994-05-01,43.09874,2022-07-24
1994-06-01,44.79791,2022-07-24
1994-07-01,46.21999,2022-07-24
1994-08-01,43.95387,2022-07-24
1994-09-01,42.25318,2022-07-24
1994-10-01,43.18217,2022-07-24
1994-11-01,44.5072,2022-07-24
1994-12-01,43.19054,2022-07-24
1995-01-01,44.37329,2022-07-24
1995-02-01,45.48941,2022-07-24
1995-03-01,45.69554,2022-07-24
1995-04-01,48.34851,2022-07-24
1995-05-01,47.907,2022-07-24
1995-06-01,46.1941,2022-07-24
1995-07-01,43.53952,2022-07-24
1995-08-01,44.23476,2022-07-24
1995-09-01,44.97725,2022-07-24
1995-10-01,44.47136,2022-07-24
1995-11-01,45.82712,2022-07-24
1995-12-01,49.70715,2022-07-24
1996-01-01,50.22714,2022-07-24
1996-02-01,52.77348,2022-07-24
1996-03-01,53.03227,2022-07-24
1996-04-01,53.47569,2022-07-24
1996-05-01,50.61988,2022-07-24
1996-06-01,50.30081,2022-07-24
1996-07-01,52.14508,2022-07-24
1996-08-01,52.12969,2022-07-24
1996-09-01,55.42147,2022-07-24
1996-10-01,59.57203,2022-07-24
1996-11-01,60.46707,2022-07-24
1996-12-01,64.53333,2022-07-24
1997-01-01,61.81942,2022-07-24
1997-02-01,53.66771,2022-07-24
1997-03-01,50.68303,2022-07-24
1997-04-01,48.02129,2022-07-24
1997-05-01,51.01629,2022-07-24
1997-06-01,48.41464,2022-07-24
1997-07-01,48.69928,2022-07-24
1997-08-01,50.1349,2022-07-24
1997-09-01,51.21457,2022-07-24
1997-10-01,53.83956,2022-07-24
1997-11-01,51.5212,2022-07-24
1997-12-01,46.55874,2022-07-24
1998-01-01,42.04836,2022-07-24
1998-02-01,40.49122,2022-07-24
1998-03-01,38.58156,2022-07-24
1998-04-01,39.18139,2022-07-24
1998-05-01,39.27191,2022-07-24
1998-06-01,36.57658,2022-07-24
1998-07-01,36.74026,2022-07-24
1998-08-01,35.2614,2022-07-24
1998-09-01,37.84625,2022-07-24
1998-10-01,36.57809,2022-07-24
1998-11-01,34.62235,2022-07-24
1998-12-01,30.92262,2022-07-24
1999-01-01,32.58457,2022-07-24
1999-02-01,31.45846,2022-07-24
1999-03-01,34.98186,2022-07-24
1999-04-01,40.72887,2022-07-24
1999-05-01,42.04551,2022-07-24
1999-06-01,42.71985,2022-07-24
1999-07-01,47.30033,2022-07-24
1999-08-01,51.40124,2022-07-24
1999-09-01,54.86658,2022-07-24
1999-10-01,55.66719,2022-07-24
1999-11-01,58.0509,2022-07-24
1999-12-01,59.41905,2022-07-24
2000-01-01,62.42022,2022-07-24
2000-02-01,66.61145,2022-07-24
2000-03-01,67.22503,2022-07-24
2000-04-01,61.4063,2022-07-24
2000-05-01,68.95993,2022-07-24
2000-06-01,75.49949,2022-07-24
2000-07-01,73.04161,2022-07-24
2000-08-01,76.55852,2022-07-24
2000-09-01,83.12187,2022-07-24
2000-10-01,82.6356,2022-07-24
2000-11-01,85.1506,2022-07-24
2000-12-01,84.12611,2022-07-24
2001-01-01,83.18145,2022-07-24
2001-02-01,76.91737,2022-07-24
2001-03-01,72.36153,2022-07-24
2001-04-01,73.3759,2022-07-24
2001-05-01,73.7583,2022-07-24
2001-06-01,71.15427,2022-07-24
2001-07-01,64.96656,2022-07-24
2001-08-01,66.10252,2022-07-24
2001-09-01,62.71931,2022-07-24
2001-10-01,55.4313,2022-07-24
2001-11-01,50.46601,2022-07-24
2001-12-01,49.7152,2022-07-24
2002-01-01,49.58256,2022-07-24
2002-02-01,51.2705,2022-07-24
2002-03-01,59.61354,2022-07-24
2002-04-01,63.67392,2022-07-24
2002-05-01,64.46622,2022-07-24
2002-06-01,61.4731,2022-07-24
2002-07-01,63.70658,2022-07-24
2002-08-01,64.74497,2022-07-24
2002-09-01,69.05976,2022-07-24
