date,value,update_date
1990-01-01,167.91858,2022-07-24
1990-02-01,160.93727,2022-07-24
1990-03-01,156.52803,2022-07-24
1990-04-01,159.46753,2022-07-24
1990-05-01,149.17929,2022-07-24
1990-06-01,135.58414,2022-07-24
1990-07-01,124.92847,2022-07-24
1990-08-01,116.84486,2022-07-24
1990-09-01,114.27281,2022-07-24
1990-10-01,114.64024,2022-07-24
1990-11-01,112.80307,2022-07-24
1990-12-01,113.17049,2022-07-24
1991-01-01,111.33332,2022-07-24
1991-02-01,113.90537,2022-07-24
1991-03-01,119.41692,2022-07-24
1991-04-01,120.88667,2022-07-24
1991-05-01,122.03675,2022-07-24
1991-06-01,120.15179,2022-07-24
1991-07-01,118.20959,2022-07-24
1991-08-01,125.32684,2022-07-24
1991-09-01,135.37288,2022-07-24
1991-10-01,146.88719,2022-07-24
1991-11-01,149.53653,2022-07-24
1991-12-01,160.83667,2022-07-24
1992-01-01,169.95477,2022-07-24
1992-02-01,177.1306,2022-07-24
1992-03-01,169.35074,2022-07-24
1992-04-01,159.9312,2022-07-24
1992-05-01,149.68912,2022-07-24
1992-06-01,148.66573,2022-07-24
1992-07-01,136.31902,2022-07-24
1992-08-01,128.16849,2022-07-24
1992-09-01,138.73579,2022-07-24
1992-10-01,140.58128,2022-07-24
1992-11-01,147.57419,2022-07-24
1992-12-01,147.82765,2022-07-24
1993-01-01,155.65077,2022-07-24
1993-02-01,148.88438,2022-07-24
1993-03-01,147.89966,2022-07-24
1993-04-01,141.9924,2022-07-24
1993-05-01,136.58081,2022-07-24
1993-06-01,121.81779,2022-07-24
1993-07-01,127.5224,2022-07-24
1993-08-01,129.79701,2022-07-24
1993-09-01,131.29431,2022-07-24
1993-10-01,135.95616,2022-07-24
1993-11-01,146.5016,2022-07-24
1993-12-01,158.64539,2022-07-24
1994-01-01,153.20798,2022-07-24
1994-02-01,147.03752,2022-07-24
1994-03-01,141.04378,2022-07-24
1994-04-01,140.45267,2022-07-24
1994-05-01,140.14735,2022-07-24
1994-06-01,139.30443,2022-07-24
1994-07-01,137.60045,2022-07-24
1994-08-01,146.02412,2022-07-24
1994-09-01,158.78514,2022-07-24
1994-10-01,167.18806,2022-07-24
1994-11-01,161.98677,2022-07-24
1994-12-01,164.62175,2022-07-24
1995-01-01,156.21309,2022-07-24
1995-02-01,154.4201,2022-07-24
1995-03-01,150.38599,2022-07-24
1995-04-01,148.97865,2022-07-24
1995-05-01,158.61156,2022-07-24
1995-06-01,169.98079,2022-07-24
1995-07-01,190.08528,2022-07-24
1995-08-01,184.3933,2022-07-24
1995-09-01,193.67128,2022-07-24
1995-10-01,203.79175,2022-07-24
1995-11-01,204.06732,2022-07-24
1995-12-01,208.92494,2022-07-24
1996-01-01,196.4283,2022-07-24
1996-02-01,206.16696,2022-07-24
1996-03-01,205.25712,2022-07-24
1996-04-01,239.51622,2022-07-24
1996-05-01,248.59487,2022-07-24
1996-06-01,215.22603,2022-07-24
1996-07-01,196.38691,2022-07-24
1996-08-01,181.49701,2022-07-24
1996-09-01,170.98053,2022-07-24
1996-10-01,169.59598,2022-07-24
1996-11-01,169.26582,2022-07-24
1996-12-01,167.83107,2022-07-24
1997-01-01,167.79075,2022-07-24
1997-02-01,164.1707,2022-07-24
1997-03-01,167.70859,2022-07-24
1997-04-01,175.56792,2022-07-24
1997-05-01,168.40291,2022-07-24
1997-06-01,141.20066,2022-07-24
1997-07-01,130.40807,2022-07-24
1997-08-01,139.34598,2022-07-24
1997-09-01,138.2397,2022-07-24
1997-10-01,136.20717,2022-07-24
1997-11-01,135.38204,2022-07-24
1997-12-01,129.72911,2022-07-24
1998-01-01,127.35021,2022-07-24
1998-02-01,128.30888,2022-07-24
1998-03-01,128.2354,2022-07-24
1998-04-01,118.1977,2022-07-24
1998-05-01,118.3496,2022-07-24
1998-06-01,112.36881,2022-07-24
1998-07-01,106.62054,2022-07-24
1998-08-01,97.00328,2022-07-24
1998-09-01,97.57114,2022-07-24
1998-10-01,112.15567,2022-07-24
1998-11-01,115.61132,2022-07-24
1998-12-01,111.80459,2022-07-24
1999-01-01,111.89321,2022-07-24
1999-02-01,104.27853,2022-07-24
1999-03-01,104.57567,2022-07-24
1999-04-01,102.33111,2022-07-24
1999-05-01,99.61033,2022-07-24
