date,value,update_date
1990-01-01,1294,2022-07-24
1990-02-01,1394,2022-07-24
1990-03-01,1666,2022-07-24
1990-04-01,1686,2022-07-24
1990-05-01,1775,2022-07-24
1990-06-01,1715,2022-07-24
1990-07-01,1637,2022-07-24
1990-08-01,1615,2022-07-24
1990-09-01,1537,2022-07-24
1990-10-01,1353,2022-07-24
1990-11-01,1278,2022-07-24
1990-12-01,1265,2022-07-24
1991-01-01,1206,2022-07-24
1991-02-01,1188,2022-07-24
1991-03-01,1199,2022-07-24
1991-04-01,1254,2022-07-24
1991-05-01,1127.73999,2022-07-24
1991-06-01,1067.44995,2022-07-24
1991-07-01,1063.41333,2022-07-24
1991-08-01,1047.73999,2022-07-24
1991-09-01,1025.6001,2022-07-24
1991-10-01,991.6499,2022-07-24
1991-11-01,1100.65015,2022-07-24
1991-12-01,1185.0791,2022-07-24
1992-01-01,1157.65918,2022-07-24
1992-02-01,1135.4751,2022-07-24
1992-03-01,1217.77271,2022-07-24
1992-04-01,1304.94995,2022-07-24
1992-05-01,1377.73682,2022-07-24
1992-06-01,1385.40918,2022-07-24
1992-07-01,1320.40918,2022-07-24
1992-08-01,1363.40015,2022-07-24
1992-09-01,1367.11914,2022-07-24
1992-10-01,1158.36377,2022-07-24
1992-11-01,1052.23804,2022-07-24
1992-12-01,1061.4762,2022-07-24
1993-01-01,1067.57495,2022-07-24
1993-02-01,1073.625,2022-07-24
1993-03-01,996.76086,2022-07-24
1993-04-01,1006,2022-07-24
1993-05-01,979.26318,2022-07-24
1993-06-01,928.22729,2022-07-24
1993-07-01,930.06818,2022-07-24
1993-08-01,886.83331,2022-07-24
1993-09-01,875.72729,2022-07-24
1993-10-01,918.57141,2022-07-24
1993-11-01,929.38635,2022-07-24
1993-12-01,975.53497,2022-07-24
1994-01-01,998.59521,2022-07-24
1994-02-01,969.75,2022-07-24
1994-03-01,937.6087,2022-07-24
1994-04-01,924.3421,2022-07-24
1994-05-01,956.71429,2022-07-24
1994-06-01,966,2022-07-24
1994-07-01,962.64288,2022-07-24
1994-08-01,946.90912,2022-07-24
1994-09-01,993.54547,2022-07-24
1994-10-01,1059.54761,2022-07-24
1994-11-01,1150.27271,2022-07-24
1994-12-01,1112.75,2022-07-24
1995-01-01,1154.80957,2022-07-24
1995-02-01,1030.67505,2022-07-24
1995-03-01,1021.69568,2022-07-24
1995-04-01,1059.13892,2022-07-24
1995-05-01,1036.61902,2022-07-24
1995-06-01,1007.77271,2022-07-24
1995-07-01,1028.05505,2022-07-24
1995-08-01,1015.47729,2022-07-24
1995-09-01,988.02502,2022-07-24
1995-10-01,980.43182,2022-07-24
1995-11-01,1033.19043,2022-07-24
1995-12-01,1017.1579,2022-07-24
1996-01-01,1019.69049,2022-07-24
1996-02-01,1035.83337,2022-07-24
1996-03-01,1063.25,2022-07-24
1996-04-01,1043.94995,2022-07-24
1996-05-01,1036.54761,2022-07-24
1996-06-01,1009.40002,2022-07-24
1996-07-01,1000.52173,2022-07-24
1996-08-01,1007.95239,2022-07-24
1996-09-01,998.9762,2022-07-24
1996-10-01,1002.71741,2022-07-24
1996-11-01,1044.31433,2022-07-24
1996-12-01,1036.54761,2022-07-24
1997-01-01,1086.13635,2022-07-24
1997-02-01,1178.15796,2022-07-24
1997-03-01,1254.34216,2022-07-24
1997-04-01,1240.02271,2022-07-24
1997-05-01,1310.125,2022-07-24
1997-06-01,1354.9762,2022-07-24
1997-07-01,1517.02173,2022-07-24
1997-08-01,1650.625,2022-07-24
1997-09-01,1638.28577,2022-07-24
1997-10-01,1276.67395,2022-07-24
1997-11-01,1171.15002,2022-07-24
1997-12-01,1101.26196,2022-07-24
1998-01-01,1096.25,2022-07-24
1998-02-01,1043.19995,2022-07-24
1998-03-01,1046.75,2022-07-24
1998-04-01,1096.17505,2022-07-24
1998-05-01,1060.36841,2022-07-24
1998-06-01,1007.59521,2022-07-24
1998-07-01,1043.5,2022-07-24
1998-08-01,1029.05005,2022-07-24
1998-09-01,999.63635,2022-07-24
