date,value,update_date
,565.3,2022-07-24
,572.7,2022-07-24
,586.8,2022-07-24
,586.1,2022-07-24
,582.3,2022-07-24
,594.6,2022-07-24
,591.3,2022-07-24
,589.6,2022-07-24
,583.4,2022-07-24
,585.7,2022-07-24
,592.1,2022-07-24
,593.1,2022-07-24
,607.1,2022-07-24
,611.1,2022-07-24
,609.4,2022-07-24
,606.5,2022-07-24
,604.4,2022-07-24
,606.2,2022-07-24
,611.8,2022-07-24
,608.9,2022-07-24
,629.4,2022-07-24
,643.2,2022-07-24
,639.6,2022-07-24
,634.9,2022-07-24
,634.1,2022-07-24
,639.6,2022-07-24
,638.2,2022-07-24
,630.5,2022-07-24
,630.6,2022-07-24
,630.5,2022-07-24
,626.3,2022-07-24
,625.5,2022-07-24
,622.8,2022-07-24
,619.8,2022-07-24
,626.3,2022-07-24
,626.2,2022-07-24
,622.1,2022-07-24
,623.2,2022-07-24
,621.6,2022-07-24
,620.3,2022-07-24
,615.4,2022-07-24
,611.9,2022-07-24
,617.9,2022-07-24
,619.8,2022-07-24
,620.1,2022-07-24
,620.8,2022-07-24
,615.6,2022-07-24
,595.6,2022-07-24
,593.8,2022-07-24
,599.3,2022-07-24
,599.6,2022-07-24
,594.5,2022-07-24
,597.4,2022-07-24
,593.8,2022-07-24
,591,2022-07-24
,592.4,2022-07-24
,595.1,2022-07-24
,604.8,2022-07-24
,605.2,2022-07-24
,605.9,2022-07-24
,600.9,2022-07-24
,593.9,2022-07-24
,590.6,2022-07-24
,590.5,2022-07-24
,589.5,2022-07-24
,583.7,2022-07-24
,580.5,2022-07-24
,574.8,2022-07-24
,577.7,2022-07-24
,580.9,2022-07-24
,580.4,2022-07-24
,580.1,2022-07-24
,589.6,2022-07-24
,585.7,2022-07-24
,591.5,2022-07-24
,586.1,2022-07-24
,589.5,2022-07-24
,592.7,2022-07-24
,590.4,2022-07-24
,597.4,2022-07-24
,597.4,2022-07-24
,592.4,2022-07-24
,593.6,2022-07-24
,587.1,2022-07-24
,587.7,2022-07-24
,583.2,2022-07-24
,584.9,2022-07-24
,583.9,2022-07-24
,587.6,2022-07-24
,584,2022-07-24
,589.8,2022-07-24
,585.3,2022-07-24
,585.3,2022-07-24
,585.8,2022-07-24
,580.7,2022-07-24
,590.9,2022-07-24
,591.8,2022-07-24
,591.7,2022-07-24
,591.8,2022-07-24
,590.8,2022-07-24
,590.2,2022-07-24
,600.7,2022-07-24
,591.8,2022-07-24
,582.7,2022-07-24
,574,2022-07-24
,574.2,2022-07-24
,569.8,2022-07-24
,568.3,2022-07-24
,567.8,2022-07-24
,570.8,2022-07-24
,565.2,2022-07-24
,563.9,2022-07-24
,565.3,2022-07-24
,562.9,2022-07-24
,562.4,2022-07-24
,567.3,2022-07-24
,569.8,2022-07-24
,569.7,2022-07-24
,564.9,2022-07-24
,564.4,2022-07-24
,560.6,2022-07-24
,551.2,2022-07-24
,581,2022-07-24
,577.8,2022-07-24
,570,2022-07-24
,563.1,2022-07-24
,562.4,2022-07-24
,562.2,2022-07-24
,562.3,2022-07-24
,559.8,2022-07-24
,558.9,2022-07-24
,557.5,2022-07-24
,556,2022-07-24
