date,value,update_date
1994-01-01,1158.57,2022-07-24
1994-04-01,1339.62,2022-07-24
1994-07-01,1371.39,2022-07-24
1994-10-01,1470.44,2022-07-24
1995-01-01,1652.85,2022-07-24
1995-04-01,1554.52,2022-07-24
1995-07-01,2483.03,2022-07-24
1995-10-01,1959.33,2022-07-24
1996-01-01,2122.49,2022-07-24
1996-04-01,2407.8,2022-07-24
1996-07-01,2352.7,2022-07-24
1996-10-01,2884.61,2022-07-24
1997-01-01,3487.29,2022-07-24
1997-04-01,3086.88,2022-07-24
1997-07-01,3475.61,2022-07-24
1997-10-01,3008.23,2022-07-24
1998-01-01,4204.88,2022-07-24
1998-04-01,4124.82,2022-07-24
1998-07-01,4651.29,2022-07-24
1998-10-01,3110.01,2022-07-24
1999-01-01,3410.01,2022-07-24
1999-04-01,2594.45,2022-07-24
1999-07-01,3403.09,2022-07-24
1999-10-01,2189.58,2022-07-24
2000-01-01,3501.63,2022-07-24
2000-04-01,2434.25,2022-07-24
2000-07-01,3516.66,2022-07-24
2000-10-01,2036.61,2022-07-24
2001-01-01,3544.57,2022-07-24
2001-04-01,2288.07,2022-07-24
2001-07-01,3214.23,2022-07-24
2001-10-01,1990.96,2022-07-24
2002-01-01,3257.2,2022-07-24
2002-04-01,2178.48,2022-07-24
2002-07-01,4132.67,2022-07-24
2002-10-01,2691.61,2022-07-24
2003-01-01,6040.58,2022-07-24
2003-04-01,5215.07,2022-07-24
2003-07-01,6874.36,2022-07-24
2003-10-01,6097.63,2022-07-24
2004-01-01,7452.06,2022-07-24
2004-04-01,3450.94,2022-07-24
2004-07-01,6632.12,2022-07-24
2004-10-01,7233.88,2022-07-24
2005-01-01,7189.11,2022-07-24
2005-04-01,9224.09,2022-07-24
2005-07-01,10062.49,2022-07-24
2005-10-01,9531.75,2022-07-24
2006-01-01,10315.99,2022-07-24
2006-04-01,15219.34,2022-07-24
2006-07-01,18056.84,2022-07-24
2006-10-01,14981.53,2022-07-24
2007-01-01,13422.05,2022-07-24
2007-04-01,21975.53,2022-07-24
2007-07-01,17443.56,2022-07-24
2007-10-01,21571.29,2022-07-24
2008-01-01,22407.67,2022-07-24
2008-04-01,33617.2,2022-07-24
2008-07-01,29922.49,2022-07-24
2008-10-01,22354.89,2022-07-24
2009-01-01,13917.82,2022-07-24
2009-04-01,19859.84,2022-07-24
2009-07-01,18165.67,2022-07-24
2009-10-01,21195.58,2022-07-24
2010-01-01,16752.25,2022-07-24
2010-04-01,23627.47,2022-07-24
2010-07-01,21828.72,2022-07-24
2010-10-01,22959.78,2022-07-24
2011-01-01,22552.61,2022-07-24
2011-04-01,30199.66,2022-07-24
2011-07-01,25116.13,2022-07-24
2011-10-01,25218.09,2022-07-24
2012-01-01,24056.56,2022-07-24
2012-04-01,32479.66,2022-07-24
2012-07-01,28258.3,2022-07-24
2012-10-01,30624.76,2022-07-24
2013-01-01,23116.08,2022-07-24
2013-04-01,35295.2,2022-07-24
2013-07-01,31368.14,2022-07-24
2013-10-01,32001.49,2022-07-24
2014-01-01,25322.16,2022-07-24
2014-04-01,35876.87,2022-07-24
2014-07-01,29537.81,2022-07-24
2014-10-01,24398.01,2022-07-24
2015-01-01,15970.19,2022-07-24
2015-04-01,24568.92,2022-07-24
2015-07-01,17423.36,2022-07-24
2015-10-01,17053.16,2022-07-24
2016-01-01,13375.48,2022-07-24
2016-04-01,22054.27,2022-07-24
2016-07-01,18678.31,2022-07-24
2016-10-01,21901.16,2022-07-24
2017-01-01,16689.05,2022-07-24
2017-04-01,24382.65,2022-07-24
2017-07-01,23187.5,2022-07-24
2017-10-01,24372.07,2022-07-24
2018-01-01,18632.75,2022-07-24
2018-04-01,28685.28,2022-07-24
2018-07-01,23915.27,2022-07-24
2018-10-01,22073.69,2022-07-24
2019-01-01,17197.35,2022-07-24
2019-04-01,33271.92,2022-07-24
2019-07-01,27458.83,2022-07-24
2019-10-01,29472.37,2022-07-24
2020-01-01,13039.31,2022-07-24
2020-04-01,21613.62,2022-07-24
2020-07-01,20950.79,2022-07-24
2020-10-01,24187.55,2022-07-24
2021-01-01,15677.83,2022-07-24
2021-04-01,32372.18,2022-07-24
2021-07-01,34176.8,2022-07-24
2021-10-01,42584.83,2022-07-24
2022-01-01,18153.63,2022-07-24
