date,value,update_date
2003-01-01,65.33935,2022-07-24
2003-02-01,70.34548,2022-07-24
2003-03-01,65.82764,2022-07-24
2003-04-01,61.86621,2022-07-24
2003-05-01,63.06104,2022-07-24
2003-06-01,64.35933,2022-07-24
2003-07-01,63.28488,2022-07-24
2003-08-01,64.43682,2022-07-24
2003-09-01,64.49913,2022-07-24
2003-10-01,67.4547,2022-07-24
2003-11-01,67.38191,2022-07-24
2003-12-01,70.50631,2022-07-24
2004-01-01,73.12336,2022-07-24
2004-02-01,72.87984,2022-07-24
2004-03-01,75.53267,2022-07-24
2004-04-01,76.47528,2022-07-24
2004-05-01,79.7447,2022-07-24
2004-06-01,78.38824,2022-07-24
2004-07-01,79.72349,2022-07-24
2004-08-01,80.96043,2022-07-24
2004-09-01,80.59264,2022-07-24
2004-10-01,86.39391,2022-07-24
2004-11-01,83.72538,2022-07-24
2004-12-01,82.56794,2022-07-24
2005-01-01,85.42658,2022-07-24
2005-02-01,87.44429,2022-07-24
2005-03-01,94.52096,2022-07-24
2005-04-01,94.07298,2022-07-24
2005-05-01,91.60428,2022-07-24
2005-06-01,95.46971,2022-07-24
2005-07-01,97.84787,2022-07-24
2005-08-01,103.80457,2022-07-24
2005-09-01,107.68723,2022-07-24
2005-10-01,107.17851,2022-07-24
2005-11-01,101.19613,2022-07-24
2005-12-01,106.182,2022-07-24
2006-01-01,107.90576,2022-07-24
2006-02-01,106.11006,2022-07-24
2006-03-01,106.82643,2022-07-24
2006-04-01,115.69857,2022-07-24
2006-05-01,119.89219,2022-07-24
2006-06-01,117.22759,2022-07-24
2006-07-01,121.71323,2022-07-24
2006-08-01,122.41103,2022-07-24
2006-09-01,112.61287,2022-07-24
2006-10-01,110.80249,2022-07-24
2006-11-01,113.44079,2022-07-24
2006-12-01,115.55069,2022-07-24
2007-01-01,110.94955,2022-07-24
2007-02-01,116.77527,2022-07-24
2007-03-01,119.50174,2022-07-24
2007-04-01,126.33975,2022-07-24
2007-05-01,126.74981,2022-07-24
2007-06-01,127.19298,2022-07-24
2007-07-01,129.7154,2022-07-24
2007-08-01,125.44881,2022-07-24
2007-09-01,131.78474,2022-07-24
2007-10-01,139.38836,2022-07-24
2007-11-01,147.67128,2022-07-24
2007-12-01,147.63824,2022-07-24
2008-01-01,154.44747,2022-07-24
2008-02-01,161.36856,2022-07-24
2008-03-01,171.38033,2022-07-24
2008-04-01,177.83411,2022-07-24
2008-05-01,189.88906,2022-07-24
2008-06-01,199.57009,2022-07-24
2008-07-01,202.79824,2022-07-24
2008-08-01,181.09992,2022-07-24
2008-09-01,165.91767,2022-07-24
2008-10-01,135.64245,2022-07-24
2008-11-01,115.07584,2022-07-24
2008-12-01,102.51368,2022-07-24
2009-01-01,105.37049,2022-07-24
2009-02-01,101.63659,2022-07-24
2009-03-01,101.65746,2022-07-24
2009-04-01,103.8679,2022-07-24
2009-05-01,112.43201,2022-07-24
2009-06-01,121.52929,2022-07-24
2009-07-01,117.04434,2022-07-24
2009-08-01,123.64497,2022-07-24
2009-09-01,120.10172,2022-07-24
2009-10-01,127.55791,2022-07-24
2009-11-01,132.46017,2022-07-24
2009-12-01,135.09179,2022-07-24
2010-01-01,140.87936,2022-07-24
2010-02-01,137.55382,2022-07-24
2010-03-01,142.13446,2022-07-24
2010-04-01,150.03775,2022-07-24
2010-05-01,141.22564,2022-07-24
2010-06-01,138.30845,2022-07-24
2010-07-01,138.54507,2022-07-24
2010-08-01,142.36278,2022-07-24
2010-09-01,145.00311,2022-07-24
2010-10-01,152.69337,2022-07-24
2010-11-01,157.82662,2022-07-24
2010-12-01,166.80076,2022-07-24
2011-01-01,172.98144,2022-07-24
2011-02-01,179.46817,2022-07-24
2011-03-01,185.47365,2022-07-24
2011-04-01,194.8707,2022-07-24
2011-05-01,187.74133,2022-07-24
2011-06-01,185.93718,2022-07-24
2011-07-01,188.4707,2022-07-24
