date,value,update_date
1990-01-01,1528,2022-07-24
1990-02-01,1454,2022-07-24
1990-03-01,1567,2022-07-24
1990-04-01,1526,2022-07-24
1990-05-01,1527,2022-07-24
1990-06-01,1566,2022-07-24
1990-07-01,1571,2022-07-24
1990-08-01,1782,2022-07-24
1990-09-01,2067,2022-07-24
1990-10-01,1946,2022-07-24
1990-11-01,1618,2022-07-24
1990-12-01,1522,2022-07-24
1991-01-01,1515,2022-07-24
1991-02-01,1505,2022-07-24
1991-03-01,1496,2022-07-24
1991-04-01,1392,2022-07-24
1991-05-01,1299.94995,2022-07-24
1991-06-01,1283.55005,2022-07-24
1991-07-01,1297.54663,2022-07-24
1991-08-01,1259.69336,2022-07-24
1991-09-01,1212.09521,2022-07-24
1991-10-01,1152.95459,2022-07-24
1991-11-01,1134.92505,2022-07-24
1991-12-01,1099.52637,2022-07-24
1992-01-01,1181.22729,2022-07-24
1992-02-01,1270.75,2022-07-24
1992-03-01,1282.02271,2022-07-24
1992-04-01,1317.125,2022-07-24
1992-05-01,1306.71069,2022-07-24
1992-06-01,1275.27271,2022-07-24
1992-07-01,1314.3479,2022-07-24
1992-08-01,1305.55005,2022-07-24
1992-09-01,1270.21436,2022-07-24
1992-10-01,1180.84106,2022-07-24
1992-11-01,1162.21436,2022-07-24
1992-12-01,1209.0238,2022-07-24
1993-01-01,1208.09998,2022-07-24
1993-02-01,1203.15002,2022-07-24
1993-03-01,1150.47827,2022-07-24
1993-04-01,1110.27502,2022-07-24
1993-05-01,1125.42102,2022-07-24
1993-06-01,1168.09094,2022-07-24
1993-07-01,1203.18176,2022-07-24
1993-08-01,1172.76196,2022-07-24
1993-09-01,1116.90906,2022-07-24
1993-10-01,1089.42859,2022-07-24
1993-11-01,1040.02271,2022-07-24
1993-12-01,1091.34998,2022-07-24
1994-01-01,1170,2022-07-24
1994-02-01,1270.52502,2022-07-24
1994-03-01,1287.69568,2022-07-24
1994-04-01,1277.28943,2022-07-24
1994-05-01,1321.04761,2022-07-24
1994-06-01,1402.36365,2022-07-24
