date,value,update_date
1992-01-01,57.73582,2022-07-24
1992-02-01,57.84388,2022-07-24
1992-03-01,57.47037,2022-07-24
1992-04-01,56.21298,2022-07-24
1992-05-01,57.691,2022-07-24
1992-06-01,57.29456,2022-07-24
1992-07-01,57.77214,2022-07-24
1992-08-01,59.72839,2022-07-24
1992-09-01,59.4602,2022-07-24
1992-10-01,57.03571,2022-07-24
1992-11-01,55.85647,2022-07-24
1992-12-01,55.14206,2022-07-24
1993-01-01,56.27722,2022-07-24
1993-02-01,56.09874,2022-07-24
1993-03-01,57.82332,2022-07-24
1993-04-01,58.74514,2022-07-24
1993-05-01,59.66004,2022-07-24
1993-06-01,59.03343,2022-07-24
1993-07-01,59.30197,2022-07-24
1993-08-01,58.52681,2022-07-24
1993-09-01,58.21305,2022-07-24
1993-10-01,57.63723,2022-07-24
1993-11-01,58.19145,2022-07-24
1993-12-01,59.73155,2022-07-24
1994-01-01,60.82079,2022-07-24
1994-02-01,61.49033,2022-07-24
1994-03-01,60.72859,2022-07-24
1994-04-01,60.46631,2022-07-24
1994-05-01,60.17965,2022-07-24
1994-06-01,59.4826,2022-07-24
1994-07-01,58.45776,2022-07-24
1994-08-01,58.65075,2022-07-24
1994-09-01,59.35575,2022-07-24
1994-10-01,59.20326,2022-07-24
1994-11-01,58.74629,2022-07-24
1994-12-01,60.73978,2022-07-24
1995-01-01,60.15315,2022-07-24
1995-02-01,60.73643,2022-07-24
1995-03-01,60.72913,2022-07-24
1995-04-01,59.91249,2022-07-24
1995-05-01,59.62404,2022-07-24
1995-06-01,61.68934,2022-07-24
1995-07-01,64.25871,2022-07-24
1995-08-01,63.99383,2022-07-24
1995-09-01,64.24406,2022-07-24
1995-10-01,65.49882,2022-07-24
1995-11-01,64.481,2022-07-24
1995-12-01,65.28423,2022-07-24
1996-01-01,65.59864,2022-07-24
1996-02-01,67.19064,2022-07-24
1996-03-01,67.91108,2022-07-24
1996-04-01,72.03858,2022-07-24
1996-05-01,74.00575,2022-07-24
1996-06-01,71.54015,2022-07-24
1996-07-01,72.34072,2022-07-24
1996-08-01,71.45021,2022-07-24
1996-09-01,65.77935,2022-07-24
1996-10-01,63.4838,2022-07-24
1996-11-01,62.87401,2022-07-24
1996-12-01,63.02301,2022-07-24
1997-01-01,64.37305,2022-07-24
1997-02-01,64.44772,2022-07-24
1997-03-01,65.15321,2022-07-24
1997-04-01,65.15084,2022-07-24
1997-05-01,64.69731,2022-07-24
1997-06-01,62.41098,2022-07-24
1997-07-01,61.19818,2022-07-24
1997-08-01,60.36453,2022-07-24
1997-09-01,59.46779,2022-07-24
1997-10-01,59.43805,2022-07-24
1997-11-01,60.43429,2022-07-24
1997-12-01,58.95427,2022-07-24
1998-01-01,68.53124,2022-07-24
1998-02-01,67.98653,2022-07-24
1998-03-01,68.63576,2022-07-24
1998-04-01,70.7447,2022-07-24
1998-05-01,71.11617,2022-07-24
1998-06-01,69.06143,2022-07-24
1998-07-01,66.22129,2022-07-24
1998-08-01,63.87351,2022-07-24
1998-09-01,62.98352,2022-07-24
1998-10-01,64.77818,2022-07-24
1998-11-01,65.6454,2022-07-24
1998-12-01,63.74098,2022-07-24
1999-01-01,64.63033,2022-07-24
1999-02-01,59.73025,2022-07-24
1999-03-01,57.93705,2022-07-24
1999-04-01,59.17083,2022-07-24
1999-05-01,59.72812,2022-07-24
1999-06-01,57.97012,2022-07-24
1999-07-01,56.29503,2022-07-24
1999-08-01,57.95256,2022-07-24
1999-09-01,58.69453,2022-07-24
1999-10-01,58.35176,2022-07-24
1999-11-01,57.35642,2022-07-24
1999-12-01,57.6481,2022-07-24
2000-01-01,58.49882,2022-07-24
2000-02-01,59.24722,2022-07-24
2000-03-01,60.33964,2022-07-24
2000-04-01,63.09343,2022-07-24
2000-05-01,62.17225,2022-07-24
2000-06-01,59.98286,2022-07-24
2000-07-01,58.09069,2022-07-24
