date,value,update_date
1992-01-01,52.70916,2022-07-24
1992-02-01,53.97478,2022-07-24
1992-03-01,54.00901,2022-07-24
1992-04-01,55.42076,2022-07-24
1992-05-01,55.33738,2022-07-24
1992-06-01,55.57349,2022-07-24
1992-07-01,57.27467,2022-07-24
1992-08-01,56.50569,2022-07-24
1992-09-01,55.4892,2022-07-24
1992-10-01,53.33136,2022-07-24
1992-11-01,51.93459,2022-07-24
1992-12-01,52.64822,2022-07-24
1993-01-01,52.46573,2022-07-24
1993-02-01,53.52863,2022-07-24
1993-03-01,53.19506,2022-07-24
1993-04-01,53.53498,2022-07-24
1993-05-01,54.08308,2022-07-24
1993-06-01,53.83918,2022-07-24
1993-07-01,54.20203,2022-07-24
1993-08-01,52.73612,2022-07-24
1993-09-01,51.34335,2022-07-24
1993-10-01,50.492,2022-07-24
1993-11-01,49.86489,2022-07-24
1993-12-01,51.25061,2022-07-24
1994-01-01,52.88874,2022-07-24
1994-02-01,55.12552,2022-07-24
1994-03-01,55.2597,2022-07-24
1994-04-01,56.46424,2022-07-24
1994-05-01,58.70648,2022-07-24
1994-06-01,61.37459,2022-07-24
1994-07-01,61.87493,2022-07-24
1994-08-01,61.19422,2022-07-24
1994-09-01,62.47937,2022-07-24
1994-10-01,63.6011,2022-07-24
1994-11-01,67.08495,2022-07-24
1994-12-01,69.87051,2022-07-24
1995-01-01,73.3617,2022-07-24
1995-02-01,71.16965,2022-07-24
1995-03-01,71.13506,2022-07-24
1995-04-01,71.66913,2022-07-24
1995-05-01,70.4244,2022-07-24
1995-06-01,70.73417,2022-07-24
1995-07-01,70.71927,2022-07-24
1995-08-01,69.75061,2022-07-24
1995-09-01,67.96942,2022-07-24
1995-10-01,66.22837,2022-07-24
1995-11-01,68.74971,2022-07-24
1995-12-01,67.75239,2022-07-24
1996-01-01,65.52201,2022-07-24
1996-02-01,65.85358,2022-07-24
1996-03-01,66.35212,2022-07-24
1996-04-01,65.5435,2022-07-24
1996-05-01,66.66253,2022-07-24
1996-06-01,63.52765,2022-07-24
1996-07-01,61.22554,2022-07-24
1996-08-01,61.30743,2022-07-24
1996-09-01,61.26076,2022-07-24
1996-10-01,60.05712,2022-07-24
1996-11-01,62.13182,2022-07-24
1996-12-01,61.17882,2022-07-24
1997-01-01,63.51558,2022-07-24
1997-02-01,64.17429,2022-07-24
1997-03-01,64.77684,2022-07-24
1997-04-01,62.45353,2022-07-24
