date,value,update_date
1990-01-01,7056,2022-07-24
1990-02-01,6977,2022-07-24
1990-03-01,9267,2022-07-24
1990-04-01,8939,2022-07-24
1990-05-01,8698,2022-07-24
1990-06-01,8422,2022-07-24
1990-07-01,9318,2022-07-24
1990-08-01,10957,2022-07-24
1990-09-01,10844,2022-07-24
1990-10-01,9145,2022-07-24
1990-11-01,8587,2022-07-24
1990-12-01,8158,2022-07-24
1991-01-01,8569,2022-07-24
1991-02-01,8672,2022-07-24
1991-03-01,8700,2022-07-24
1991-04-01,9023,2022-07-24
1991-05-01,8499.60938,2022-07-24
1991-06-01,8296.5,2022-07-24
1991-07-01,8515.20117,2022-07-24
1991-08-01,8154.75,2022-07-24
1991-09-01,7675.95312,2022-07-24
1991-10-01,7453.86328,2022-07-24
1991-11-01,7258.5,2022-07-24
1991-12-01,7140.26367,2022-07-24
1992-01-01,7531.13672,2022-07-24
1992-02-01,7888,2022-07-24
1992-03-01,7430.45508,2022-07-24
1992-04-01,7417.95117,2022-07-24
1992-05-01,7333.94727,2022-07-24
1992-06-01,7202.36328,2022-07-24
1992-07-01,7516.17383,2022-07-24
1992-08-01,7279.75,2022-07-24
1992-09-01,6918.57227,2022-07-24
1992-10-01,6322.5,2022-07-24
1992-11-01,5593.71484,2022-07-24
1992-12-01,5751.19043,2022-07-24
1993-01-01,5948.1001,2022-07-24
1993-02-01,6050.75,2022-07-24
1993-03-01,5974.91309,2022-07-24
1993-04-01,5987.5,2022-07-24
1993-05-01,5777.78955,2022-07-24
1993-06-01,5544.31836,2022-07-24
1993-07-01,5051.18164,2022-07-24
1993-08-01,4740.47607,2022-07-24
1993-09-01,4376.04541,2022-07-24
1993-10-01,4464.85693,2022-07-24
1993-11-01,4642.27295,2022-07-24
1993-12-01,5139.7998,2022-07-24
1994-01-01,5584.04785,2022-07-24
1994-02-01,5830.1001,2022-07-24
1994-03-01,5590.43457,2022-07-24
1994-04-01,5400.26318,2022-07-24
1994-05-01,6082.85693,2022-07-24
1994-06-01,6287.04541,2022-07-24
1994-07-01,6230.57129,2022-07-24
1994-08-01,5856.13623,2022-07-24
1994-09-01,6370.68164,2022-07-24
1994-10-01,6735.85693,2022-07-24
1994-11-01,7474.54541,2022-07-24
1994-12-01,8540.65039,2022-07-24
1995-01-01,9596.19043,2022-07-24
1995-02-01,8431.25,2022-07-24
1995-03-01,7522.39111,2022-07-24
1995-04-01,7405,2022-07-24
1995-05-01,7262.38086,2022-07-24
1995-06-01,7877.27295,2022-07-24
1995-07-01,8618,2022-07-24
1995-08-01,8931.81836,2022-07-24
1995-09-01,8397.25,2022-07-24
1995-10-01,8068.86377,2022-07-24
1995-11-01,8498.0957,2022-07-24
1995-12-01,8074.21045,2022-07-24
1996-01-01,7870.71436,2022-07-24
1996-02-01,8198.5,2022-07-24
1996-03-01,8046.3999,2022-07-24
1996-04-01,8047,2022-07-24
1996-05-01,8042.85693,2022-07-24
1996-06-01,7713.15771,2022-07-24
1996-07-01,7202.60889,2022-07-24
1996-08-01,7037.61914,2022-07-24
1996-09-01,7329.80957,2022-07-24
1996-10-01,7028.6958,2022-07-24
1996-11-01,6960.71436,2022-07-24
1996-12-01,6571.04785,2022-07-24
1997-01-01,7069.13623,2022-07-24
1997-02-01,7736.5791,2022-07-24
1997-03-01,7893.21045,2022-07-24
1997-04-01,7313.13623,2022-07-24
1997-05-01,7476,2022-07-24
1997-06-01,7060,2022-07-24
1997-07-01,6832.73926,2022-07-24
1997-08-01,6764.4502,2022-07-24
1997-09-01,6498.28564,2022-07-24
1997-10-01,6373.47803,2022-07-24
1997-11-01,6137.25,2022-07-24
1997-12-01,5942.38086,2022-07-24
1998-01-01,5489,2022-07-24
1998-02-01,5367.25,2022-07-24
1998-03-01,5397.04541,2022-07-24
1998-04-01,5391,2022-07-24
1998-05-01,5016.84229,2022-07-24
1998-06-01,4456.90479,2022-07-24
1998-07-01,4332.61914,2022-07-24
1998-08-01,4078,2022-07-24
1998-09-01,4100.90918,2022-07-24
1998-10-01,3870.45459,2022-07-24
1998-11-01,4117.25,2022-07-24
1998-12-01,3865.76318,2022-07-24
1999-01-01,4264,2022-07-24
1999-02-01,4623.25,2022-07-24
1999-03-01,5002.95455,2022-07-24
1999-04-01,5054.75,2022-07-24
1999-05-01,5395.78947,2022-07-24
1999-06-01,5194.77273,2022-07-24
1999-07-01,5696.36364,2022-07-24
1999-08-01,6431.42857,2022-07-24
1999-09-01,7029.09091,2022-07-24
1999-10-01,7317.61905,2022-07-24
1999-11-01,7946.81818,2022-07-24
1999-12-01,8073.23529,2022-07-24
2000-01-01,8315.25,2022-07-24
2000-02-01,9583.75,2022-07-24
2000-03-01,10255.4,2022-07-24
2000-04-01,9746.5,2022-07-24
2000-05-01,10122.91304,2022-07-24
2000-06-01,8384.31818,2022-07-24
2000-07-01,8174.80952,2022-07-24
2000-08-01,8038.43478,2022-07-24
2000-09-01,8624.80952,2022-07-24
2000-10-01,7650.63636,2022-07-24
2000-11-01,7350.59091,2022-07-24
2000-12-01,7318.8,2022-07-24
2001-01-01,6975.90909,2022-07-24
2001-02-01,6546.8,2022-07-24
2001-03-01,6165.18182,2022-07-24
2001-04-01,6363.11111,2022-07-24
2001-05-01,7086.47619,2022-07-24
2001-06-01,6674.33333,2022-07-24
2001-07-01,5962.54545,2022-07-24
2001-08-01,5525.63636,2022-07-24
2001-09-01,5057.65,2022-07-24
2001-10-01,4830.78261,2022-07-24
2001-11-01,5131.31818,2022-07-24
2001-12-01,5315.82353,2022-07-24
2002-01-01,6061.36364,2022-07-24
2002-02-01,6039.95,2022-07-24
2002-03-01,6543.2,2022-07-24
2002-04-01,6956.80952,2022-07-24
2002-05-01,6771.18182,2022-07-24
2002-06-01,7147.61111,2022-07-24
2002-07-01,7137.69565,2022-07-24
2002-08-01,6736.85714,2022-07-24
2002-09-01,6664.95238,2022-07-24
2002-10-01,6818.91304,2022-07-24
2002-11-01,7314.80952,2022-07-24
2002-12-01,7206.33333,2022-07-24
2003-01-01,8032.80682,2022-07-24
2003-02-01,8607.9,2022-07-24
2003-03-01,8339.61905,2022-07-24
2003-04-01,7930.525,2022-07-24
2003-05-01,8347.725,2022-07-24
2003-06-01,8839.02381,2022-07-24
2003-07-01,8831.7,2022-07-24
2003-08-01,9359.875,2022-07-24
2003-09-01,9995.77273,2022-07-24
2003-10-01,11040.28261,2022-07-24
2003-11-01,12052.375,2022-07-24
2003-12-01,14185.20952,2022-07-24
2004-01-01,15089.33333,2022-07-24
2004-02-01,15099.35,2022-07-24
2004-03-01,13786.54348,2022-07-24
2004-04-01,12725.9,2022-07-24
2004-05-01,11228.60526,2022-07-24
2004-06-01,13599.36364,2022-07-24
2004-07-01,15020.06818,2022-07-24
2004-08-01,13639.61905,2022-07-24
2004-09-01,13430.36364,2022-07-24
