date,value,update_date
1994-01-01,48.62,2022-07-24
1994-02-01,47.6,2022-07-24
1994-03-01,45.97,2022-07-24
1994-04-01,48.48,2022-07-24
1994-05-01,48.06,2022-07-24
1994-06-01,48.35,2022-07-24
1994-07-01,47.82,2022-07-24
1994-08-01,47.6,2022-07-24
1994-09-01,46.47,2022-07-24
1994-10-01,40.45,2022-07-24
1994-11-01,44.78,2022-07-24
1994-12-01,48.99,2022-07-24
1995-01-01,50.31,2022-07-24
1995-02-01,49.42,2022-07-24
1995-03-01,46.76,2022-07-24
1995-04-01,46.37,2022-07-24
1995-05-01,49.6,2022-07-24
1995-06-01,56.1,2022-07-24
1995-07-01,62.08,2022-07-24
1995-08-01,68.21,2022-07-24
1995-09-01,70.77,2022-07-24
1995-10-01,72.36,2022-07-24
1995-11-01,75.35,2022-07-24
1995-12-01,76.98,2022-07-24
1996-01-01,79.45,2022-07-24
1996-02-01,80.21,2022-07-24
1996-03-01,81.12,2022-07-24
1996-04-01,81.98,2022-07-24
1996-05-01,82.62,2022-07-24
1996-06-01,82.31,2022-07-24
1996-07-01,80.93,2022-07-24
1996-08-01,77.97,2022-07-24
1996-09-01,77.08,2022-07-24
1996-10-01,77.4,2022-07-24
1996-11-01,77.44,2022-07-24
1996-12-01,78.67,2022-07-24
1997-01-01,80.96,2022-07-24
1997-02-01,83.33,2022-07-24
1997-03-01,84.11,2022-07-24
1997-04-01,84.43,2022-07-24
1997-05-01,84.26,2022-07-24
1997-06-01,85.32,2022-07-24
1997-07-01,87.5,2022-07-24
1997-08-01,88.62,2022-07-24
1997-09-01,86.54,2022-07-24
1997-10-01,85.47,2022-07-24
1997-11-01,85.3,2022-07-24
1997-12-01,88.51,2022-07-24
1998-01-01,90.57,2022-07-24
1998-02-01,89.59,2022-07-24
1998-03-01,89.5,2022-07-24
1998-04-01,88.55,2022-07-24
1998-05-01,88.15,2022-07-24
1998-06-01,88.64,2022-07-24
1998-07-01,88.46,2022-07-24
1998-08-01,82.93,2022-07-24
1998-09-01,51.99,2022-07-24
1998-10-01,48.74,2022-07-24
1998-11-01,50.08,2022-07-24
1998-12-01,45.68,2022-07-24
1999-01-01,43.42,2022-07-24
1999-02-01,46.07,2022-07-24
1999-03-01,46.05,2022-07-24
1999-04-01,45.29,2022-07-24
1999-05-01,47.81,2022-07-24
1999-06-01,49.86,2022-07-24
1999-07-01,51.49,2022-07-24
1999-08-01,50.37,2022-07-24
1999-09-01,49.38,2022-07-24
1999-10-01,48.86,2022-07-24
1999-11-01,49.24,2022-07-24
1999-12-01,49.16,2022-07-24
2000-01-01,47.68,2022-07-24
2000-02-01,48.16,2022-07-24
2000-03-01,49.19,2022-07-24
2000-04-01,49.84,2022-07-24
2000-05-01,52.79,2022-07-24
2000-06-01,52.78,2022-07-24
2000-07-01,54.83,2022-07-24
2000-08-01,56.64,2022-07-24
2000-09-01,58.11,2022-07-24
2000-10-01,59.82,2022-07-24
2000-11-01,60.82,2022-07-24
2000-12-01,59.78,2022-07-24
2001-01-01,59.43,2022-07-24
2001-02-01,60.97,2022-07-24
2001-03-01,62.75,2022-07-24
2001-04-01,64.21,2022-07-24
2001-05-01,65.13,2022-07-24
2001-06-01,66.87,2022-07-24
2001-07-01,67.1,2022-07-24
2001-08-01,65.15,2022-07-24
2001-09-01,64.72,2022-07-24
2001-10-01,65.45,2022-07-24
2001-11-01,66.27,2022-07-24
2001-12-01,66.37,2022-07-24
2002-01-01,67.8,2022-07-24
2002-02-01,68.43,2022-07-24
2002-03-01,68.07,2022-07-24
2002-04-01,67.67,2022-07-24
2002-05-01,67.17,2022-07-24
2002-06-01,65.6,2022-07-24
2002-07-01,64.4,2022-07-24
2002-08-01,64.96,2022-07-24
2002-09-01,64.79,2022-07-24
2002-10-01,65.35,2022-07-24
2002-11-01,65.02,2022-07-24
2002-12-01,65.1,2022-07-24
2003-01-01,64.85,2022-07-24
2003-02-01,65.57,2022-07-24
2003-03-01,66.5,2022-07-24
2003-04-01,67.39,2022-07-24
2003-05-01,65.61,2022-07-24
2003-06-01,66.85,2022-07-24
2003-07-01,68.68,2022-07-24
2003-08-01,69.15,2022-07-24
2003-09-01,67.96,2022-07-24
2003-10-01,67.69,2022-07-24
2003-11-01,69.06,2022-07-24
2003-12-01,68.45,2022-07-24
2004-01-01,69.6,2022-07-24
2004-02-01,70.73,2022-07-24
2004-03-01,72.22,2022-07-24
2004-04-01,73.01,2022-07-24
2004-05-01,73.2,2022-07-24
2004-06-01,72.83,2022-07-24
2004-07-01,72.88,2022-07-24
2004-08-01,73.09,2022-07-24
2004-09-01,73.07,2022-07-24
2004-10-01,72.87,2022-07-24
2004-11-01,72.68,2022-07-24
2004-12-01,73.3,2022-07-24
2005-01-01,76.04,2022-07-24
2005-02-01,76.79,2022-07-24
2005-03-01,77.71,2022-07-24
2005-04-01,79.03,2022-07-24
2005-05-01,80.03,2022-07-24
2005-06-01,80.99,2022-07-24
2005-07-01,81.63,2022-07-24
2005-08-01,80.61,2022-07-24
2005-09-01,80.77,2022-07-24
2005-10-01,81.8,2022-07-24
2005-11-01,83.09,2022-07-24
2005-12-01,83,2022-07-24
2006-01-01,84.78,2022-07-24
2006-02-01,87.08,2022-07-24
2006-03-01,88.4,2022-07-24
2006-04-01,88.03,2022-07-24
2006-05-01,87.34,2022-07-24
2006-06-01,88.99,2022-07-24
2006-07-01,89.68,2022-07-24
2006-08-01,89.41,2022-07-24
2006-09-01,89.77,2022-07-24
2006-10-01,90.11,2022-07-24
2006-11-01,89.97,2022-07-24
2006-12-01,89.73,2022-07-24
2007-01-01,91.71,2022-07-24
2007-02-01,92.62,2022-07-24
2007-03-01,92.67,2022-07-24
2007-04-01,92.32,2022-07-24
2007-05-01,92.53,2022-07-24
2007-06-01,93.39,2022-07-24
2007-07-01,93.93,2022-07-24
2007-08-01,93.88,2022-07-24
2007-09-01,94,2022-07-24
2007-10-01,95,2022-07-24
2007-11-01,95.05,2022-07-24
2007-12-01,95.91,2022-07-24
2008-01-01,97.29,2022-07-24
2008-02-01,97.19,2022-07-24
2008-03-01,97.87,2022-07-24
2008-04-01,98.92,2022-07-24
2008-05-01,99.71,2022-07-24
2008-06-01,100.47,2022-07-24
2008-07-01,100.83,2022-07-24
2008-08-01,100.98,2022-07-24
2008-09-01,100.25,2022-07-24
2008-10-01,102.62,2022-07-24
2008-11-01,104.09,2022-07-24
2008-12-01,99.35,2022-07-24
2009-01-01,90.67,2022-07-24
2009-02-01,84.53,2022-07-24
2009-03-01,88.05,2022-07-24
2009-04-01,89.84,2022-07-24
2009-05-01,92.12,2022-07-24
2009-06-01,93.63,2022-07-24
2009-07-01,92.48,2022-07-24
2009-08-01,90.68,2022-07-24
2009-09-01,91.98,2022-07-24
2009-10-01,94.7,2022-07-24
2009-11-01,95.82,2022-07-24
2009-12-01,93.6,2022-07-24
2010-01-01,96.79,2022-07-24
2010-02-01,98.35,2022-07-24
2010-03-01,100.73,2022-07-24
2010-04-01,102.38,2022-07-24
2010-05-01,102.69,2022-07-24
2010-06-01,102.32,2022-07-24
2010-07-01,101.7,2022-07-24
2010-08-01,101.75,2022-07-24
2010-09-01,99.69,2022-07-24
2010-10-01,97.21,2022-07-24
2010-11-01,96.63,2022-07-24
2010-12-01,99.75,2022-07-24
2011-01-01,103.31,2022-07-24
2011-02-01,105.3,2022-07-24
2011-03-01,106.8,2022-07-24
2011-04-01,105.97,2022-07-24
2011-05-01,106.99,2022-07-24
2011-06-01,106.81,2022-07-24
2011-07-01,107.45,2022-07-24
2011-08-01,103.43,2022-07-24
2011-09-01,99.29,2022-07-24
2011-10-01,98.37,2022-07-24
2011-11-01,100.81,2022-07-24
2011-12-01,100.41,2022-07-24
2012-01-01,102.17,2022-07-24
2012-02-01,105.4,2022-07-24
2012-03-01,107.39,2022-07-24
2012-04-01,107.11,2022-07-24
2012-05-01,104.66,2022-07-24
2012-06-01,101.02,2022-07-24
2012-07-01,104.35,2022-07-24
2012-08-01,104.92,2022-07-24
2012-09-01,104.51,2022-07-24
2012-10-01,105.19,2022-07-24
2012-11-01,105.43,2022-07-24
2012-12-01,106.69,2022-07-24
2013-01-01,109.32,2022-07-24
2013-02-01,109.75,2022-07-24
2013-03-01,109.57,2022-07-24
2013-04-01,107.99,2022-07-24
2013-05-01,109.05,2022-07-24
2013-06-01,105.48,2022-07-24
2013-07-01,105.83,2022-07-24
2013-08-01,103.95,2022-07-24
2013-09-01,104.86,2022-07-24
2013-10-01,105.48,2022-07-24
2013-11-01,104.97,2022-07-24
2013-12-01,104.24,2022-07-24
2014-01-01,102.78,2022-07-24
2014-02-01,98.47,2022-07-24
2014-03-01,96.58,2022-07-24
2014-04-01,98.41,2022-07-24
2014-05-01,101.57,2022-07-24
2014-06-01,104.11,2022-07-24
2014-07-01,103.85,2022-07-24
2014-08-01,100.79,2022-07-24
2014-09-01,98.06,2022-07-24
2014-10-01,92.77,2022-07-24
2014-11-01,84.83,2022-07-24
2014-12-01,71.79,2022-07-24
2015-01-01,68.01,2022-07-24
2015-02-01,70,2022-07-24
2015-03-01,77.49,2022-07-24
2015-04-01,87.98,2022-07-24
2015-05-01,90.79,2022-07-24
2015-06-01,84.42,2022-07-24
2015-07-01,81.9,2022-07-24
2015-08-01,72.02,2022-07-24
2015-09-01,71.52,2022-07-24
2015-10-01,75.67,2022-07-24
2015-11-01,75.98,2022-07-24
2015-12-01,70.76,2022-07-24
2016-01-01,66.07,2022-07-24
2016-02-01,65.16,2022-07-24
2016-03-01,71.27,2022-07-24
2016-04-01,74.12,2022-07-24
2016-05-01,75.53,2022-07-24
2016-06-01,76.81,2022-07-24
2016-07-01,79.07,2022-07-24
2016-08-01,77.51,2022-07-24
2016-09-01,78.1,2022-07-24
2016-10-01,81.72,2022-07-24
2016-11-01,81.51,2022-07-24
2016-12-01,86.52,2022-07-24
2017-01-01,89.8,2022-07-24
2017-02-01,91.23,2022-07-24
2017-03-01,91.69,2022-07-24
2017-04-01,93.66,2022-07-24
2017-05-01,91.46,2022-07-24
2017-06-01,89.65,2022-07-24
2017-07-01,86.03,2022-07-24
2017-08-01,84.19,2022-07-24
2017-09-01,85.75,2022-07-24
2017-10-01,86.68,2022-07-24
2017-11-01,85.12,2022-07-24
2017-12-01,85.22,2022-07-24
2018-01-01,86.33,2022-07-24
2018-02-01,84.88,2022-07-24
2018-03-01,84.66,2022-07-24
2018-04-01,79.75,2022-07-24
2018-05-01,80.25,2022-07-24
2018-06-01,81.05,2022-07-24
2018-07-01,82.16,2022-07-24
2018-08-01,78.74,2022-07-24
2018-09-01,76.87,2022-07-24
2018-10-01,79.7,2022-07-24
2018-11-01,79.87,2022-07-24
2018-12-01,79.14,2022-07-24
2019-01-01,80.25,2022-07-24
2019-02-01,81.64,2022-07-24
2019-03-01,82.62,2022-07-24
2019-04-01,83.6,2022-07-24
2019-05-01,84.18,2022-07-24
2019-06-01,84.68,2022-07-24
2019-07-01,86.17,2022-07-24
2019-08-01,83.5,2022-07-24
2019-09-01,84.86,2022-07-24
2019-10-01,85.06,2022-07-24
2019-11-01,85.58,2022-07-24
2019-12-01,86.7,2022-07-24
2020-01-01,88.13,2022-07-24
2020-02-01,86.33,2022-07-24
2020-03-01,75.05,2022-07-24
2020-04-01,76.47,2022-07-24
2020-05-01,79.12,2022-07-24
2020-06-01,81.38,2022-07-24
2020-07-01,78.07,2022-07-24
2020-08-01,74.2,2022-07-24
2020-09-01,71.93,2022-07-24
2020-10-01,70.53,2022-07-24
2020-11-01,71.12,2022-07-24
2020-12-01,72.65,2022-07-24
2021-01-01,72.33,2022-07-24
2021-02-01,72.7,2022-07-24
2021-03-01,74,2022-07-24
2021-04-01,72.55,2022-07-24
2021-05-01,74.13,2022-07-24
2021-06-01,76.21,2022-07-24
2021-07-01,75.93,2022-07-24
2021-08-01,76.33,2022-07-24
2021-09-01,77.23,2022-07-24
2021-10-01,79.96,2022-07-24
2021-11-01,79.64,2022-07-24
2021-12-01,79.58,2022-07-24
2022-01-01,76.86,2022-07-24
2022-02-01,75.04,2022-07-24
2022-03-01,61.28,2022-07-24
2022-04-01,83.58,2022-07-24
2022-05-01,105.05,2022-07-24
2022-06-01,115.71,2022-07-24
