date,value,update_date
2003-01-04,100.16,2022-07-24
2003-01-05,100.52,2022-07-24
2003-01-08,100.69,2022-07-24
2003-01-09,100.78,2022-07-24
2003-01-10,100.858,2022-07-24
2003-01-13,100.92667,2022-07-24
2003-01-14,100.97571,2022-07-24
2003-01-15,101.00875,2022-07-24
2003-01-16,101.03111,2022-07-24
2003-01-17,101.062,2022-07-24
2003-01-20,101.08364,2022-07-24
2003-01-21,101.09583,2022-07-24
2003-01-22,101.11615,2022-07-24
2003-01-23,101.14357,2022-07-24
2003-01-24,101.17333,2022-07-24
2003-01-27,101.19625,2022-07-24
2003-01-28,101.22118,2022-07-24
2003-01-29,101.24111,2022-07-24
2003-01-30,101.26211,2022-07-24
2003-01-31,101.294,2022-07-24
2003-02-03,101.91,2022-07-24
2003-02-04,101.945,2022-07-24
2003-02-05,102.21667,2022-07-24
2003-02-06,102.4825,2022-07-24
2003-02-07,102.834,2022-07-24
2003-02-10,103.15333,2022-07-24
2003-02-11,103.39857,2022-07-24
2003-02-12,103.65,2022-07-24
2003-02-13,103.96111,2022-07-24
2003-02-14,104.256,2022-07-24
2003-02-17,104.60636,2022-07-24
2003-02-18,104.965,2022-07-24
2003-02-19,105.28923,2022-07-24
2003-02-20,105.56571,2022-07-24
2003-02-21,105.81867,2022-07-24
2003-02-25,106.0525,2022-07-24
2003-02-26,106.25647,2022-07-24
2003-02-27,106.44333,2022-07-24
2003-02-28,106.62105,2022-07-24
2003-03-03,109.9,2022-07-24
2003-03-04,109.765,2022-07-24
2003-03-05,109.87,2022-07-24
2003-03-06,109.9975,2022-07-24
2003-03-07,110.104,2022-07-24
2003-03-11,110.23333,2022-07-24
2003-03-12,110.37286,2022-07-24
2003-03-13,110.5,2022-07-24
2003-03-14,110.61333,2022-07-24
2003-03-17,110.579,2022-07-24
2003-03-18,110.43273,2022-07-24
2003-03-19,110.32667,2022-07-24
2003-03-20,110.21385,2022-07-24
2003-03-21,110.23571,2022-07-24
2003-03-24,110.22467,2022-07-24
2003-03-25,110.2125,2022-07-24
2003-03-26,110.20882,2022-07-24
2003-03-27,110.21444,2022-07-24
2003-03-28,110.21684,2022-07-24
2003-03-31,110.2175,2022-07-24
2003-04-01,110.75,2022-07-24
2003-04-02,111.155,2022-07-24
2003-04-03,111.30333,2022-07-24
2003-04-04,111.3775,2022-07-24
2003-04-07,111.378,2022-07-24
2003-04-08,111.38,2022-07-24
2003-04-09,111.39143,2022-07-24
2003-04-10,111.4225,2022-07-24
2003-04-11,111.43667,2022-07-24
2003-04-14,111.455,2022-07-24
2003-04-15,111.47182,2022-07-24
2003-04-16,111.50167,2022-07-24
2003-04-17,111.54538,2022-07-24
2003-04-18,111.59643,2022-07-24
2003-04-21,111.648,2022-07-24
2003-04-22,111.69437,2022-07-24
2003-04-23,111.79882,2022-07-24
2003-04-24,111.905,2022-07-24
2003-04-25,111.99632,2022-07-24
2003-04-28,112.072,2022-07-24
2003-04-29,112.14048,2022-07-24
2003-04-30,112.22318,2022-07-24
2003-05-05,114.07,2022-07-24
2003-05-06,114.21,2022-07-24
2003-05-07,114.32333,2022-07-24
2003-05-08,114.435,2022-07-24
2003-05-12,114.518,2022-07-24
2003-05-13,114.63167,2022-07-24
2003-05-14,114.73714,2022-07-24
2003-05-15,114.865,2022-07-24
2003-05-16,115.03556,2022-07-24
2003-05-19,115.235,2022-07-24
2003-05-20,115.49455,2022-07-24
2003-05-21,115.78917,2022-07-24
2003-05-22,116.01077,2022-07-24
2003-05-23,116.19286,2022-07-24
2003-05-26,116.34867,2022-07-24
2003-05-27,116.46875,2022-07-24
2003-05-28,116.55765,2022-07-24
2003-05-29,116.59333,2022-07-24
2003-05-30,116.64263,2022-07-24
2003-06-02,117.29,2022-07-24
2003-06-03,117.42,2022-07-24
2003-06-04,117.54333,2022-07-24
2003-06-05,117.53,2022-07-24
2003-06-06,117.538,2022-07-24
2003-06-09,117.56,2022-07-24
2003-06-10,117.55286,2022-07-24
2003-06-11,117.56625,2022-07-24
2003-06-16,117.56333,2022-07-24
2003-06-17,117.536,2022-07-24
2003-06-18,117.48727,2022-07-24
2003-06-19,117.48667,2022-07-24
