date,value,update_date
2003-01-04,100.34,2022-07-24
2003-01-05,100.715,2022-07-24
2003-01-08,100.92667,2022-07-24
2003-01-09,101.0475,2022-07-24
2003-01-10,101.152,2022-07-24
2003-01-13,101.255,2022-07-24
2003-01-14,101.33429,2022-07-24
2003-01-15,101.395,2022-07-24
2003-01-16,101.44222,2022-07-24
2003-01-17,101.497,2022-07-24
2003-01-20,101.54818,2022-07-24
2003-01-21,101.58833,2022-07-24
2003-01-22,101.63462,2022-07-24
2003-01-23,101.68643,2022-07-24
2003-01-24,101.74,2022-07-24
2003-01-27,101.79062,2022-07-24
2003-01-28,101.84235,2022-07-24
2003-01-29,101.88833,2022-07-24
2003-01-30,101.93474,2022-07-24
2003-01-31,101.991,2022-07-24
2003-02-03,103.18,2022-07-24
2003-02-04,103.235,2022-07-24
2003-02-05,103.52333,2022-07-24
2003-02-06,103.805,2022-07-24
2003-02-07,104.172,2022-07-24
2003-02-10,104.52,2022-07-24
2003-02-11,104.79143,2022-07-24
2003-02-12,105.06625,2022-07-24
2003-02-13,105.39778,2022-07-24
2003-02-14,105.712,2022-07-24
2003-02-17,106.08727,2022-07-24
2003-02-18,106.47,2022-07-24
2003-02-19,106.81769,2022-07-24
2003-02-20,107.11714,2022-07-24
2003-02-21,107.39267,2022-07-24
2003-02-25,107.65625,2022-07-24
2003-02-26,107.88882,2022-07-24
2003-02-27,108.10333,2022-07-24
2003-02-28,108.30789,2022-07-24
2003-03-03,112.19,2022-07-24
2003-03-04,112.07,2022-07-24
2003-03-05,112.19333,2022-07-24
2003-03-06,112.34,2022-07-24
2003-03-07,112.466,2022-07-24
2003-03-11,112.63333,2022-07-24
2003-03-12,112.80571,2022-07-24
2003-03-13,112.9625,2022-07-24
2003-03-14,113.10333,2022-07-24
2003-03-17,113.101,2022-07-24
2003-03-18,112.98364,2022-07-24
2003-03-19,112.905,2022-07-24
2003-03-20,112.81769,2022-07-24
2003-03-21,112.86643,2022-07-24
2003-03-24,112.886,2022-07-24
2003-03-25,112.90312,2022-07-24
2003-03-26,112.92765,2022-07-24
2003-03-27,112.96056,2022-07-24
2003-03-28,112.98895,2022-07-24
2003-03-31,113.019,2022-07-24
2003-04-01,114.16,2022-07-24
2003-04-02,114.59,2022-07-24
2003-04-03,114.76,2022-07-24
2003-04-04,114.855,2022-07-24
2003-04-07,114.892,2022-07-24
2003-04-08,114.92333,2022-07-24
2003-04-09,114.96143,2022-07-24
2003-04-10,115.01875,2022-07-24
2003-04-11,115.05778,2022-07-24
2003-04-14,115.107,2022-07-24
