date,value,update_date
2003-01-04,100.16,2022-07-24
2003-01-05,100.88,2022-07-24
2003-01-08,101.03,2022-07-24
2003-01-09,101.05,2022-07-24
2003-01-10,101.17,2022-07-24
2003-01-13,101.27,2022-07-24
2003-01-14,101.27,2022-07-24
2003-01-15,101.24,2022-07-24
2003-01-16,101.21,2022-07-24
2003-01-17,101.34,2022-07-24
2003-01-20,101.3,2022-07-24
2003-01-21,101.23,2022-07-24
2003-01-22,101.36,2022-07-24
2003-01-23,101.5,2022-07-24
2003-01-24,101.59,2022-07-24
2003-01-27,101.54,2022-07-24
2003-01-28,101.62,2022-07-24
2003-01-29,101.58,2022-07-24
2003-01-30,101.64,2022-07-24
2003-01-31,101.9,2022-07-24
2003-02-03,101.91,2022-07-24
2003-02-04,101.98,2022-07-24
2003-02-05,102.76,2022-07-24
2003-02-06,103.28,2022-07-24
2003-02-07,104.24,2022-07-24
2003-02-10,104.75,2022-07-24
2003-02-11,104.87,2022-07-24
2003-02-12,105.41,2022-07-24
2003-02-13,106.45,2022-07-24
2003-02-14,106.91,2022-07-24
2003-02-17,108.11,2022-07-24
2003-02-18,108.91,2022-07-24
2003-02-19,109.18,2022-07-24
2003-02-20,109.16,2022-07-24
2003-02-21,109.36,2022-07-24
2003-02-25,109.56,2022-07-24
2003-02-26,109.52,2022-07-24
2003-02-27,109.62,2022-07-24
2003-02-28,109.82,2022-07-24
2003-03-03,109.9,2022-07-24
2003-03-04,109.63,2022-07-24
2003-03-05,110.08,2022-07-24
2003-03-06,110.38,2022-07-24
2003-03-07,110.53,2022-07-24
2003-03-11,110.88,2022-07-24
2003-03-12,111.21,2022-07-24
2003-03-13,111.39,2022-07-24
2003-03-14,111.52,2022-07-24
2003-03-17,110.27,2022-07-24
2003-03-18,108.97,2022-07-24
2003-03-19,109.16,2022-07-24
2003-03-20,108.86,2022-07-24
2003-03-21,110.52,2022-07-24
2003-03-24,110.07,2022-07-24
2003-03-25,110.03,2022-07-24
2003-03-26,110.15,2022-07-24
2003-03-27,110.31,2022-07-24
2003-03-28,110.26,2022-07-24
2003-03-31,110.23,2022-07-24
2003-04-01,110.75,2022-07-24
2003-04-02,111.56,2022-07-24
2003-04-03,111.6,2022-07-24
2003-04-04,111.6,2022-07-24
2003-04-07,111.38,2022-07-24
2003-04-08,111.39,2022-07-24
2003-04-09,111.46,2022-07-24
2003-04-10,111.64,2022-07-24
2003-04-11,111.55,2022-07-24
2003-04-14,111.62,2022-07-24
2003-04-15,111.64,2022-07-24
2003-04-16,111.83,2022-07-24
2003-04-17,112.07,2022-07-24
2003-04-18,112.26,2022-07-24
2003-04-21,112.37,2022-07-24
2003-04-22,112.39,2022-07-24
2003-04-23,113.47,2022-07-24
2003-04-24,113.71,2022-07-24
2003-04-25,113.64,2022-07-24
2003-04-28,113.51,2022-07-24
2003-04-29,113.51,2022-07-24
2003-04-30,113.96,2022-07-24
2003-05-05,114.07,2022-07-24
2003-05-06,114.35,2022-07-24
2003-05-07,114.55,2022-07-24
2003-05-08,114.77,2022-07-24
2003-05-12,114.85,2022-07-24
2003-05-13,115.2,2022-07-24
2003-05-14,115.37,2022-07-24
2003-05-15,115.76,2022-07-24
2003-05-16,116.4,2022-07-24
2003-05-19,117.03,2022-07-24
2003-05-20,118.09,2022-07-24
2003-05-21,119.03,2022-07-24
2003-05-22,118.67,2022-07-24
2003-05-23,118.56,2022-07-24
2003-05-26,118.53,2022-07-24
2003-05-27,118.27,2022-07-24
2003-05-28,117.98,2022-07-24
2003-05-29,117.2,2022-07-24
2003-05-30,117.53,2022-07-24
2003-06-02,117.29,2022-07-24
2003-06-03,117.55,2022-07-24
2003-06-04,117.79,2022-07-24
2003-06-05,117.49,2022-07-24
2003-06-06,117.57,2022-07-24
2003-06-09,117.67,2022-07-24
2003-06-10,117.51,2022-07-24
2003-06-11,117.66,2022-07-24
2003-06-16,117.54,2022-07-24
2003-06-17,117.29,2022-07-24
2003-06-18,117,2022-07-24
2003-06-19,117.48,2022-07-24
2003-06-20,117.41,2022-07-24
2003-06-21,117.34,2022-07-24
2003-06-23,117.23,2022-07-24
2003-06-24,117.25,2022-07-24
2003-06-25,117.44,2022-07-24
2003-06-26,117.06,2022-07-24
2003-06-27,117.03,2022-07-24
2003-06-30,117.13,2022-07-24
2003-07-01,116.89,2022-07-24
2003-07-02,116.5,2022-07-24
2003-07-03,116.42,2022-07-24
2003-07-04,116.11,2022-07-24
2003-07-07,115.72,2022-07-24
2003-07-08,114.52,2022-07-24
2003-07-09,113.97,2022-07-24
2003-07-10,113.55,2022-07-24
2003-07-11,113.14,2022-07-24
2003-07-14,112.85,2022-07-24
2003-07-15,111.76,2022-07-24
2003-07-16,109.9,2022-07-24
2003-07-17,110.19,2022-07-24
2003-07-18,110.65,2022-07-24
2003-07-21,111.5,2022-07-24
2003-07-22,111.45,2022-07-24
2003-07-23,111,2022-07-24
2003-07-24,111.46,2022-07-24
2003-07-25,111.23,2022-07-24
2003-07-28,110.84,2022-07-24
2003-07-29,111.38,2022-07-24
2003-07-30,112.47,2022-07-24
2003-07-31,113.32,2022-07-24
2003-08-01,113.04,2022-07-24
2003-08-04,113.04,2022-07-24
2003-08-05,113,2022-07-24
2003-08-06,112.97,2022-07-24
2003-08-07,112.95,2022-07-24
2003-08-08,113.09,2022-07-24
2003-08-11,113.26,2022-07-24
2003-08-12,113.06,2022-07-24
2003-08-13,113.09,2022-07-24
2003-08-14,112.98,2022-07-24
2003-08-15,112.95,2022-07-24
2003-08-18,113.04,2022-07-24
2003-08-19,112.97,2022-07-24
2003-08-20,112.97,2022-07-24
2003-08-21,113.01,2022-07-24
2003-08-22,113.01,2022-07-24
2003-08-25,113.01,2022-07-24
2003-08-26,112.74,2022-07-24
2003-08-27,112.1,2022-07-24
2003-08-28,112.53,2022-07-24
2003-08-29,112.83,2022-07-24
2003-09-01,112.9,2022-07-24
2003-09-02,112.94,2022-07-24
2003-09-03,112.99,2022-07-24
2003-09-04,112.34,2022-07-24
2003-09-05,112.4,2022-07-24
2003-09-08,112.34,2022-07-24
2003-09-09,112.31,2022-07-24
2003-09-10,111.53,2022-07-24
2003-09-11,111.75,2022-07-24
2003-09-12,111.83,2022-07-24
2003-09-15,111.84,2022-07-24
2003-09-16,111.34,2022-07-24
2003-09-17,111.73,2022-07-24
2003-09-18,112.07,2022-07-24
2003-09-19,111.94,2022-07-24
2003-09-22,112.02,2022-07-24
2003-09-23,112.07,2022-07-24
2003-09-24,111.94,2022-07-24
2003-09-25,112,2022-07-24
2003-09-26,112.14,2022-07-24
2003-09-29,112.13,2022-07-24
2003-09-30,112.17,2022-07-24
2003-10-01,112.26,2022-07-24
2003-10-02,112.28,2022-07-24
2003-10-03,112.35,2022-07-24
2003-10-06,112.37,2022-07-24
2003-10-07,112.37,2022-07-24
2003-10-08,112.61,2022-07-24
2003-10-09,113.32,2022-07-24
2003-10-10,113.69,2022-07-24
2003-10-13,113.89,2022-07-24
2003-10-14,113.99,2022-07-24
2003-10-15,113.65,2022-07-24
2003-10-16,113.55,2022-07-24
2003-10-17,113.65,2022-07-24
2003-10-20,113.49,2022-07-24
2003-10-21,113.13,2022-07-24
2003-10-22,112.99,2022-07-24
2003-10-23,112.89,2022-07-24
2003-10-24,112.94,2022-07-24
2003-10-27,112.64,2022-07-24
2003-10-28,112.29,2022-07-24
2003-10-29,112.4,2022-07-24
2003-10-30,112.32,2022-07-24
2003-10-31,113.32,2022-07-24
2003-11-03,113.22,2022-07-24
2003-11-04,113.68,2022-07-24
2003-11-05,113.77,2022-07-24
2003-11-06,113.68,2022-07-24
2003-11-10,113.67,2022-07-24
2003-11-11,113.31,2022-07-24
2003-11-12,112.56,2022-07-24
2003-11-13,113.08,2022-07-24
2003-11-14,113.05,2022-07-24
2003-11-17,112.93,2022-07-24
2003-11-18,112.67,2022-07-24
2003-11-19,112.6,2022-07-24
2003-11-20,112.83,2022-07-24
2003-11-21,112.85,2022-07-24
2003-11-24,112.85,2022-07-24
2003-11-25,112.9,2022-07-24
2003-11-26,112.93,2022-07-24
2003-11-27,112.93,2022-07-24
2003-11-28,112.68,2022-07-24
2003-12-01,112.75,2022-07-24
2003-12-02,112.74,2022-07-24
2003-12-03,112.8,2022-07-24
2003-12-04,112.85,2022-07-24
2003-12-05,112.99,2022-07-24
2003-12-08,113.01,2022-07-24
2003-12-09,113.02,2022-07-24
2003-12-10,112.98,2022-07-24
2003-12-11,113.18,2022-07-24
2003-12-15,112.99,2022-07-24
2003-12-16,113.06,2022-07-24
2003-12-17,113.2,2022-07-24
2003-12-18,113.18,2022-07-24
2003-12-19,113.2,2022-07-24
2003-12-22,113.14,2022-07-24
2003-12-23,113.15,2022-07-24
2003-12-24,113.22,2022-07-24
2003-12-25,113.28,2022-07-24
2003-12-26,113.26,2022-07-24
2003-12-29,113.26,2022-07-24
2003-12-30,113.78,2022-07-24
2004-01-05,113.75,2022-07-24
2004-01-06,114.31,2022-07-24
2004-01-08,116.17,2022-07-24
2004-01-09,116.21,2022-07-24
2004-01-12,116.12,2022-07-24
2004-01-13,116.02,2022-07-24
2004-01-14,115.87,2022-07-24
2004-01-15,116.05,2022-07-24
2004-01-16,116.11,2022-07-24
2004-01-19,115.97,2022-07-24
2004-01-20,115.57,2022-07-24
2004-01-21,115.4,2022-07-24
2004-01-22,115.98,2022-07-24
2004-01-23,116.14,2022-07-24
2004-01-26,116.33,2022-07-24
2004-01-27,116.38,2022-07-24
2004-01-28,116.52,2022-07-24
