date,value,update_date
1994-01-01,2289.02,2022-07-24
1994-04-01,492.7,2022-07-24
1994-07-01,376.98,2022-07-24
1994-10-01,341.23,2022-07-24
1995-01-01,2574.25,2022-07-24
1995-04-01,629.24,2022-07-24
1995-07-01,449.21,2022-07-24
1995-10-01,625.42,2022-07-24
1996-01-01,2618,2022-07-24
1996-04-01,732.84,2022-07-24
1996-07-01,480.83,2022-07-24
1996-10-01,501.49,2022-07-24
1997-01-01,2467,2022-07-24
1997-04-01,680.9,2022-07-24
1997-07-01,629.82,2022-07-24
1997-10-01,588.71,2022-07-24
1998-01-01,2477.67,2022-07-24
1998-04-01,834.91,2022-07-24
1998-07-01,584.41,2022-07-24
1998-10-01,404.33,2022-07-24
1999-01-01,2277.06,2022-07-24
1999-04-01,720.91,2022-07-24
1999-07-01,420.38,2022-07-24
1999-10-01,462.86,2022-07-24
2000-01-01,2509.7,2022-07-24
2000-04-01,717.86,2022-07-24
2000-07-01,713.31,2022-07-24
2000-10-01,811.83,2022-07-24
2001-01-01,2874.39,2022-07-24
2001-04-01,1216.07,2022-07-24
2001-07-01,1182.97,2022-07-24
2001-10-01,1526.38,2022-07-24
2002-01-01,2421.43,2022-07-24
2002-04-01,991.12,2022-07-24
2002-07-01,1155.62,2022-07-24
2002-10-01,1108.95,2022-07-24
2003-01-01,4552.53,2022-07-24
2003-04-01,2036.7,2022-07-24
2003-07-01,2525.78,2022-07-24
2003-10-01,1942,2022-07-24
2004-01-01,5250.9,2022-07-24
2004-04-01,-41.13,2022-07-24
2004-07-01,2951.95,2022-07-24
2004-10-01,3836.14,2022-07-24
2005-01-01,5365.01,2022-07-24
2005-04-01,4490.33,2022-07-24
2005-07-01,2929.07,2022-07-24
2005-10-01,4696.67,2022-07-24
2006-01-01,6858.81,2022-07-24
2006-04-01,4822.23,2022-07-24
2006-07-01,10242.25,2022-07-24
2006-10-01,7847.08,2022-07-24
2007-01-01,11393.62,2022-07-24
2007-04-01,11328.58,2022-07-24
2007-07-01,10105.18,2022-07-24
2007-10-01,12756.54,2022-07-24
2008-01-01,17055.63,2022-07-24
2008-04-01,16390.56,2022-07-24
2008-07-01,15808.83,2022-07-24
2008-10-01,12564.77,2022-07-24
2009-01-01,8926.73,2022-07-24
2009-04-01,7920.1,2022-07-24
2009-07-01,8276.2,2022-07-24
2009-10-01,8276.44,2022-07-24
2010-01-01,9467.58,2022-07-24
2010-04-01,9522.02,2022-07-24
2010-07-01,9806.18,2022-07-24
2010-10-01,9267.92,2022-07-24
2011-01-01,12676.58,2022-07-24
2011-04-01,9983.34,2022-07-24
2011-07-01,10406.94,2022-07-24
2011-10-01,9620.17,2022-07-24
2012-01-01,13855.32,2022-07-24
2012-04-01,9841.15,2022-07-24
2012-07-01,13681.62,2022-07-24
2012-10-01,10380.37,2022-07-24
2013-01-01,11554.74,2022-07-24
2013-04-01,9292.82,2022-07-24
2013-07-01,10474.98,2022-07-24
2013-10-01,10854.03,2022-07-24
2014-01-01,13514.4,2022-07-24
2014-04-01,11381.66,2022-07-24
2014-07-01,12563.97,2022-07-24
2014-10-01,9712.64,2022-07-24
2015-01-01,9623.79,2022-07-24
2015-04-01,7885.98,2022-07-24
2015-07-01,10182.61,2022-07-24
2015-10-01,9574.49,2022-07-24
2016-01-01,9511.53,2022-07-24
2016-04-01,8636.38,2022-07-24
2016-07-01,10056.53,2022-07-24
2016-10-01,12308.31,2022-07-24
2017-01-01,10671.22,2022-07-24
2017-04-01,10311.89,2022-07-24
2017-07-01,11870.08,2022-07-24
2017-10-01,13724.77,2022-07-24
2018-01-01,13878.97,2022-07-24
2018-04-01,10814.94,2022-07-24
2018-07-01,15180.12,2022-07-24
2018-10-01,13041.06,2022-07-24
2019-01-01,12407.64,2022-07-24
2019-04-01,13648.06,2022-07-24
2019-07-01,13530.76,2022-07-24
2019-10-01,14293.48,2022-07-24
2020-01-01,10705.39,2022-07-24
2020-04-01,9834.92,2022-07-24
2020-07-01,11400.47,2022-07-24
2020-10-01,12845.79,2022-07-24
2021-01-01,14236.24,2022-07-24
2021-04-01,15521.62,2022-07-24
2021-07-01,23753,2022-07-24
2021-10-01,28284.26,2022-07-24
2022-01-01,9794.14,2022-07-24
