date,value,update_date
1992-12-01,6.5,2022-07-24
1993-01-01,7.7,2022-07-24
1993-02-01,8.4,2022-07-24
1993-03-01,9.6,2022-07-24
1993-04-01,11.8,2022-07-24
1993-05-01,14.5,2022-07-24
1993-06-01,13.8,2022-07-24
1993-07-01,19.6,2022-07-24
1993-08-01,22.3,2022-07-24
1993-09-01,22.9,2022-07-24
1993-10-01,25.8,2022-07-24
1993-11-01,28,2022-07-24
1993-12-01,33.2,2022-07-24
1994-01-01,35.5,2022-07-24
1994-02-01,37,2022-07-24
1994-03-01,40.3,2022-07-24
1994-04-01,47.3,2022-07-24
1994-05-01,53.7,2022-07-24
1994-06-01,60.7,2022-07-24
1994-07-01,65.7,2022-07-24
1994-08-01,72.6,2022-07-24
1994-09-01,78.6,2022-07-24
1994-10-01,82.5,2022-07-24
1994-11-01,86.6,2022-07-24
1994-12-01,97.8,2022-07-24
1995-01-01,93.5,2022-07-24
1995-02-01,101.7,2022-07-24
1995-03-01,107.2,2022-07-24
1995-04-01,123.2,2022-07-24
1995-05-01,138.2,2022-07-24
1995-06-01,156.6,2022-07-24
1995-07-01,165,2022-07-24
1995-08-01,173.8,2022-07-24
1995-09-01,179.7,2022-07-24
1995-10-01,184.1,2022-07-24
1995-11-01,195.1,2022-07-24
1995-12-01,220.8,2022-07-24
1996-01-01,216.7,2022-07-24
1996-02-01,229.2,2022-07-24
1996-03-01,241.7,2022-07-24
1996-04-01,251,2022-07-24
1996-05-01,254.2,2022-07-24
1996-06-01,266.9,2022-07-24
1996-07-01,271.8,2022-07-24
1996-08-01,275.3,2022-07-24
1996-09-01,276.1,2022-07-24
1996-10-01,278.8,2022-07-24
1996-11-01,282.4,2022-07-24
1996-12-01,288.3,2022-07-24
1997-01-01,289.9,2022-07-24
1997-02-01,299.5,2022-07-24
1997-03-01,305.8,2022-07-24
1997-04-01,317.8,2022-07-24
1997-05-01,328.4,2022-07-24
1997-06-01,352,2022-07-24
1997-07-01,363,2022-07-24
1997-08-01,364.6,2022-07-24
1997-09-01,363,2022-07-24
1997-10-01,368.8,2022-07-24
1997-11-01,357.4,2022-07-24
1997-12-01,374.1,2022-07-24
1998-01-01,364.9,2022-07-24
1998-02-01,366.9,2022-07-24
1998-03-01,364.7,2022-07-24
1998-04-01,372.6,2022-07-24
1998-05-01,375.7,2022-07-24
1998-06-01,374.5,2022-07-24
1998-07-01,365.6,2022-07-24
1998-08-01,350.5,2022-07-24
1998-09-01,374.1,2022-07-24
1998-10-01,386.9,2022-07-24
1998-11-01,407.4,2022-07-24
1998-12-01,453.7,2022-07-24
1999-01-01,450.6,2022-07-24
1999-02-01,471.3,2022-07-24
1999-03-01,482.2,2022-07-24
1999-04-01,518.8,2022-07-24
1999-05-01,553.7,2022-07-24
1999-06-01,581.5,2022-07-24
1999-07-01,596,2022-07-24
1999-08-01,605.7,2022-07-24
1999-09-01,611.9,2022-07-24
1999-10-01,639.4,2022-07-24
1999-11-01,663.5,2022-07-24
1999-12-01,714.6,2022-07-24
2000-01-01,709.6,2022-07-24
2000-02-01,742,2022-07-24
2000-03-01,768.4,2022-07-24
2000-04-01,802.5,2022-07-24
2000-05-01,850.1,2022-07-24
2000-06-01,905.8,2022-07-24
2000-07-01,950.5,2022-07-24
2000-08-01,977.6,2022-07-24
2000-09-01,1008.8,2022-07-24
2000-10-01,1016.4,2022-07-24
2000-11-01,1054.6,2022-07-24
2000-12-01,1150.6,2022-07-24
2001-01-01,1090.1,2022-07-24
2001-02-01,1118.5,2022-07-24
2001-03-01,1159.7,2022-07-24
2001-04-01,1220.5,2022-07-24
2001-05-01,1242.6,2022-07-24
2001-06-01,1301.3,2022-07-24
2001-07-01,1337.4,2022-07-24
2001-08-01,1374.5,2022-07-24
2001-09-01,1421.6,2022-07-24
2001-10-01,1449.8,2022-07-24
2001-11-01,1448.2,2022-07-24
2001-12-01,1609.4,2022-07-24
2002-01-01,1511.2,2022-07-24
2002-02-01,1532.8,2022-07-24
2002-03-01,1574.1,2022-07-24
2002-04-01,1630.7,2022-07-24
2002-05-01,1700.2,2022-07-24
2002-06-01,1764.1,2022-07-24
2002-07-01,1790.2,2022-07-24
2002-08-01,1824.3,2022-07-24
2002-09-01,1857.4,2022-07-24
2002-10-01,1900,2022-07-24
2002-11-01,1943.9,2022-07-24
2002-12-01,2130.5,2022-07-24
2003-01-01,2033.3,2022-07-24
2003-02-01,2114,2022-07-24
2003-03-01,2218.4,2022-07-24
2003-04-01,2326.1,2022-07-24
2003-05-01,2447.2,2022-07-24
2003-06-01,2619.3,2022-07-24
2003-07-01,2638.3,2022-07-24
2003-08-01,2695.3,2022-07-24
2003-09-01,2744,2022-07-24
2003-10-01,2753.5,2022-07-24
2003-11-01,2835.2,2022-07-24
2003-12-01,3205.2,2022-07-24
2004-01-01,3203.3,2022-07-24
2004-02-01,3323.5,2022-07-24
2004-03-01,3409.7,2022-07-24
2004-04-01,3474.2,2022-07-24
2004-05-01,3514.9,2022-07-24
2004-06-01,3670.9,2022-07-24
2004-07-01,3626.8,2022-07-24
2004-08-01,3649.8,2022-07-24
2004-09-01,3717.5,2022-07-24
2004-10-01,3787.8,2022-07-24
2004-11-01,3928.5,2022-07-24
2004-12-01,4353.9,2022-07-24
2005-01-01,4179.9,2022-07-24
2005-02-01,4300.6,2022-07-24
2005-03-01,4462.7,2022-07-24
2005-04-01,4577.5,2022-07-24
2005-05-01,4677.7,2022-07-24
2005-06-01,4915.4,2022-07-24
2005-07-01,4974.3,2022-07-24
2005-08-01,5118.2,2022-07-24
2005-09-01,5274.9,2022-07-24
2005-10-01,5296.5,2022-07-24
2005-11-01,5417.1,2022-07-24
2005-12-01,6032.1,2022-07-24
2006-01-01,5822.1,2022-07-24
2006-02-01,5899.7,2022-07-24
2006-03-01,6148.1,2022-07-24
2006-04-01,6333.4,2022-07-24
2006-05-01,6663.4,2022-07-24
2006-06-01,7057.2,2022-07-24
2006-07-01,7199.6,2022-07-24
2006-08-01,7417.4,2022-07-24
2006-09-01,7727.1,2022-07-24
2006-10-01,7743.4,2022-07-24
2006-11-01,7974.4,2022-07-24
2006-12-01,8970.7,2022-07-24
2007-01-01,8674.9,2022-07-24
2007-02-01,8873.4,2022-07-24
2007-03-01,9381.7,2022-07-24
2007-04-01,9964.3,2022-07-24
2007-05-01,10673,2022-07-24
2007-06-01,10827.4,2022-07-24
2007-07-01,10888.4,2022-07-24
2007-08-01,11128.5,2022-07-24
2007-09-01,11461.8,2022-07-24
2007-10-01,11382.2,2022-07-24
2007-11-01,11756,2022-07-24
2007-12-01,12869,2022-07-24
2008-01-01,12509.7,2022-07-24
2008-02-01,12662.9,2022-07-24
2008-03-01,12973.8,2022-07-24
2008-04-01,12944.4,2022-07-24
2008-05-01,13312.8,2022-07-24
2008-06-01,13841.2,2022-07-24
2008-07-01,13842.6,2022-07-24
2008-08-01,14196.6,2022-07-24
2008-09-01,14045.7,2022-07-24
2008-10-01,13173.1,2022-07-24
2008-11-01,12839.2,2022-07-24
2008-12-01,12975.9,2022-07-24
2009-01-01,11430.9,2022-07-24
2009-02-01,11465.2,2022-07-24
2009-03-01,11581.6,2022-07-24
2009-04-01,11838.7,2022-07-24
2009-05-01,12331.6,2022-07-24
2009-06-01,12650.5,2022-07-24
2009-07-01,12618.1,2022-07-24
2009-08-01,12797.3,2022-07-24
2009-09-01,13101.9,2022-07-24
2009-10-01,13376.9,2022-07-24
2009-11-01,13713.3,2022-07-24
2009-12-01,15267.6,2022-07-24
2010-01-01,14904.1,2022-07-24
2010-02-01,15236.4,2022-07-24
2010-03-01,15639.4,2022-07-24
2010-04-01,16098.6,2022-07-24
2010-05-01,16470.6,2022-07-24
2010-06-01,16900.9,2022-07-24
2010-07-01,17063.3,2022-07-24
2010-08-01,17437.7,2022-07-24
2010-09-01,17690.2,2022-07-24
2010-10-01,17848.3,2022-07-24
2010-11-01,18264.9,2022-07-24
2010-12-01,20011.9,2022-07-24
2011-01-01,19307.7,2022-07-24
2011-02-01,19536.7,2022-07-24
2011-03-01,19788.7,2022-07-24
2011-04-01,20020.8,2022-07-24
2011-05-01,20160.9,2022-07-24
2011-06-01,20721.9,2022-07-24
2011-07-01,20828.1,2022-07-24
2011-08-01,21061.9,2022-07-24
2011-09-01,21480.4,2022-07-24
2011-10-01,21366.7,2022-07-24
2011-11-01,21920,2022-07-24
2011-12-01,24204.8,2022-07-24
2012-01-01,23349.1,2022-07-24
2012-02-01,23542.5,2022-07-24
2012-03-01,23747.8,2022-07-24
2012-04-01,23923.8,2022-07-24
2012-05-01,24036.3,2022-07-24
2012-06-01,24461,2022-07-24
2012-07-01,24306.3,2022-07-24
2012-08-01,24284.2,2022-07-24
2012-09-01,24437.8,2022-07-24
2012-10-01,24444.8,2022-07-24
2012-11-01,24741,2022-07-24
2012-12-01,27164.6,2022-07-24
2013-01-01,26348.7,2022-07-24
2013-02-01,26768.4,2022-07-24
2013-03-01,27198.6,2022-07-24
2013-04-01,27377.1,2022-07-24
2013-05-01,27593.4,2022-07-24
2013-06-01,28212.3,2022-07-24
2013-07-01,28443.9,2022-07-24
2013-08-01,28499.9,2022-07-24
2013-09-01,28352.6,2022-07-24
2013-10-01,28276.4,2022-07-24
2013-11-01,28873.3,2022-07-24
2013-12-01,31155.6,2022-07-24
2014-01-01,29861.2,2022-07-24
2014-02-01,30169,2022-07-24
2014-03-01,29519.3,2022-07-24
2014-04-01,29879,2022-07-24
2014-05-01,29890.8,2022-07-24
2014-06-01,30073.1,2022-07-24
2014-07-01,30178.3,2022-07-24
2014-08-01,30338.7,2022-07-24
2014-09-01,30297.6,2022-07-24
2014-10-01,29831.2,2022-07-24
2014-11-01,30141.9,2022-07-24
2014-12-01,31615.7,2022-07-24
2015-01-01,31033.7,2022-07-24
2015-02-01,31225,2022-07-24
2015-03-01,31028.8,2022-07-24
2015-04-01,31696.9,2022-07-24
2015-05-01,31820.4,2022-07-24
2015-06-01,31936.3,2022-07-24
2015-07-01,32072.5,2022-07-24
2015-08-01,32361,2022-07-24
2015-09-01,32052.5,2022-07-24
2015-10-01,32161,2022-07-24
2015-11-01,32745,2022-07-24
2015-12-01,35179.7,2022-07-24
2016-01-01,33966.5,2022-07-24
2016-02-01,34309.6,2022-07-24
2016-03-01,34689.4,2022-07-24
2016-04-01,35105.5,2022-07-24
2016-05-01,35642.9,2022-07-24
2016-06-01,35856.9,2022-07-24
2016-07-01,36031.7,2022-07-24
2016-08-01,36169.6,2022-07-24
2016-09-01,36148.8,2022-07-24
2016-10-01,36051,2022-07-24
2016-11-01,36433,2022-07-24
2016-12-01,38418,2022-07-24
2017-01-01,38016.8,2022-07-24
2017-02-01,38462.3,2022-07-24
2017-03-01,38555.2,2022-07-24
2017-04-01,38663.8,2022-07-24
2017-05-01,39222.9,2022-07-24
2017-06-01,39623.1,2022-07-24
2017-07-01,39275.9,2022-07-24
2017-08-01,39419.3,2022-07-24
2017-09-01,39571,2022-07-24
2017-10-01,39667.5,2022-07-24
2017-11-01,40114.4,2022-07-24
2017-12-01,42442.2,2022-07-24
2018-01-01,41597.5,2022-07-24
2018-02-01,42045.5,2022-07-24
2018-03-01,42377,2022-07-24
2018-04-01,43122,2022-07-24
2018-05-01,43257.4,2022-07-24
2018-06-01,44126.7,2022-07-24
2018-07-01,43910.3,2022-07-24
2018-08-01,44369.1,2022-07-24
2018-09-01,44254.7,2022-07-24
2018-10-01,44218.4,2022-07-24
2018-11-01,44891.6,2022-07-24
2018-12-01,47109.3,2022-07-24
2019-01-01,45721.2,2022-07-24
2019-02-01,46212.6,2022-07-24
2019-03-01,46141.2,2022-07-24
2019-04-01,46435.9,2022-07-24
2019-05-01,46735.3,2022-07-24
2019-06-01,47349.4,2022-07-24
2019-07-01,47351,2022-07-24
2019-08-01,47584.1,2022-07-24
2019-09-01,48266.8,2022-07-24
2019-10-01,48082.4,2022-07-24
2019-11-01,49195.3,2022-07-24
2019-12-01,51660.3,2022-07-24
2020-01-01,50622.9,2022-07-24
2020-02-01,51314.2,2022-07-24
2020-03-01,52327,2022-07-24
2020-04-01,52951.7,2022-07-24
2020-05-01,53068,2022-07-24
2020-06-01,54392.6,2022-07-24
2020-07-01,54687.4,2022-07-24
2020-08-01,55294.2,2022-07-24
2020-09-01,56023.9,2022-07-24
2020-10-01,55871.6,2022-07-24
2020-11-01,56122.6,2022-07-24
2020-12-01,58652.1,2022-07-24
2021-01-01,57598.4,2022-07-24
2021-02-01,58178.2,2022-07-24
2021-03-01,58261.6,2022-07-24
2021-04-01,59206.3,2022-07-24
2021-05-01,59194.1,2022-07-24
2021-06-01,59583.9,2022-07-24
2021-07-01,59379.7,2022-07-24
2021-08-01,59816.9,2022-07-24
2021-09-01,60606.2,2022-07-24
2021-10-01,60813.7,2022-07-24
2021-11-01,62312.5,2022-07-24
2021-12-01,66252.9,2022-07-24
2022-01-01,65310.3,2022-07-24
2022-02-01,66659.7,2022-07-24
2022-03-01,68203.5,2022-07-24
2022-04-01,68475.3,2022-07-24
2022-05-01,68993.41499,2022-07-24
