date,value,update_date
2021-07-02,14038.6,2022-07-24
2021-07-09,14149.8,2022-07-24
2021-07-16,14246,2022-07-24
2021-07-23,14211.6,2022-07-24
2021-07-30,14186.7,2022-07-24
2021-08-06,14248.1,2022-07-24
2021-08-13,14334.5,2022-07-24
2021-08-20,14335,2022-07-24
2021-08-27,14244.2,2022-07-24
2021-09-03,14346.9,2022-07-24
2021-09-10,14488.6,2022-07-24
2021-09-17,14539.9,2022-07-24
2021-09-24,14412.9,2022-07-24
2021-10-01,14336.6,2022-07-24
2021-10-08,14393,2022-07-24
2021-10-15,14424.4,2022-07-24
2021-10-22,14356.6,2022-07-24
2021-10-29,14287.1,2022-07-24
2021-11-03,14310.6,2022-07-24
2021-11-12,14329.3,2022-07-24
2021-11-19,14349.9,2022-07-24
2021-11-26,14244,2022-07-24
2021-12-03,14234.2,2022-07-24
2021-12-10,14306.2,2022-07-24
2021-12-17,14414.2,2022-07-24
2021-12-24,14474.3,2022-07-24
2021-12-30,14608.2,2022-07-24
2022-01-14,14388.6,2022-07-24
2022-01-21,14376.5,2022-07-24
2022-01-28,14305.9,2022-07-24
2022-02-04,14352.2,2022-07-24
2022-02-11,14417.3,2022-07-24
2022-02-18,14496.3,2022-07-24
2022-02-25,15269.5,2022-07-24
2022-03-04,17231.6,2022-07-24
2022-03-11,17220.1,2022-07-24
2022-03-18,16165.3,2022-07-24
2022-03-25,15344.9,2022-07-24
2022-04-01,14892.4,2022-07-24
2022-04-08,14718,2022-07-24
2022-04-15,14642.8,2022-07-24
2022-04-22,14519.9,2022-07-24
2022-04-29,14454.8,2022-07-24
2022-05-06,14355.5,2022-07-24
2022-05-13,14361.2,2022-07-24
2022-05-20,14306.8,2022-07-24
2022-05-27,14151.9,2022-07-24
2022-06-03,14158.6,2022-07-24
2022-06-10,14293.6,2022-07-24
2022-06-17,14309.7,2022-07-24
2022-06-24,14204,2022-07-24
2022-07-01,14168.5,2022-07-24
2022-07-08,14281.1,2022-07-24
2022-07-15,14403.3,2022-07-24
