date,value,update_date
1968-01-01,-13.91915,2021-06-02
1968-02-01,-10.590392,2021-06-02
1968-03-01,-12.418841,2021-06-02
1968-04-01,-12.536996,2021-06-02
1968-05-01,-11.795932,2021-06-02
1968-06-01,-8.8393409,2021-06-02
1968-07-01,-13.461125,2021-06-02
1968-08-01,-17.083414,2021-06-02
1968-09-01,-16.30686,2021-06-02
1968-10-01,-21.227737,2021-06-02
1968-11-01,-9.9717248,2021-06-02
1968-12-01,-17.645873,2021-06-02
1969-01-01,-20.000698,2021-06-02
1969-02-01,-19.202469,2021-06-02
1969-03-01,-18.078238,2021-06-02
1969-04-01,-23.913659,2021-06-02
1969-05-01,-28.801398,2021-06-02
1969-06-01,-19.823773,2021-06-02
1969-07-01,-27.606565,2021-06-02
1969-08-01,-23.009271,2021-06-02
1969-09-01,-15.443173,2021-06-02
1969-10-01,-7.6732789,2021-06-02
1969-11-01,-1.9726114,2021-06-02
1969-12-01,2.6874127,2021-06-02
1970-01-01,24.225169,2021-06-02
1970-02-01,38.48108,2021-06-02
1970-03-01,52.569935,2021-06-02
1970-04-01,53.888771,2021-06-02
1970-05-01,55.441715,2021-06-02
1970-06-01,50.94791,2021-06-02
1970-07-01,46.533795,2021-06-02
1970-08-01,52.460414,2021-06-02
1970-09-01,57.791404,2021-06-02
1970-10-01,58.239781,2021-06-02
1970-11-01,53.105495,2021-06-02
1970-12-01,15.454256,2021-06-02
1971-01-01,6.6751435,2021-06-02
1971-02-01,-17.268096,2021-06-02
1971-03-01,-19.012149,2021-06-02
1971-04-01,-24.262438,2021-06-02
1971-05-01,-30.981858,2021-06-02
1971-06-01,-54.566172,2021-06-02
1971-07-01,-60.77671,2021-06-02
1971-08-01,-64.721198,2021-06-02
1971-09-01,-51.276154,2021-06-02
1971-10-01,-60.994012,2021-06-02
1971-11-01,-44.750083,2021-06-02
1971-12-01,-49.217035,2021-06-02
1972-01-01,-61.205934,2021-06-02
1972-02-01,-68.055507,2021-06-02
1972-03-01,-70.622438,2021-06-02
1972-04-01,-61.412554,2021-06-02
1972-05-01,-65.351713,2021-06-02
1972-06-01,-68.085668,2021-06-02
1972-07-01,-57.886808,2021-06-02
1972-08-01,-64.244173,2021-06-02
1972-09-01,-9.8930279,2021-06-02
1972-10-01,-6.9941303,2021-06-02
1972-11-01,-5.8446778,2021-06-02
1972-12-01,8.1627049,2021-06-02
1973-01-01,19.64449,2021-06-02
1973-02-01,28.39551,2021-06-02
1973-03-01,37.518191,2021-06-02
1973-04-01,41.924985,2021-06-02
1973-05-01,49.207962,2021-06-02
1973-06-01,56.673004,2021-06-02
1973-07-01,58.145895,2021-06-02
1973-08-01,68.671719,2021-06-02
1973-09-01,80.106881,2021-06-02
1973-10-01,106.03691,2021-06-02
1973-11-01,103.07374,2021-06-02
1973-12-01,113.08615,2021-06-02
1974-01-01,104.62419,2021-06-02
1974-02-01,87.690557,2021-06-02
1974-03-01,97.283084,2021-06-02
1974-04-01,85.314905,2021-06-02
1974-05-01,103.07882,2021-06-02
1974-06-01,81.416473,2021-06-02
1974-07-01,61.120852,2021-06-02
