date,value,update_date
1995-01-01,141.282518778333,2021-09-14
1995-04-01,181.8262980806,2021-09-14
1995-07-01,221.332254572389,2021-09-14
1995-10-01,250.309811052257,2021-09-14
1996-01-01,257.896661262036,2021-09-14
1996-04-01,269.796015905789,2021-09-14
1996-07-01,282.146293658481,2021-09-14
1996-10-01,304.478077318365,2021-09-14
1997-01-01,317.100764369147,2021-09-14
1997-04-01,324.332798042364,2021-09-14
1997-07-01,347.036636089112,2021-09-14
1997-10-01,377.212080006325,2021-09-14
1998-01-01,344.460236259555,2021-09-14
1998-04-01,346.991664754913,2021-09-14
1998-07-01,409.393060224489,2021-09-14
1998-10-01,514.48931931378,2021-09-14
1999-01-01,601.796252605804,2021-09-14
1999-04-01,644.778045423262,2021-09-14
1999-07-01,721.946373426015,2021-09-14
1999-10-01,823.1173847735,2021-09-14
2000-01-01,811.813838059628,2021-09-14
2000-04-01,845.15351380286,2021-09-14
2000-07-01,944.82101304769,2021-09-14
2000-10-01,1040.44571112341,2021-09-14
2001-01-01,1050.76070116806,2021-09-14
2001-04-01,1136.27552190869,2021-09-14
2001-07-01,1239.41655746111,2021-09-14
2001-10-01,1346.56194165547,2021-09-14
2002-01-01,1347.15920350584,2021-09-14
2002-04-01,1412.72091553873,2021-09-14
2002-07-01,1530.76824577517,2021-09-14
2002-10-01,1679.18021487865,2021-09-14
2003-01-01,1655.13592038649,2021-09-14
2003-04-01,1717.85310086411,2021-09-14
2003-07-01,1830.26020169791,2021-09-14
2003-10-01,2024.1021108388,2021-09-14
2004-01-01,2088.73869825618,2021-09-14
2004-04-01,2205.57409956412,2021-09-14
2004-07-01,2395.98500370349,2021-09-14
2004-10-01,2637.64509447387,2021-09-14
2005-01-01,2587.15202839085,2021-09-14
2005-04-01,2817.14135505085,2021-09-14
2005-07-01,3035.3036066321,2021-09-14
2005-10-01,3335.498363507,2021-09-14
2006-01-01,3156.54300486417,2021-09-14
2006-04-01,3438.37195075323,2021-09-14
2006-07-01,3687.07146031565,2021-09-14
2006-10-01,4059.67129417345,2021-09-14
2007-01-01,3815.86142582972,2021-09-14
2007-04-01,4209.3287833601,2021-09-14
2007-07-01,4581.54461854025,2021-09-14
2007-10-01,5111.36565736422,2021-09-14
2008-01-01,4829.39530458952,2021-09-14
2008-04-01,5314.94819148123,2021-09-14
2008-07-01,5789.67279357302,2021-09-14
2008-10-01,6137.17719977864,2021-09-14
2009-01-01,5440.72252076371,2021-09-14
2009-04-01,5637.28167775484,2021-09-14
2009-07-01,5872.41073443109,2021-09-14
2009-10-01,6255.67028223575,2021-09-14
2010-01-01,5926.4652758016,2021-09-14
2010-04-01,6291.94520914583,2021-09-14
2010-07-01,6686.12901828956,2021-09-14
2010-10-01,7206.34519724879,2021-09-14
