date,value,update_date
1995-01-01,4341.92632900702,2021-09-14
1995-04-01,4422.16233044145,2021-09-14
1995-07-01,4647.02149044255,2021-09-14
1995-10-01,4662.69720540771,2021-09-14
1996-01-01,4199.70862693416,2021-09-14
1996-04-01,4210.96705029478,2021-09-14
1996-07-01,4262.40037121504,2021-09-14
1996-10-01,4514.63647641363,2021-09-14
1997-01-01,4271.73704465103,2021-09-14
1997-04-01,4308.45823581173,2021-09-14
1997-07-01,4531.60344905771,2021-09-14
1997-10-01,4935.22912974784,2021-09-14
1998-01-01,4251.32291206376,2021-09-14
1998-04-01,4279.2583284032,2021-09-14
1998-07-01,4514.47566265975,2021-09-14
1998-10-01,4388.91866816243,2021-09-14
1999-01-01,4032.4706426059,2021-09-14
1999-04-01,4056.46102580624,2021-09-14
1999-07-01,4232.39022313404,2021-09-14
1999-10-01,4606.50776898843,2021-09-14
2000-01-01,4279.5224850858,2021-09-14
2000-04-01,4349.6153150836,2021-09-14
2000-07-01,4622.92770994189,2021-09-14
2000-10-01,4911.76691730406,2021-09-14
2001-01-01,4596.94444646997,2021-09-14
2001-04-01,4798.39522223488,2021-09-14
2001-07-01,5090.66019793515,2021-09-14
2001-10-01,5403.81052811991,2021-09-14
2002-01-01,5010.71158711804,2021-09-14
2002-04-01,5187.10857023244,2021-09-14
2002-07-01,5503.04967910193,2021-09-14
2002-10-01,5879.3953020362,2021-09-14
2003-01-01,5386.46312989045,2021-09-14
2003-04-01,5563.05755622627,2021-09-14
2003-07-01,5892.9082676173,2021-09-14
2003-10-01,6368.54279877426,2021-09-14
2004-01-01,6025.21597287428,2021-09-14
2004-04-01,6232.52228994256,2021-09-14
2004-07-01,6732.65028626985,2021-09-14
2004-10-01,7113.17872318693,2021-09-14
2005-01-01,6592.26775169536,2021-09-14
2005-04-01,7094.06885016064,2021-09-14
2005-07-01,7578.40230456231,2021-09-14
2005-10-01,8031.78159856997,2021-09-14
2006-01-01,7336.35136150235,2021-09-14
2006-04-01,7928.23486710155,2021-09-14
2006-07-01,8440.11190810558,2021-09-14
2006-10-01,9149.76002553626,2021-09-14
2007-01-01,8357.93289514867,2021-09-14
2007-04-01,9047.07492941291,2021-09-14
2007-07-01,9713.40286629938,2021-09-14
2007-10-01,10437.4023340143,2021-09-14
2008-01-01,9562.67997913406,2021-09-14
2008-04-01,10122.8585648914,2021-09-14
2008-07-01,10777.5872852976,2021-09-14
2008-10-01,11069.3388202247,2021-09-14
2009-01-01,9514.45625456442,2021-09-14
2009-04-01,9582.56311167364,2021-09-14
2009-07-01,9911.31837168269,2021-09-14
2009-10-01,10411.3790091931,2021-09-14
2010-01-01,9702.06346374544,2021-09-14
2010-04-01,10162.3617914517,2021-09-14
2010-07-01,10632.9328112059,2021-09-14
2010-10-01,11093.5179724208,2021-09-14
