date,value,update_date
1995-01-01,88.135933186085,2021-09-14
1995-04-01,114.614218961844,2021-09-14
1995-07-01,101.222322675313,2021-09-14
1995-10-01,112.752832849774,2021-09-14
1996-01-01,109.746664826063,2021-09-14
1996-04-01,124.274416521402,2021-09-14
1996-07-01,133.804189051665,2021-09-14
1996-10-01,153.26875,2021-09-14
1997-01-01,129.763978464937,2021-09-14
1997-04-01,136.047782297114,2021-09-14
1997-07-01,147.4130783613,2021-09-14
1997-10-01,163.447138942618,2021-09-14
1998-01-01,124.28660408614,2021-09-14
1998-04-01,133.833987023049,2021-09-14
1998-07-01,195.987873050434,2021-09-14
1998-10-01,361.579855738233,2021-09-14
1999-01-01,386.702631143015,2021-09-14
1999-04-01,473.852815707922,2021-09-14
1999-07-01,525.48193027714,2021-09-14
1999-10-01,688.177675693101,2021-09-14
2000-01-01,752.093296521259,2021-09-14
2000-04-01,808.035275033895,2021-09-14
2000-07-01,828.552888552292,2021-09-14
2000-10-01,816.840417472598,2021-09-14
2001-01-01,789.439030922142,2021-09-14
2001-04-01,844.059761766415,2021-09-14
2001-07-01,843.055792488107,2021-09-14
2001-10-01,809.725427143778,2021-09-14
2002-01-01,756.359772807841,2021-09-14
2002-04-01,935.319648111563,2021-09-14
2002-07-01,1036.22384407261,2021-09-14
2002-10-01,1068.78815417473,2021-09-14
2003-01-01,1076.55303699613,2021-09-14
2003-04-01,1110.01707582801,2021-09-14
2003-07-01,1198.57560883251,2021-09-14
2003-10-01,1250.26191166989,2021-09-14
2004-01-01,1175.14577581447,2021-09-14
2004-04-01,1400.02425673058,2021-09-14
2004-07-01,1575.05510141292,2021-09-14
2004-10-01,1683.38694793682,2021-09-14
2005-01-01,1525.00061568194,2021-09-14
2005-04-01,1856.36796436181,2021-09-14
2005-07-01,2036.0686436466,2021-09-14
2005-10-01,2155.74325032237,2021-09-14
2006-01-01,2054.41374654887,2021-09-14
2006-04-01,2303.05147443347,2021-09-14
2006-07-01,2358.01324403001,2021-09-14
2006-10-01,2326.10774097357,2021-09-14
2007-01-01,2077.61789618995,2021-09-14
2007-04-01,2420.58387807476,2021-09-14
2007-07-01,2541.28624239699,2021-09-14
2007-10-01,2943.62960992908,2021-09-14
2008-01-01,2909.88003589177,2021-09-14
2008-04-01,3327.83743220996,2021-09-14
2008-07-01,3650.75839348685,2021-09-14
2008-10-01,2983.75024983881,2021-09-14
2009-01-01,2214.85102153506,2021-09-14
2009-04-01,2551.09717218671,2021-09-14
2009-07-01,2919.55376422976,2021-09-14
2009-10-01,3106.58265232108,2021-09-14
2010-01-01,3019.92546659304,2021-09-14
2010-04-01,3297.14617954678,2021-09-14
2010-07-01,3331.89317681585,2021-09-14
2010-10-01,3820.45334864604,2021-09-14
