date,value,update_date
1995-01-01,1828.18321051713,2021-09-14
1995-04-01,2355.95886004712,2021-09-14
1995-07-01,2130.87764745969,2021-09-14
1995-10-01,2074.70186243007,2021-09-14
1996-01-01,1868.30819476336,2021-09-14
1996-04-01,2419.44675086615,2021-09-14
1996-07-01,2265.00772389169,2021-09-14
1996-10-01,2147.20699218646,2021-09-14
1997-01-01,1800.42373512704,2021-09-14
1997-04-01,2319.4438261788,2021-09-14
1997-07-01,2289.12799089325,2021-09-14
1997-10-01,2223.7342565069,2021-09-14
1998-01-01,1860.50736083328,2021-09-14
1998-04-01,2317.95867964317,2021-09-14
1998-07-01,2399.87001885291,2021-09-14
1998-10-01,2222.31046488491,2021-09-14
1999-01-01,2192.40784017109,2021-09-14
1999-04-01,2738.41518217714,2021-09-14
1999-07-01,2470.59182437342,2021-09-14
1999-10-01,2407.74294646217,2021-09-14
2000-01-01,2551.59831264517,2021-09-14
2000-04-01,2973.49373024656,2021-09-14
2000-07-01,2751.84592107768,2021-09-14
2000-10-01,2486.84322026483,2021-09-14
2001-01-01,2670.68248632653,2021-09-14
2001-04-01,3073.62508902003,2021-09-14
2001-07-01,2866.52122924633,2021-09-14
2001-10-01,2600.41926219383,2021-09-14
2002-01-01,2821.24960509583,2021-09-14
2002-04-01,3492.88695068937,2021-09-14
2002-07-01,3171.50662116807,2021-09-14
2002-10-01,2890.09918692594,2021-09-14
2003-01-01,3226.65050267578,2021-09-14
2003-04-01,3865.25440160395,2021-09-14
2003-07-01,3573.04105074852,2021-09-14
2003-10-01,3264.94559757262,2021-09-14
2004-01-01,3589.98737587775,2021-09-14
2004-04-01,4319.71853485503,2021-09-14
2004-07-01,3971.91253177667,2021-09-14
2004-10-01,3692.63505085127,2021-09-14
2005-01-01,3727.4817737495,2021-09-14
2005-04-01,4576.81714682295,2021-09-14
2005-07-01,4190.92657941813,2021-09-14
2005-10-01,4082.76496600551,2021-09-14
2006-01-01,4061.70557738114,2021-09-14
2006-04-01,4880.25508945095,2021-09-14
2006-07-01,4450.11998870163,2021-09-14
2006-10-01,4397.48799235826,2021-09-14
2007-01-01,4208.56804219383,2021-09-14
2007-04-01,5146.89867982727,2021-09-14
2007-07-01,4639.6204688824,2021-09-14
2007-10-01,4905.4771478339,2021-09-14
2008-01-01,4625.80733133294,2021-09-14
2008-04-01,5166.60444170265,2021-09-14
2008-07-01,4741.45688729875,2021-09-14
2008-10-01,4479.51456987133,2021-09-14
2009-01-01,3935.45285983853,2021-09-14
2009-04-01,4688.43181369525,2021-09-14
2009-07-01,4622.67208360795,2021-09-14
2009-10-01,4851.9440130359,2021-09-14
2010-01-01,4677.98025798868,2021-09-14
2010-04-01,4895.49626465145,2021-09-14
2010-07-01,4726.7001035684,2021-09-14
2010-10-01,5063.05452042479,2021-09-14
