date,value,update_date
1995-01-01,10757.4671152648,2021-09-14
1995-04-01,11072.2364965713,2021-09-14
1995-07-01,11666.8878148243,2021-09-14
1995-10-01,11845.8033673221,2021-09-14
1996-01-01,10518.406856222,2021-09-14
1996-04-01,10694.5673683632,2021-09-14
1996-07-01,11026.5511623268,2021-09-14
1996-10-01,11481.4177819946,2021-09-14
1997-01-01,10470.699774032,2021-09-14
1997-04-01,10604.6430106266,2021-09-14
1997-07-01,11338.5874482382,2021-09-14
1997-10-01,11895.0372301947,2021-09-14
1998-01-01,10318.7236159052,2021-09-14
1998-04-01,10503.5917587918,2021-09-14
1998-07-01,10341.3999189387,2021-09-14
1998-10-01,10812.6235279313,2021-09-14
1999-01-01,10128.002581474,2021-09-14
1999-04-01,10830.3745365949,2021-09-14
1999-07-01,11522.3854315027,2021-09-14
1999-10-01,12114.1940300623,2021-09-14
2000-01-01,11284.3466470237,2021-09-14
2000-04-01,11938.0613027214,2021-09-14
2000-07-01,12737.1709510095,2021-09-14
2000-10-01,13114.7434277834,2021-09-14
2001-01-01,11812.2369807734,2021-09-14
2001-04-01,12540.0365350409,2021-09-14
2001-07-01,13504.1226735223,2021-09-14
2001-10-01,13709.2273069509,2021-09-14
2002-01-01,12261.219488533,2021-09-14
2002-04-01,13092.8801959531,2021-09-14
2002-07-01,14102.6425971968,2021-09-14
2002-10-01,14554.75790671,2021-09-14
2003-01-01,13183.3436104549,2021-09-14
2003-04-01,14102.3109889441,2021-09-14
2003-07-01,14860.2038040346,2021-09-14
2003-10-01,15645.0999790981,2021-09-14
2004-01-01,14137.8583174579,2021-09-14
2004-04-01,15234.7271812557,2021-09-14
2004-07-01,15948.6124440785,2021-09-14
2004-10-01,16618.1666562157,2021-09-14
2005-01-01,14926.1609997714,2021-09-14
2005-04-01,16150.7784927477,2021-09-14
2005-07-01,16899.21868533,2021-09-14
2005-10-01,17911.1240790092,2021-09-14
2006-01-01,16015.5724224644,2021-09-14
2006-04-01,17456.1666091896,2021-09-14
2006-07-01,18283.384284342,2021-09-14
2006-10-01,19501.7138396823,2021-09-14
2007-01-01,17307.9311361731,2021-09-14
2007-04-01,18960.5224302668,2021-09-14
2007-07-01,19777.7150322492,2021-09-14
2007-10-01,21293.0232246434,2021-09-14
2008-01-01,18895.9786329345,2021-09-14
2008-04-01,20458.6792575312,2021-09-14
2008-07-01,21045.7657966241,2021-09-14
2008-10-01,21011.5430056958,2021-09-14
2009-01-01,17157.1760268231,2021-09-14
2009-04-01,18177.2495668932,2021-09-14
2009-07-01,19231.8793467819,2021-09-14
2009-10-01,20467.8863196948,2021-09-14
2010-01-01,17855.5475653433,2021-09-14
2010-04-01,19086.1020468607,2021-09-14
2010-07-01,19967.7211252916,2021-09-14
2010-10-01,21507.5312431416,2021-09-14
