date,value,update_date
1995-01-01,101.9294,2021-09-14
1995-04-01,141.228,2021-09-14
1995-07-01,190.5766,2021-09-14
1995-10-01,177.058,2021-09-14
1996-01-01,173.200740014686,2021-09-14
1996-04-01,161.134401831443,2021-09-14
1996-07-01,200.077534014218,2021-09-14
1996-10-01,164.954428557403,2021-09-14
1997-01-01,185.801073448633,2021-09-14
1997-04-01,164.732146067372,2021-09-14
1997-07-01,234.831031937382,2021-09-14
1997-10-01,197.979397267974,2021-09-14
1998-01-01,179.215376989962,2021-09-14
1998-04-01,163.235057577289,2021-09-14
1998-07-01,281.526908684659,2021-09-14
1998-10-01,322.7110209203,2021-09-14
1999-01-01,424.704760160804,2021-09-14
1999-04-01,406.047255722106,2021-09-14
1999-07-01,680.636775168799,2021-09-14
1999-10-01,620.123013574776,2021-09-14
2000-01-01,683.845734228497,2021-09-14
2000-04-01,678.50222111468,2021-09-14
2000-07-01,940.573862812126,2021-09-14
2000-10-01,817.010466529003,2021-09-14
2001-01-01,850.560842259598,2021-09-14
2001-04-01,791.045149746547,2021-09-14
2001-07-01,1134.47025758382,2021-09-14
2001-10-01,916.525177950373,2021-09-14
2002-01-01,817.776933310843,2021-09-14
2002-04-01,832.661143117824,2021-09-14
2002-07-01,1183.84281810322,2021-09-14
2002-10-01,1085.38401990405,2021-09-14
2003-01-01,1069.3442,2021-09-14
2003-04-01,1044.9541,2021-09-14
2003-07-01,1409.6473,2021-09-14
2003-10-01,1340.3827,2021-09-14
2004-01-01,1265.7329,2021-09-14
2004-04-01,1359.2033,2021-09-14
2004-07-01,1813.8837,2021-09-14
2004-10-01,1867.8841,2021-09-14
2005-01-01,1454.4834,2021-09-14
2005-04-01,1768.0927,2021-09-14
2005-07-01,2308.7948,2021-09-14
2005-10-01,2355.7682,2021-09-14
2006-01-01,1923.4695,2021-09-14
2006-04-01,2111.9826,2021-09-14
2006-07-01,2798.8751,2021-09-14
2006-10-01,2710.257,2021-09-14
2007-01-01,2018.0426,2021-09-14
2007-04-01,2553.0002,2021-09-14
2007-07-01,3333.3212,2021-09-14
2007-10-01,3482.717,2021-09-14
2008-01-01,2690.4,2021-09-14
2008-04-01,3292.7,2021-09-14
2008-07-01,4127.2,2021-09-14
2008-10-01,3388.4,2021-09-14
2009-01-01,2277.7516,2021-09-14
2009-04-01,2746.8396,2021-09-14
2009-07-01,3444.1935,2021-09-14
2009-10-01,3452.3008,2021-09-14
2010-01-01,2941.48706388634,2021-09-14
2010-04-01,3337.29582577722,2021-09-14
2010-07-01,4176.55722443276,2021-09-14
2010-10-01,4638.39777287739,2021-09-14
