date,value,update_date
1995-01-01,69.245963975984,2021-09-14
1995-04-01,94.0213659828828,2021-09-14
1995-07-01,95.0264435069134,2021-09-14
1995-10-01,106.94703298548,2021-09-14
1996-01-01,96.7055703802535,2021-09-14
1996-04-01,106.72963931531,2021-09-14
1996-07-01,113.304539155606,2021-09-14
1996-10-01,116.571283887754,2021-09-14
1997-01-01,108.147073048699,2021-09-14
1997-04-01,124.104231761989,2021-09-14
1997-07-01,137.478794690974,2021-09-14
1997-10-01,151.336435106175,2021-09-14
1998-01-01,130.731604402935,2021-09-14
1998-04-01,133.337586605081,2021-09-14
1998-07-01,158.901508945893,2021-09-14
1998-10-01,214.286892538399,2021-09-14
1999-01-01,263.055070046698,2021-09-14
1999-04-01,303.60859258253,2021-09-14
1999-07-01,316.623785914452,2021-09-14
1999-10-01,363.364574881795,2021-09-14
2000-01-01,380.952293195464,2021-09-14
2000-04-01,411.430349137346,2021-09-14
2000-07-01,453.906041942537,2021-09-14
2000-10-01,487.694183476485,2021-09-14
2001-01-01,433.38422281521,2021-09-14
2001-04-01,540.200900013585,2021-09-14
2001-07-01,564.262501154806,2021-09-14
2001-10-01,601.024648182861,2021-09-14
2002-01-01,521.107318178786,2021-09-14
2002-04-01,634.263468601413,2021-09-14
2002-07-01,701.108441351276,2021-09-14
2002-10-01,756.323721288084,2021-09-14
2003-01-01,663.607154769846,2021-09-14
2003-04-01,746.213924738487,2021-09-14
2003-07-01,831.751621346965,2021-09-14
2003-10-01,872.958839493048,2021-09-14
2004-01-01,750.562575050033,2021-09-14
2004-04-01,889.976266811575,2021-09-14
2004-07-01,1010.30699658178,2021-09-14
2004-10-01,1075.36272836639,2021-09-14
2005-01-01,909.549716477652,2021-09-14
2005-04-01,1073.94837997555,2021-09-14
2005-07-01,1239.07800018477,2021-09-14
2005-10-01,1366.54542148113,2021-09-14
2006-01-01,1094.90205970647,2021-09-14
2006-04-01,1334.07084974868,2021-09-14
2006-07-01,1468.92996643365,2021-09-14
2006-10-01,1683.65466804689,2021-09-14
2007-01-01,1395.86332555037,2021-09-14
2007-04-01,1703.10719331613,2021-09-14
2007-07-01,1882.15250515813,2021-09-14
2007-10-01,2090.32837198892,2021-09-14
2008-01-01,1806.86199966644,2021-09-14
2008-04-01,2223.45141624779,2021-09-14
2008-07-01,2525.22701013149,2021-09-14
2008-10-01,2441.12249671264,2021-09-14
2009-01-01,1704.88338892595,2021-09-14
2009-04-01,1870.10184757506,2021-09-14
2009-07-01,2053.73075786038,2021-09-14
2009-10-01,2226.54098424866,2021-09-14
2010-01-01,1773.13443962642,2021-09-14
2010-04-01,2258.49845129738,2021-09-14
2010-07-01,2705.7477719952,2021-09-14
2010-10-01,2925.77227429147,2021-09-14
