date,value,update_date
1995-01-01,1178.43968729673,2021-09-14
1995-04-01,1593.02742641821,2021-09-14
1995-07-01,1421.97201468064,2021-09-14
1995-10-01,1685.18160582108,2021-09-14
1996-01-01,1424.91263744688,2021-09-14
1996-04-01,1724.37313213828,2021-09-14
1996-07-01,1412.95633470146,2021-09-14
1996-10-01,1484.51867578468,2021-09-14
1997-01-01,1372.80047011363,2021-09-14
1997-04-01,1737.21547826379,2021-09-14
1997-07-01,1433.37430500133,2021-09-14
1997-10-01,1517.85221122024,2021-09-14
1998-01-01,1529.77960762512,2021-09-14
1998-04-01,1763.02036474845,2021-09-14
1998-07-01,1116.66981561347,2021-09-14
1998-10-01,801.913242598411,2021-09-14
1999-01-01,992.576039894854,2021-09-14
1999-04-01,1267.86444157378,2021-09-14
1999-07-01,1002.68556511761,2021-09-14
1999-10-01,935.108764587058,2021-09-14
2000-01-01,1224.07836895605,2021-09-14
2000-04-01,1625.7610318224,2021-09-14
2000-07-01,1378.06616682208,2021-09-14
2000-10-01,1296.42250689445,2021-09-14
2001-01-01,1410.01108189032,2021-09-14
2001-04-01,2103.54516540635,2021-09-14
2001-07-01,1597.03481209883,2021-09-14
2001-10-01,1494.6404012121,2021-09-14
2002-01-01,1626.39339489118,2021-09-14
2002-04-01,2297.99036189876,2021-09-14
2002-07-01,1859.69269440425,2021-09-14
2002-10-01,1750.92416872652,2021-09-14
2003-01-01,1922.86741914825,2021-09-14
2003-04-01,2638.95481108088,2021-09-14
2003-07-01,2187.38026081802,2021-09-14
2003-10-01,2071.84605641911,2021-09-14
2004-01-01,2339.73451809158,2021-09-14
2004-04-01,3234.765891957,2021-09-14
2004-07-01,2645.12633372851,2021-09-14
2004-10-01,2643.47271157168,2021-09-14
2005-01-01,2676.12634219234,2021-09-14
2005-04-01,3698.48811170094,2021-09-14
2005-07-01,3109.55483106106,2021-09-14
2005-10-01,3161.10633275763,2021-09-14
2006-01-01,3294.31100971288,2021-09-14
2006-04-01,4495.53713699425,2021-09-14
2006-07-01,3686.91630112626,2021-09-14
2006-10-01,3866.95048934945,2021-09-14
2007-01-01,4246.55863485964,2021-09-14
2007-04-01,5732.88236606147,2021-09-14
2007-07-01,4670.34642857143,2021-09-14
2007-10-01,4742.20598733449,2021-09-14
2008-01-01,5125.8351104707,2021-09-14
2008-04-01,6821.76874693313,2021-09-14
2008-07-01,5652.21732365145,2021-09-14
2008-10-01,4755.75889464594,2021-09-14
2009-01-01,3361.33061159142,2021-09-14
2009-04-01,4181.40273007093,2021-09-14
2009-07-01,3773.78781861292,2021-09-14
2009-10-01,4076.36476683938,2021-09-14
2010-01-01,3763.18945992102,2021-09-14
2010-04-01,5113.92751037159,2021-09-14
2010-07-01,5099.3580764671,2021-09-14
2010-10-01,5290.88013816926,2021-09-14
