date,value,update_date
1999-01-01,77.2,2021-08-18
1999-04-01,110.9,2021-08-18
1999-07-01,102.1,2021-08-18
1999-10-01,117.1,2021-08-18
2000-01-01,85.1,2021-08-18
2000-04-01,112.8,2021-08-18
2000-07-01,102.7,2021-08-18
2000-10-01,113,2021-08-18
2001-01-01,83.5,2021-08-18
2001-04-01,112.4,2021-08-18
2001-07-01,105.8,2021-08-18
2001-10-01,111,2021-08-18
2002-01-01,83.3,2021-08-18
2002-04-01,112,2021-08-18
2002-07-01,105.5,2021-08-18
2002-10-01,115.8,2021-08-18
2003-01-01,85.8,2021-08-18
2003-04-01,109.5,2021-08-18
2003-07-01,103.3,2021-08-18
2003-10-01,118,2021-08-18
2004-01-01,85.4,2021-08-18
2004-04-01,105.2,2021-08-18
2004-07-01,104.2,2021-08-18
2004-10-01,118.3,2021-08-18
2005-01-01,80.7,2021-08-18
2005-04-01,114.3,2021-08-18
2005-07-01,103.7,2021-08-18
2005-10-01,119.3,2021-08-18
2006-01-01,79,2021-08-18
2006-04-01,118.9,2021-08-18
2006-07-01,102,2021-08-18
2006-10-01,118.8,2021-08-18
2007-01-01,78,2021-08-18
2007-04-01,117.7,2021-08-18
2007-07-01,104,2021-08-18
2007-10-01,119.1,2021-08-18
2008-01-01,74.6,2021-08-18
2008-04-01,116.3,2021-08-18
2008-07-01,103.4,2021-08-18
2008-10-01,105.9,2021-08-18
2009-01-01,78.9,2021-08-18
2009-04-01,117.5,2021-08-18
2009-07-01,97.4,2021-08-18
2009-10-01,118.2,2021-08-18
2010-01-01,79.7,2021-08-18
2010-04-01,113.5,2021-08-18
2010-07-01,98.6,2021-08-18
2010-10-01,117.2,2021-08-18
2011-01-01,75.8,2021-08-18
2011-04-01,113.6,2021-08-18
2011-07-01,100.3,2021-08-18
2011-10-01,118.7,2021-08-18
2012-01-01,76.4,2021-08-18
2012-04-01,116.4,2021-08-18
2012-07-01,100.8,2021-08-18
2012-10-01,118.7,2021-08-18
2013-01-01,76.8,2021-08-18
2013-04-01,114,2021-08-18
2013-07-01,99.5,2021-08-18
2013-10-01,120.4,2021-08-18
