date,value,update_date
1999-01-01,77.8,2021-08-18
1999-04-01,110.3,2021-08-18
1999-07-01,101.8,2021-08-18
1999-10-01,116.6,2021-08-18
2000-01-01,85.2,2021-08-18
2000-04-01,112.7,2021-08-18
2000-07-01,101.9,2021-08-18
2000-10-01,112.1,2021-08-18
2001-01-01,83.7,2021-08-18
2001-04-01,112.3,2021-08-18
2001-07-01,105.5,2021-08-18
2001-10-01,109.7,2021-08-18
2002-01-01,84.5,2021-08-18
2002-04-01,111.9,2021-08-18
2002-07-01,105.1,2021-08-18
2002-10-01,116.1,2021-08-18
2003-01-01,86.5,2021-08-18
2003-04-01,109.3,2021-08-18
2003-07-01,102.9,2021-08-18
2003-10-01,117.8,2021-08-18
2004-01-01,85.3,2021-08-18
2004-04-01,104.8,2021-08-18
2004-07-01,103.9,2021-08-18
2004-10-01,119.3,2021-08-18
2005-01-01,81.5,2021-08-18
2005-04-01,114,2021-08-18
2005-07-01,103,2021-08-18
2005-10-01,119.3,2021-08-18
2006-01-01,78.5,2021-08-18
2006-04-01,119.8,2021-08-18
2006-07-01,102,2021-08-18
2006-10-01,118.4,2021-08-18
2007-01-01,77.3,2021-08-18
2007-04-01,117.8,2021-08-18
2007-07-01,104.3,2021-08-18
2007-10-01,119.1,2021-08-18
2008-01-01,73.7,2021-08-18
2008-04-01,115.9,2021-08-18
2008-07-01,103.1,2021-08-18
2008-10-01,106.5,2021-08-18
2009-01-01,79.5,2021-08-18
2009-04-01,118.2,2021-08-18
2009-07-01,96.7,2021-08-18
2009-10-01,119.2,2021-08-18
2010-01-01,80.2,2021-08-18
2010-04-01,113.2,2021-08-18
2010-07-01,98.2,2021-08-18
2010-10-01,117.1,2021-08-18
2011-01-01,75.9,2021-08-18
2011-04-01,112.9,2021-08-18
2011-07-01,100.4,2021-08-18
2011-10-01,118,2021-08-18
2012-01-01,76.4,2021-08-18
2012-04-01,115.7,2021-08-18
2012-07-01,100.1,2021-08-18
2012-10-01,119.6,2021-08-18
2013-01-01,76.5,2021-08-18
2013-04-01,113.3,2021-08-18
2013-07-01,99.5,2021-08-18
2013-10-01,120.2,2021-08-18
