date,value,update_date
1995-01-01,32.4843637238393,2021-09-14
1995-04-01,66.3042953285827,2021-09-14
1995-07-01,80.6135657644669,2021-09-14
1995-10-01,143.443344586704,2021-09-14
1996-01-01,68.6502886697137,2021-09-14
1996-04-01,84.7878266033254,2021-09-14
1996-07-01,103.797942198047,2021-09-14
1996-10-01,173.613688769985,2021-09-14
1997-01-01,83.484814770267,2021-09-14
1997-04-01,96.8236144101346,2021-09-14
1997-07-01,123.366406710794,2021-09-14
1997-10-01,156.00537401533,2021-09-14
1998-01-01,79.6949723358191,2021-09-14
1998-04-01,96.7161520190024,2021-09-14
1998-07-01,122.515603905892,2021-09-14
1998-10-01,156.649580652696,2021-09-14
1999-01-01,110.338555448641,2021-09-14
1999-04-01,149.480186064925,2021-09-14
1999-07-01,206.319680188741,2021-09-14
1999-10-01,277.975164023186,2021-09-14
2000-01-01,194.581338705797,2021-09-14
2000-04-01,271.342537608868,2021-09-14
2000-07-01,368.291264171964,2021-09-14
2000-10-01,486.912850075376,2021-09-14
2001-01-01,286.295525619437,2021-09-14
2001-04-01,394.924287410926,2021-09-14
2001-07-01,500.165698931778,2021-09-14
2001-10-01,630.35619466208,2021-09-14
2002-01-01,330.898614355304,2021-09-14
2002-04-01,449.508949287411,2021-09-14
2002-07-01,577.191216567272,2021-09-14
2002-10-01,722.26526298278,2021-09-14
2003-01-01,407.353921096945,2021-09-14
2003-04-01,570.517834520982,2021-09-14
2003-07-01,714.780706468314,2021-09-14
2003-10-01,915.954470560758,2021-09-14
2004-01-01,537.399657204715,2021-09-14
2004-04-01,742.027810768013,2021-09-14
2004-07-01,904.29703126024,2021-09-14
2004-10-01,1173.95922882562,2021-09-14
2005-01-01,632.362280490738,2021-09-14
2005-04-01,894.731868566904,2021-09-14
2005-07-01,1116.25328003146,2021-09-14
2005-10-01,1471.69006306134,2021-09-14
2006-01-01,764.465359634352,2021-09-14
2006-04-01,1157.26249010293,2021-09-14
2006-07-01,1436.04878432401,2021-09-14
2006-10-01,1983.51223644818,2021-09-14
2007-01-01,1033.43589126774,2021-09-14
2007-04-01,1589.90607680127,2021-09-14
2007-07-01,1919.73017891081,2021-09-14
2007-10-01,2943.38012612268,2021-09-14
2008-01-01,1520.59306591292,2021-09-14
2008-04-01,2250.04754552652,2021-09-14
2008-07-01,2628.55526574481,2021-09-14
2008-10-01,3469.16010998577,2021-09-14
2009-01-01,1456.38230695213,2021-09-14
2009-04-01,1995.25421615202,2021-09-14
2009-07-01,2341.40931909037,2021-09-14
2009-10-01,3363.18811813916,2021-09-14
2010-01-01,1520.15994106327,2021-09-14
2010-04-01,2326.3458432304,2021-09-14
2010-07-01,2742.03108984861,2021-09-14
2010-10-01,4152.34124891182,2021-09-14
