date,value,update_date
1995-01-01,1284.61977854288,2021-09-14
1995-04-01,2266.73210787175,2021-09-14
1995-07-01,2338.39998420252,2021-09-14
1995-10-01,3856.16808230493,2021-09-14
1996-01-01,1277.31394238324,2021-09-14
1996-04-01,1524.5235233814,2021-09-14
1996-07-01,1858.67483102483,2021-09-14
1996-10-01,3022.5536749934,2021-09-14
1997-01-01,1207.29043727016,2021-09-14
1997-04-01,1466.97981428273,2021-09-14
1997-07-01,1973.34419518943,2021-09-14
1997-10-01,2410.56598344829,2021-09-14
1998-01-01,1112.85815378548,2021-09-14
1998-04-01,1384.64111423332,2021-09-14
1998-07-01,1789.27001284957,2021-09-14
1998-10-01,1883.14514842066,2021-09-14
1999-01-01,1066.0336129564,2021-09-14
1999-04-01,1376.01713360628,2021-09-14
1999-07-01,1858.30177270488,2021-09-14
1999-10-01,2280.20230832801,2021-09-14
2000-01-01,1295.81207668618,2021-09-14
2000-04-01,1675.36403783129,2021-09-14
2000-07-01,2141.72412932699,2021-09-14
2000-10-01,2655.3464334139,2021-09-14
2001-01-01,1386.1336636591,2021-09-14
2001-04-01,1855.7874094934,2021-09-14
2001-07-01,2368.08862870137,2021-09-14
2001-10-01,2951.92490628027,2021-09-14
2002-01-01,1426.90711027284,2021-09-14
2002-04-01,1889.95398677074,2021-09-14
2002-07-01,2435.37712920646,2021-09-14
2002-10-01,3050.56841888834,2021-09-14
2003-01-01,1594.33178021304,2021-09-14
2003-04-01,2161.07887551825,2021-09-14
2003-07-01,2743.26858988159,2021-09-14
2003-10-01,3534.77433884416,2021-09-14
2004-01-01,1873.96088589164,2021-09-14
2004-04-01,2486.84042875923,2021-09-14
2004-07-01,3031.88796555436,2021-09-14
2004-10-01,3898.73271252973,2021-09-14
2005-01-01,1990.52609395356,2021-09-14
2005-04-01,2695.63530185054,2021-09-14
2005-07-01,3365.23801937567,2021-09-14
2005-10-01,4442.23798745022,2021-09-14
2006-01-01,2190.95880144072,2021-09-14
2006-04-01,3197.98953382546,2021-09-14
2006-07-01,3964.41610333692,2021-09-14
2006-10-01,5397.46288071975,2021-09-14
2007-01-01,2600.1048049659,2021-09-14
2007-04-01,3822.71210435838,2021-09-14
2007-07-01,4578.71741657696,2021-09-14
2007-10-01,6858.60318042463,2021-09-14
2008-01-01,3222.21056019618,2021-09-14
2008-04-01,4520.98033168167,2021-09-14
2008-07-01,5171.93141011841,2021-09-14
2008-10-01,6808.18853327985,2021-09-14
2009-01-01,2700.53348149283,2021-09-14
2009-04-01,3643.00308423501,2021-09-14
2009-07-01,4328.43862217438,2021-09-14
2009-10-01,6235.05359731813,2021-09-14
2010-01-01,2604.77590619971,2021-09-14
2010-04-01,3853.66776215998,2021-09-14
2010-07-01,4559.12111948332,2021-09-14
2010-10-01,6893.53964642847,2021-09-14
