date,value,update_date
1995-01-01,34.7509744498321,2021-09-14
1995-04-01,72.6856555534143,2021-09-14
1995-07-01,135.742159109704,2021-09-14
1995-10-01,133.041841050757,2021-09-14
1996-01-01,82.547622155912,2021-09-14
1996-04-01,95.6224834585983,2021-09-14
1996-07-01,175.171046475911,2021-09-14
1996-10-01,142.18910284951,2021-09-14
1997-01-01,93.7938922044013,2021-09-14
1997-04-01,112.903655167984,2021-09-14
1997-07-01,190.983673180068,2021-09-14
1997-10-01,139.851469278718,2021-09-14
1998-01-01,143.052555016785,2021-09-14
1998-04-01,170.507560865934,2021-09-14
1998-07-01,122.90723483685,2021-09-14
1998-10-01,-16.465071237756,2021-09-14
1999-01-01,78.0491141365162,2021-09-14
1999-04-01,178.153170167662,2021-09-14
1999-07-01,322.207938945727,2021-09-14
1999-10-01,164.65071237756,2021-09-14
2000-01-01,199.058979858262,2021-09-14
2000-04-01,296.607747157448,2021-09-14
2000-07-01,482.695832053493,2021-09-14
2000-10-01,442.524198575245,2021-09-14
2001-01-01,285.317871130175,2021-09-14
2001-04-01,428.991995888739,2021-09-14
2001-07-01,700.992224086194,2021-09-14
2001-10-01,627.197250667854,2021-09-14
2002-01-01,397.329146335323,2021-09-14
2002-04-01,477.676931765915,2021-09-14
2002-07-01,631.638351399948,2021-09-14
2002-10-01,756.961322907391,2021-09-14
2003-01-01,430.169829354718,2021-09-14
2003-04-01,607.878306674375,2021-09-14
2003-07-01,1011.49471209508,2021-09-14
2003-10-01,820.306110863758,2021-09-14
2004-01-01,554.441113390526,2021-09-14
2004-04-01,796.190711119676,2021-09-14
2004-07-01,1238.82689081587,2021-09-14
2004-10-01,1117.18557435441,2021-09-14
2005-01-01,762.159721186125,2021-09-14
2005-04-01,917.892053703347,2021-09-14
2005-07-01,1509.90049145855,2021-09-14
2005-10-01,1335.6018588602,2021-09-14
2006-01-01,955.145715218202,2021-09-14
2006-04-01,1212.82405087685,2021-09-14
2006-07-01,1913.63586938544,2021-09-14
2006-10-01,1857.70723508459,2021-09-14
2007-01-01,1367.88382599776,2021-09-14
2007-04-01,1827.195888739,2021-09-14
2007-07-01,2561.74820546748,2021-09-14
2007-10-01,2620.48723285842,2021-09-14
2008-01-01,1942.56822547557,2021-09-14
2008-04-01,2721.52270829318,2021-09-14
2008-07-01,3573.34559695674,2021-09-14
2008-10-01,2764.70906055209,2021-09-14
2009-01-01,1156.56641178665,2021-09-14
2009-04-01,1673.44582771247,2021-09-14
2009-07-01,2440.48384093755,2021-09-14
2009-10-01,2380.11752003562,2021-09-14
2010-01-01,1441.54689481537,2021-09-14
2010-04-01,2400.40711762061,2021-09-14
2010-07-01,3394.78613047279,2021-09-14
2010-10-01,3651.58691006233,2021-09-14
