date,value,update_date
1995-01-01,3223.3827144566,2021-09-14
1995-04-01,3337.81282013154,2021-09-14
1995-07-01,3790.74851250253,2021-09-14
1995-10-01,3893.13443118303,2021-09-14
1996-01-01,3535.17677766778,2021-09-14
1996-04-01,2957.08250684493,2021-09-14
1996-07-01,3147.27891336911,2021-09-14
1996-10-01,2849.05582181438,2021-09-14
1997-01-01,3286.21615255723,2021-09-14
1997-04-01,2849.54509282921,2021-09-14
1997-07-01,3111.64059834463,2021-09-14
1997-10-01,2694.07680354534,2021-09-14
1998-01-01,3124.23737063524,2021-09-14
1998-04-01,2595.40310199353,2021-09-14
1998-07-01,1183.91225185306,2021-09-14
1998-10-01,338.183979364006,2021-09-14
1999-01-01,729.064460088855,2021-09-14
1999-04-01,1331.35440940763,2021-09-14
1999-07-01,2378.20467730892,2021-09-14
1999-10-01,1290.76959331163,2021-09-14
2000-01-01,1772.72731035633,2021-09-14
2000-04-01,2639.13839300037,2021-09-14
2000-07-01,3263.93171941184,2021-09-14
2000-10-01,2689.24546194483,2021-09-14
2001-01-01,2084.88407059951,2021-09-14
2001-04-01,3579.34474555099,2021-09-14
2001-07-01,3694.92550371888,2021-09-14
2001-10-01,2893.61649402132,2021-09-14
2002-01-01,2150.92979337472,2021-09-14
2002-04-01,2970.63044392519,2021-09-14
2002-07-01,3690.19928707249,2021-09-14
2002-10-01,2999.7317360002,2021-09-14
2003-01-01,2442.85319693095,2021-09-14
2003-04-01,3637.21867043847,2021-09-14
2003-07-01,3927.34030847075,2021-09-14
2003-10-01,3588.85472221337,2021-09-14
2004-01-01,2799.24517827591,2021-09-14
2004-04-01,4201.26958981612,2021-09-14
2004-07-01,4235.57014966318,2021-09-14
2004-10-01,4073.67568291206,2021-09-14
2005-01-01,3287.35963592598,2021-09-14
2005-04-01,4374.73041018387,2021-09-14
2005-07-01,4596.68256164843,2021-09-14
2005-10-01,4496.44899754566,2021-09-14
2006-01-01,3724.43876184745,2021-09-14
2006-04-01,5287.82574257426,2021-09-14
2006-07-01,5314.37459383668,2021-09-14
2006-10-01,5412.77240939661,2021-09-14
2007-01-01,4801.3127726794,2021-09-14
2007-04-01,6705.53437057991,2021-09-14
2007-07-01,6379.36481543573,2021-09-14
2007-10-01,6312.81716125331,2021-09-14
2008-01-01,5420.57947946442,2021-09-14
2008-04-01,8260.01018387553,2021-09-14
2008-07-01,7311.82483921114,2021-09-14
2008-10-01,5930.15069008383,2021-09-14
2009-01-01,2519.83386490146,2021-09-14
2009-04-01,3604.77057991513,2021-09-14
2009-07-01,4586.53774194532,2021-09-14
2009-10-01,4747.70657571797,2021-09-14
2010-01-01,2568.0180607793,2021-09-14
2010-04-01,4752.88712871287,2021-09-14
2010-07-01,5979.39990245984,2021-09-14
2010-10-01,6473.71638032703,2021-09-14
