date,value,update_date
2000-02-01,96.3768115942029,2021-09-14
2000-03-01,107.218045112782,2021-09-14
2000-04-01,102.945301542777,2021-09-14
2000-05-01,88.0108991825613,2021-09-14
2000-06-01,101.547987616099,2021-09-14
2000-07-01,100.609756097561,2021-09-14
2000-08-01,102.121212121212,2021-09-14
2000-09-01,100,2021-09-14
2000-10-01,106.231454005935,2021-09-14
2000-11-01,100,2021-09-14
2000-12-01,106.564245810056,2021-09-14
2001-01-01,90.8256880733945,2021-09-14
2001-02-01,96.5367965367966,2021-09-14
2001-03-01,109.118086696562,2021-09-14
2001-04-01,95.0684931506849,2021-09-14
2001-05-01,99.5677233429395,2021-09-14
2001-06-01,98.986975397974,2021-09-14
2001-07-01,101.169590643275,2021-09-14
2001-08-01,101.445086705202,2021-09-14
2001-09-01,100.569800569801,2021-09-14
2001-10-01,108.215297450425,2021-09-14
2001-11-01,99.0837696335078,2021-09-14
2001-12-01,102.509907529723,2021-09-14
2002-01-01,92.6546391752577,2021-09-14
2002-02-01,95.8275382475661,2021-09-14
2002-03-01,108.708272859216,2021-09-14
2002-04-01,96.2616822429906,2021-09-14
2002-05-01,95.5617198335645,2021-09-14
2002-06-01,101.451378809869,2021-09-14
2002-07-01,104.721030042918,2021-09-14
2002-08-01,101.092896174863,2021-09-14
2002-09-01,99.5945945945946,2021-09-14
2002-10-01,106.919945725916,2021-09-14
2002-11-01,96.7005076142132,2021-09-14
2002-12-01,105.905511811024,2021-09-14
2003-01-01,93.4324659231722,2021-09-14
2003-02-01,98.8063660477454,2021-09-14
2003-03-01,110.738255033557,2021-09-14
2003-04-01,97.2121212121212,2021-09-14
2003-05-01,95.2618453865337,2021-09-14
2003-06-01,100.65445026178,2021-09-14
2003-07-01,103.771131339402,2021-09-14
2003-08-01,99.1228070175439,2021-09-14
2003-09-01,102.781289506953,2021-09-14
2003-10-01,105.535055350553,2021-09-14
2003-11-01,97.3193473193473,2021-09-14
2003-12-01,110.179640718563,2021-09-14
2004-01-01,88.2608695652174,2021-09-14
2004-02-01,101.600985221675,2021-09-14
2004-03-01,107.515151515152,2021-09-14
2004-04-01,96.5050732807215,2021-09-14
2004-05-01,96.2616822429907,2021-09-14
2004-06-01,103.155339805825,2021-09-14
2004-07-01,100.941176470588,2021-09-14
2004-08-01,102.097902097902,2021-09-14
2004-09-01,99.3150684931507,2021-09-14
2004-10-01,103.103448275862,2021-09-14
2004-11-01,101.560758082497,2021-09-14
2004-12-01,107.903402854007,2021-09-14
2005-01-01,85.147507629705,2021-09-14
2005-02-01,104.659498207885,2021-09-14
2005-03-01,106.506849315068,2021-09-14
2005-04-01,96.1414790996785,2021-09-14
2005-05-01,94.6488294314381,2021-09-14
2005-06-01,106.242638398115,2021-09-14
2005-07-01,99.6674057649667,2021-09-14
2005-08-01,102.113459399333,2021-09-14
2005-09-01,100.653594771242,2021-09-14
2005-10-01,102.597402597403,2021-09-14
2005-11-01,102.10970464135,2021-09-14
2005-12-01,105.888429752066,2021-09-14
2006-01-01,85.5609756097561,2021-09-14
2006-02-01,101.140250855188,2021-09-14
2006-03-01,111.499436302142,2021-09-14
2006-04-01,94.5399393326592,2021-09-14
2006-05-01,100.748663101604,2021-09-14
2006-06-01,100.424628450106,2021-09-14
2006-07-01,101.268498942918,2021-09-14
2006-08-01,103.653444676409,2021-09-14
2006-09-01,99.3957703927493,2021-09-14
2006-10-01,104.35663627153,2021-09-14
2006-11-01,100.873786407767,2021-09-14
2006-12-01,104.138594802695,2021-09-14
2007-01-01,88.909426987061,2021-09-14
2007-02-01,98.8565488565488,2021-09-14
2007-03-01,111.041009463722,2021-09-14
2007-04-01,94.6969696969697,2021-09-14
2007-05-01,100.7,2021-09-14
2007-06-01,100.794438927507,2021-09-14
2007-07-01,103.054187192118,2021-09-14
2007-08-01,101.051625239006,2021-09-14
2007-09-01,97.8240302743614,2021-09-14
2007-10-01,105.222437137331,2021-09-14
2007-11-01,101.286764705882,2021-09-14
2007-12-01,103.085299455535,2021-09-14
2008-01-01,90.3169014084507,2021-09-14
