date,value,update_date
1995-01-01,106.5402,2021-09-14
1995-04-01,142.4584,2021-09-14
1995-07-01,180.9772,2021-09-14
1995-10-01,217.9,2021-09-14
1996-01-01,208.706796954937,2021-09-14
1996-04-01,241.620239344698,2021-09-14
1996-07-01,275.157624867442,2021-09-14
1996-10-01,297.158738832924,2021-09-14
1997-01-01,260.337710401041,2021-09-14
1997-04-01,283.93983173507,2021-09-14
1997-07-01,320.437228731125,2021-09-14
1997-10-01,338.185944729456,2021-09-14
1998-01-01,295.604281912945,2021-09-14
1998-04-01,314.64746311003,2021-09-14
1998-07-01,304.016478372738,2021-09-14
1998-10-01,348.778605066265,2021-09-14
1999-01-01,366.54488399444,2021-09-14
1999-04-01,471.710213114727,2021-09-14
1999-07-01,497.109454853153,2021-09-14
1999-10-01,598.241527084507,2021-09-14
2000-01-01,609.27983028825,2021-09-14
2000-04-01,688.285150951379,2021-09-14
2000-07-01,771.144168603112,2021-09-14
2000-10-01,868.520661823703,2021-09-14
2001-01-01,766.488732878566,2021-09-14
2001-04-01,935.286191253294,2021-09-14
2001-07-01,1027.1764765604,2021-09-14
2001-10-01,1119.4471420674,2021-09-14
2002-01-01,1088.27967596152,2021-09-14
2002-04-01,1207.08983456758,2021-09-14
2002-07-01,1336.94116215767,2021-09-14
2002-10-01,1432.78992731323,2021-09-14
2003-01-01,1341.0392,2021-09-14
2003-04-01,1509.7074,2021-09-14
2003-07-01,1631.4638,2021-09-14
2003-10-01,1749.1776,2021-09-14
2004-01-01,1731.191,2021-09-14
2004-04-01,1936.5068,2021-09-14
2004-07-01,2022.7596,2021-09-14
2004-10-01,2154.5792,2021-09-14
2005-01-01,2133.469,2021-09-14
2005-04-01,2305.2716,2021-09-14
2005-07-01,2390.7551,2021-09-14
2005-10-01,2644.7711,2021-09-14
2006-01-01,2662.1056,2021-09-14
2006-04-01,2942.3439,2021-09-14
2006-07-01,3050.0517,2021-09-14
2006-10-01,3331.4045,2021-09-14
2007-01-01,3450.588,2021-09-14
2007-04-01,3740.4086,2021-09-14
2007-07-01,3950.703,2021-09-14
2007-10-01,4384.4156,2021-09-14
2008-01-01,4445.7,2021-09-14
2008-04-01,4829.8,2021-09-14
2008-07-01,5082.5,2021-09-14
2008-10-01,5201.8,2021-09-14
2009-01-01,4837.2513,2021-09-14
2009-04-01,5033.6211,2021-09-14
2009-07-01,5124.4898,2021-09-14
2009-10-01,5416.2522,2021-09-14
2010-01-01,5293.5684,2021-09-14
2010-04-01,5635.0198,2021-09-14
2010-07-01,5795.4234,2021-09-14
2010-10-01,6271.6243,2021-09-14
