date,value,update_date
1999-01-01,1302.8,2021-08-18
1999-04-01,1568.5,2021-08-18
1999-07-01,1700.3,2021-08-18
1999-10-01,2071.8,2021-08-18
2000-01-01,1851.2,2021-08-18
2000-04-01,2166.8,2021-08-18
2000-07-01,2341,2021-08-18
2000-10-01,2777.1,2021-08-18
2001-01-01,2486.4,2021-08-18
2001-04-01,2950.4,2021-08-18
2001-07-01,3193.2,2021-08-18
2001-10-01,3649.6,2021-08-18
2002-01-01,3219.7,2021-08-18
2002-04-01,3735.2,2021-08-18
2002-07-01,4012.3,2021-08-18
2002-10-01,4785.1,2021-08-18
2003-01-01,4353.9,2021-08-18
2003-04-01,4916.8,2021-08-18
2003-07-01,5147.8,2021-08-18
2003-10-01,6204.8,2021-08-18
2004-01-01,5526.2,2021-08-18
2004-04-01,5964.2,2021-08-18
2004-07-01,6345.3,2021-08-18
2004-10-01,7711.2,2021-08-18
2005-01-01,6567.8,2021-08-18
2005-04-01,7748.6,2021-08-18
2005-07-01,8129.5,2021-08-18
2005-10-01,9841.2,2021-08-18
2006-01-01,8171.5,2021-08-18
2006-04-01,9899.4,2021-08-18
2006-07-01,10217.7,2021-08-18
2006-10-01,12274.3,2021-08-18
2007-01-01,9930.9,2021-08-18
2007-04-01,11932.5,2021-08-18
2007-07-01,12667.1,2021-08-18
2007-10-01,15605.9,2021-08-18
2008-01-01,12213,2021-08-18
2008-04-01,14749.7,2021-08-18
2008-07-01,15579.3,2021-08-18
2008-10-01,16904.5,2021-08-18
2009-01-01,14065.1,2021-08-18
2009-04-01,16967.9,2021-08-18
2009-07-01,16730.6,2021-08-18
2009-10-01,19833.3,2021-08-18
2010-01-01,16146.4,2021-08-18
2010-04-01,18690,2021-08-18
2010-07-01,18549.4,2021-08-18
2010-10-01,22456,2021-08-18
2011-01-01,17710.6,2021-08-18
2011-04-01,20417.6,2021-08-18
2011-07-01,20512.3,2021-08-18
2011-10-01,24535,2021-08-18
2012-01-01,19121,2021-08-18
2012-04-01,22591,2021-08-18
2012-07-01,23280.7,2021-08-18
2012-10-01,27986.2,2021-08-18
