date,value,update_date
1998-01-01,100.79,2021-09-14
1998-02-01,100.66,2021-09-14
1998-03-01,99.36,2021-09-14
1998-04-01,99.88,2021-09-14
1998-05-01,98.67,2021-09-14
1998-06-01,99.68,2021-09-14
1998-07-01,98.44,2021-09-14
1998-08-01,97.78,2021-09-14
1998-09-01,107.34,2021-09-14
1998-10-01,106.05,2021-09-14
1998-11-01,105.32,2021-09-14
1998-12-01,104.47,2021-09-14
1999-01-01,107.24,2021-09-14
1999-02-01,105.28,2021-09-14
1999-03-01,104.05,2021-09-14
1999-04-01,104.43,2021-09-14
1999-05-01,103.88,2021-09-14
1999-06-01,103.22,2021-09-14
1999-07-01,104.68,2021-09-14
1999-08-01,104.49,2021-09-14
1999-09-01,105.16,2021-09-14
1999-10-01,105.64,2021-09-14
1999-11-01,104.14,2021-09-14
1999-12-01,102.52,2021-09-14
2000-01-01,104.31,2021-09-14
2000-02-01,103.14,2021-09-14
2000-03-01,102.24,2021-09-14
2000-04-01,101.68,2021-09-14
2000-05-01,101.69,2021-09-14
2000-06-01,102.44,2021-09-14
2000-07-01,102.83,2021-09-14
2000-08-01,101.8,2021-09-14
2000-09-01,102.24,2021-09-14
2000-10-01,103.48,2021-09-14
2000-11-01,101.16,2021-09-14
2000-12-01,101.07,2021-09-14
2001-01-01,101.32,2021-09-14
2001-02-01,101.1,2021-09-14
2001-03-01,100.69,2021-09-14
2001-04-01,100.8,2021-09-14
2001-05-01,101.06,2021-09-14
2001-06-01,102.53,2021-09-14
2001-07-01,100.51,2021-09-14
2001-08-01,99.98,2021-09-14
2001-09-01,99.79,2021-09-14
2001-10-01,100.43,2021-09-14
2001-11-01,100.18,2021-09-14
2001-12-01,99.68,2021-09-14
2002-01-01,100.21,2021-09-14
2002-02-01,99.49,2021-09-14
2002-03-01,100.02,2021-09-14
2002-04-01,102.07,2021-09-14
2002-05-01,102.17,2021-09-14
2002-06-01,103,2021-09-14
2002-07-01,102.59,2021-09-14
2002-08-01,101.95,2021-09-14
2002-09-01,101.1,2021-09-14
2002-10-01,102.09,2021-09-14
2002-11-01,101.61,2021-09-14
2002-12-01,100.14,2021-09-14
2003-01-01,100.52,2021-09-14
2003-02-01,101.58,2021-09-14
2003-03-01,101.41,2021-09-14
2003-04-01,101.05,2021-09-14
2003-05-01,100.06,2021-09-14
2003-06-01,100.37,2021-09-14
2003-07-01,102.23,2021-09-14
2003-08-01,101.8,2021-09-14
