ticker,related_ticker
unemployed,unemployed_15
unemployment,unemployment_15
employed,employed_15
construction_real,construction_nom
construction_real,ppi_construction
services_real,services_market
services_real,ppi_services
DCOILBRENTEU_monthly,DCOILBRENTEU
depo_monthly,depo
fer_monthly,fer
IMOEX_monthly,IMOEX
miacr_monthly,miacr
MOEX10_monthly,MOEX10
mosprime_monthly,mosprime
ostat_monthly,ostat
repo_monthly,repo
RGBI_monthly,RGBI
RGBITR_monthly,RGBITR
RTSI_monthly,RTSI
RTSOG_monthly,RTSOG
saldo_monthly,saldo
SP500_monthly,SP500
usd_monthly,usd
STLFSI2_monthly,STLFSI2
urals_monthly,DCOILBRENTEU
