ticker,table
li_electricity_1,li_month
li_manufacturing_1,li_month
li_mining_1,li_month
li_consumer,li_consumer
li_retail_1,li_retail
li_building_1,lili_building
gdp_nom,stei
gdp_real,stei
ipi,stei
ipi_mining,stei
ipi_manufacturing,stei
ipi_electricity,stei
ipi_water,stei
api,stei
animal_livestock,stei
animal_milk,stei
animal_eggs,stei
freight_turnover,stei
freight_turnover_commercial,stei
freight_loading_railway,stei
investment_fc,stei
investment_fc_own_funds,stei
investment_fc_external_funds,stei
investment_fc_budget_funds,stei
investment_fc_federal_budget,stei
construction_nom,stei
residential,stei
deficit,stei
retail_nom,stei
retail_real,stei
retail_food_nom,stei
retail_food_real,stei
retail_non_food_nom,stei
retail_non_food_real,stei
retail_catering_nom,stei
retail_catering_real,stei
retail_inventory_nom,stei
retail_inventory_days,stei
services_market,stei
net_result_mining,stei
net_result_manufacturing,stei
net_result_electricity,stei
net_result_construction,stei
net_result_transport,stei
loss_making_mining,stei
loss_making_manufacturing,stei
loss_making_electricity,stei
loss_making_construction,stei
loss_making_transport,stei
indebtedness_cred,stei
indebtedness_cred_overdue,stei
indebtedness_cred_suppliers,stei
indebtedness_cred_budget,stei
indebtedness_debt,stei
indebtedness_debt_overdue,stei
indebtedness_debt_customer,stei
wage_overdue,stei
ppi,stei
ppi_mining,stei
ppi_manufacturing,stei
ppi_electricity,stei
ppi_water,stei
ppi_oil,stei
ppil_coal,stei
ppi_gas,stei
ppi_gasoline,stei
ppi_diesel,stei
ppi_resid,stei
ppi_animal,stei
ppi_cattle,stei
ppi_poultry,stei
ppi_milk,stei
ppi_eggs,stei
ppi_investment,stei
ppi_construction,stei
ppi_freight,stei
cpi,stei
cpi_food,stei
cpi_alcohol,stei
ppi_non_food,stei
ppi_services,stei
employed_15_72,stei
employed,stei
unemployed_15_72,stei
unemployed,stei
unemployment_15_72,stei
unemployment,stei
unemployment_registered,stei
non_labor,stei
employer_demands,stei
non_labor_to_employer_demands,stei
wage_nom,stei
wage_real,stei
money_income_1996,stei
money_income,stei
income_real_1996,stei
income_real,stei
income_real_disp_1996,stei
income_real_disp,stei
invest_real,gdp_expenditure
invest_nom,gdp_expenditure
import_real,gdp_expenditure
import_nom,gdp_expenditure
export_real,gdp_expenditure
export_nom,gdp_expenditure
cons_real,gdp_expenditure
cons_nom,gdp_expenditure
invest_fixed_capital_real,gdp_expenditure
invest_fixed_capital_nom,gdp_expenditure
labor_income_nom,gdp_income
gross_profit_nom,gdp_income
base_output,
investment_nom,
services_real,
wholesale_real,
wholesale,
