ticker,source,freq,name_eng,name_rus,observation_start,use_archive,name_rus_short,transform,deseason,aggregate
IMOEX,moex,d,MOEX Russia Index,Индекс МосБиржи,1997-09-22,FALSE,Индекс МосБиржи,cummean,logdiff,mean
MOEX10,moex,d,MOEX 10 Index,Индекс МосБиржи 10,1998-01-06,FALSE,Индекс МосБиржи 10,cummean,logdiff,mean
RTSI,moex,d,RTS Index,Индекс РТС,1995-09-01,FALSE,Индекс РТС,cummean,logdiff,mean
RTSOG,moex,d,RTS Oil & Gas Index,Индекс РТС нефти и газа,1999-12-31,FALSE,Индекс РТС нефти и газа,cummean,logdiff,mean
RGBI,moex,d,MOEX Government Bond Index Clean Price,Индекс Мосбиржи государственных облигаций ценовой,2003-01-01,FALSE,Индекс Мосбиржи гособлигаций ценовой,cummean,logdiff,mean
RGBITR,moex,d,MOEX Government Bond Index,Индекс Мосбиржи государственных облигаций,2003-01-01,FALSE,Индекс Мосбиржи гособлигаций,cummean,logdiff,mean
SP500,fred,d,S&P 500,S&P 500,2011-05-31,TRUE,S&P 500,cummean,logdiff,mean
DCOILBRENTEU,fred,d,Crude Oil Prices: Brent - Europe,Crude Oil Prices: Brent - Europe,1987-05-20,FALSE,Crude Oil Prices: Brent - Europe,cummean,logdiff,mean
NBRUBIS,fred,m,Russia Nominal Effecive Exchange Rate ,Russia Nominal Effecive Exchange Rate,1997-05-20,FALSE,Russia Nominal Effecive Exchange Rate,no,logdiff,mean
PALLFNFINDEXM,fred,m,Global Price Index of All Commodities,Global Price Index of All Commodities,1992-01-01,FALSE,Global Price Index of All Commodities,no,logdiff,mean
PALUMUSDM,fred,m,Global price of Aluminum,Global price of Aluminum,1990-01-01,FALSE,Global price of Aluminum,no,logdiff,mean
PINDUINDEXM,fred,m,Global price of Industrial Materials index,Global price of Industrial Materials indexs,1992-01-01,FALSE,Global price of Industrial Materials indexs,no,logdiff,mean
PMETAINDEXM,fred,m,Global price of Metal index,Global price of Metal index,1992-01-01,FALSE,Global price of Metal index,no,logdiff,mean
PNICKUSDM,fred,m,Global price of Nickel,Global price of Nickel,1990-01-01,FALSE,Global price of Nickel,no,logdiff,mean
PWHEAMTUSDM,fred,m,Global price of Wheat,Global price of Wheat,1990-01-01,FALSE,Global price of Wheat,no,logdiff,mean
