ticker,url,comment,group
eggs,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.4,real
livestock,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.4,real
milk,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.4,real
api,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.3,real
bci_CHN,https://data.oecd.org/leadind/business-confidence-index-bci.htm,Поиск по тикеру,survey
bci_EA19,https://data.oecd.org/leadind/business-confidence-index-bci.htm,Поиск по тикеру,survey
bci_G7,https://data.oecd.org/leadind/business-confidence-index-bci.htm,Поиск по тикеру,survey
bci_OECD,https://data.oecd.org/leadind/business-confidence-index-bci.htm,Поиск по тикеру,survey
bci_OECDE,https://data.oecd.org/leadind/business-confidence-index-bci.htm,Поиск по тикеру,survey
bci_RUS,https://data.oecd.org/leadind/business-confidence-index-bci.htm,Поиск по тикеру,survey
bci_USA,https://data.oecd.org/leadind/business-confidence-index-bci.htm,Поиск по тикеру,survey
cgi_CHN,https://data.oecd.org/leadind/consumer-confidence-index-cci.htm,Поиск по тикеру,survey
cgi_EA19,https://data.oecd.org/leadind/consumer-confidence-index-cci.htm,Поиск по тикеру,survey
cgi_G7,https://data.oecd.org/leadind/consumer-confidence-index-cci.htm,Поиск по тикеру,survey
cgi_OECD,https://data.oecd.org/leadind/consumer-confidence-index-cci.htm,Поиск по тикеру,survey
cgi_OECDE,https://data.oecd.org/leadind/consumer-confidence-index-cci.htm,Поиск по тикеру,survey
cgi_RUS,https://data.oecd.org/leadind/consumer-confidence-index-cci.htm,Поиск по тикеру,survey
cgi_USA,https://data.oecd.org/leadind/consumer-confidence-index-cci.htm,Поиск по тикеру,survey
cli_CHN,https://data.oecd.org/leadind/composite-leading-indicator-cli.htm,Поиск по тикеру,survey
cli_EA19,https://data.oecd.org/leadind/composite-leading-indicator-cli.htm,Поиск по тикеру,survey
cli_G7,https://data.oecd.org/leadind/composite-leading-indicator-cli.htm,Поиск по тикеру,survey
cli_OECD,https://data.oecd.org/leadind/composite-leading-indicator-cli.htm,Поиск по тикеру,survey
cli_OECDE,https://data.oecd.org/leadind/composite-leading-indicator-cli.htm,Поиск по тикеру,survey
cli_RUS,https://data.oecd.org/leadind/composite-leading-indicator-cli.htm,Поиск по тикеру,survey
cli_USA,https://data.oecd.org/leadind/composite-leading-indicator-cli.htm,Поиск по тикеру,survey
cons_nom,https://rosstat.gov.ru/accounts,"ВВП кварталы использование (с 1995 г.), Таблица 2",real
cons_real,https://rosstat.gov.ru/accounts,"ВВП кварталы использование (с 1995 г.), Таблица 6",real
construction_nom,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.7,real
cpi,https://rosstat.gov.ru/compendium/document/50802,Раздел 3.5,real
cpi_alcohol,https://rosstat.gov.ru/compendium/document/50802,Раздел 3.5,real
cpi_food,https://rosstat.gov.ru/compendium/document/50802,Раздел 3.5,real
DCOILBRENTEU,https://fred.stlouisfed.org/series/DCOILBRENTEU,"",financial
deficit,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.11,real
depo,https://cbr.ru/hd_base/deposit_base/,Ставка овернайт,financial
employed,"",Слитые ряды employed_15_72 (до декабря 2016) и employed_15 (с января 2017),real
employed_15,https://rosstat.gov.ru/compendium/document/50802,Раздел 4.1,real
employed_15_72,https://rosstat.gov.ru/compendium/document/50802,Раздел 4.1 (до декабря 2017),real
employer_demands,https://rosstat.gov.ru/compendium/document/50802,Раздел 4.1,real
export_nom,https://rosstat.gov.ru/accounts,"ВВП кварталы использование (с 1995 г.), Таблица 2",real
export_real,https://rosstat.gov.ru/accounts,"ВВП кварталы использование (с 1995 г.), Таблица 6",real
export_usd,https://cbr.ru/statistics/macro_itm/svs/,Платежный баланс Российской Федерации (cтандартные компоненты),financial
fer,https://cbr.ru/hd_base/mrrf/mrrf_7d/,"",financial
freight_loading_railway,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.5,real
freight_turnover,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.5,real
freight_turnover_commercial,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.5,real
gdp_nom,https://rosstat.gov.ru/compendium/document/50802,Раздел 1.1,real
gdp_real,https://rosstat.gov.ru/accounts,"ВВП кварталы использование (с 1995 г.), Таблица 6",real
gross_profit_nom,https://rosstat.gov.ru/accounts,"ВВП кварталы по доходам (с 1995 г.), Таблица 2",real
igrea,https://www.dallasfed.org/research/igrea,"",financial
IMOEX,https://www.moex.com/ru/index/IMOEX,"",financial
import_nom,https://rosstat.gov.ru/accounts,"ВВП кварталы использование (с 1995 г.), Таблица 2",real
import_real,https://rosstat.gov.ru/accounts,"ВВП кварталы использование (с 1995 г.), Таблица 6",real
import_usd,https://cbr.ru/statistics/macro_itm/svs/,Платежный баланс Российской Федерации (cтандартные компоненты),financial
income_real,https://rosstat.gov.ru/compendium/document/50802,Раздел 4.4,real
income_real_disp,https://rosstat.gov.ru/compendium/document/50802,Раздел 4.4,real
indebtedness_cred,https://rosstat.gov.ru/compendium/document/50802,Раздел 2.4,real
