date,value,update_date
1992-09-01,105.249,2021-06-01
1992-10-01,104.9929,2021-06-01
1992-11-01,104.7062,2021-06-01
1992-12-01,104.4172,2021-06-01
1993-01-01,104.1482,2021-06-01
1993-02-01,103.9,2021-06-01
1993-03-01,103.6477,2021-06-01
1993-04-01,103.3641,2021-06-01
1993-05-01,102.7124,2021-06-01
1993-06-01,102.0239,2021-06-01
1993-07-01,101.3097,2021-06-01
1993-08-01,100.5886,2021-06-01
1993-09-01,99.87349,2021-06-01
1993-10-01,99.18057,2021-06-01
1993-11-01,98.52715,2021-06-01
1993-12-01,97.94942,2021-06-01
1994-01-01,97.48586,2021-06-01
1994-02-01,97.15243,2021-06-01
1994-03-01,96.95904,2021-06-01
1994-04-01,96.90367,2021-06-01
1994-05-01,96.95907,2021-06-01
1994-06-01,97.08761,2021-06-01
1994-07-01,97.2541,2021-06-01
1994-08-01,97.43407,2021-06-01
1994-09-01,97.6245,2021-06-01
1994-10-01,97.82868,2021-06-01
1994-11-01,98.04165,2021-06-01
1994-12-01,98.25278,2021-06-01
1995-01-01,98.45571,2021-06-01
1995-02-01,98.63422,2021-06-01
1995-03-01,98.77173,2021-06-01
1995-04-01,98.85534,2021-06-01
1995-05-01,98.87149,2021-06-01
1995-06-01,98.8273,2021-06-01
1995-07-01,98.74736,2021-06-01
1995-08-01,98.65731,2021-06-01
1995-09-01,98.56889,2021-06-01
1995-10-01,98.44643,2021-06-01
1995-11-01,98.35958,2021-06-01
1995-12-01,98.32044,2021-06-01
1996-01-01,98.32914,2021-06-01
1996-02-01,98.40363,2021-06-01
1996-03-01,98.5668,2021-06-01
1996-04-01,98.81546,2021-06-01
1996-05-01,99.11987,2021-06-01
1996-06-01,99.45187,2021-06-01
1996-07-01,99.79745,2021-06-01
1996-08-01,100.1437,2021-06-01
1996-09-01,100.4702,2021-06-01
1996-10-01,100.7742,2021-06-01
1996-11-01,101.0551,2021-06-01
1996-12-01,101.3258,2021-06-01
1997-01-01,101.584,2021-06-01
1997-02-01,101.8047,2021-06-01
1997-03-01,101.9905,2021-06-01
1997-04-01,102.1723,2021-06-01
1997-05-01,102.3534,2021-06-01
1997-06-01,102.4851,2021-06-01
1997-07-01,102.4893,2021-06-01
1997-08-01,102.2839,2021-06-01
1997-09-01,101.8543,2021-06-01
1997-10-01,101.2311,2021-06-01
1997-11-01,100.4973,2021-06-01
1997-12-01,99.74908,2021-06-01
1998-01-01,99.04123,2021-06-01
1998-02-01,98.38851,2021-06-01
1998-03-01,97.77833,2021-06-01
1998-04-01,97.21358,2021-06-01
1998-05-01,96.72193,2021-06-01
1998-06-01,96.35332,2021-06-01
1998-07-01,96.12953,2021-06-01
1998-08-01,96.04459,2021-06-01
1998-09-01,96.09192,2021-06-01
1998-10-01,96.25816,2021-06-01
1998-11-01,96.53046,2021-06-01
1998-12-01,96.90391,2021-06-01
1999-01-01,97.38867,2021-06-01
1999-02-01,97.97861,2021-06-01
1999-03-01,98.64902,2021-06-01
1999-04-01,99.34686,2021-06-01
1999-05-01,100.0159,2021-06-01
1999-06-01,100.6232,2021-06-01
1999-07-01,101.1533,2021-06-01
1999-08-01,101.6217,2021-06-01
1999-09-01,102.064,2021-06-01
1999-10-01,102.5138,2021-06-01
1999-11-01,102.9827,2021-06-01
1999-12-01,103.4527,2021-06-01
2000-01-01,103.8788,2021-06-01
2000-02-01,104.2098,2021-06-01
2000-03-01,104.4051,2021-06-01
2000-04-01,104.433,2021-06-01
2000-05-01,104.3361,2021-06-01
2000-06-01,104.1589,2021-06-01
2000-07-01,103.9254,2021-06-01
2000-08-01,103.6255,2021-06-01
2000-09-01,103.2311,2021-06-01
2000-10-01,102.7535,2021-06-01
2000-11-01,102.2308,2021-06-01
2000-12-01,101.7213,2021-06-01
2001-01-01,101.2773,2021-06-01
2001-02-01,100.8958,2021-06-01
2001-03-01,100.5613,2021-06-01
2001-04-01,100.2585,2021-06-01
2001-05-01,99.95453,2021-06-01
2001-06-01,99.61341,2021-06-01
2001-07-01,99.23194,2021-06-01
2001-08-01,98.83827,2021-06-01
2001-09-01,98.46054,2021-06-01
2001-10-01,98.144,2021-06-01
2001-11-01,97.93124,2021-06-01
2001-12-01,97.84409,2021-06-01
2002-01-01,97.87421,2021-06-01
2002-02-01,97.99224,2021-06-01
2002-03-01,98.15871,2021-06-01
2002-04-01,98.30647,2021-06-01
2002-05-01,98.39198,2021-06-01
2002-06-01,98.41794,2021-06-01
2002-07-01,98.42176,2021-06-01
2002-08-01,98.43388,2021-06-01
2002-09-01,98.46291,2021-06-01
2002-10-01,98.50904,2021-06-01
2002-11-01,98.57628,2021-06-01
2002-12-01,98.6748,2021-06-01
2003-01-01,98.79247,2021-06-01
2003-02-01,98.91077,2021-06-01
2003-03-01,99.01663,2021-06-01
2003-04-01,99.1297,2021-06-01
2003-05-01,99.26215,2021-06-01
2003-06-01,99.40272,2021-06-01
2003-07-01,99.5325,2021-06-01
2003-08-01,99.64618,2021-06-01
2003-09-01,99.73093,2021-06-01
2003-10-01,99.79623,2021-06-01
2003-11-01,99.85882,2021-06-01
2003-12-01,99.92195,2021-06-01
2004-01-01,99.97627,2021-06-01
2004-02-01,100.0065,2021-06-01
2004-03-01,99.99809,2021-06-01
2004-04-01,99.94261,2021-06-01
2004-05-01,99.86442,2021-06-01
2004-06-01,99.78242,2021-06-01
2004-07-01,99.71211,2021-06-01
2004-08-01,99.6526,2021-06-01
2004-09-01,99.58248,2021-06-01
2004-10-01,99.48951,2021-06-01
2004-11-01,99.37275,2021-06-01
2004-12-01,99.26987,2021-06-01
2005-01-01,99.21708,2021-06-01
2005-02-01,99.21565,2021-06-01
2005-03-01,99.25542,2021-06-01
2005-04-01,99.32887,2021-06-01
2005-05-01,99.4452,2021-06-01
2005-06-01,99.61638,2021-06-01
2005-07-01,99.82688,2021-06-01
2005-08-01,100.0549,2021-06-01
2005-09-01,100.2772,2021-06-01
2005-10-01,100.4968,2021-06-01
2005-11-01,100.7496,2021-06-01
2005-12-01,101.0556,2021-06-01
2006-01-01,101.4072,2021-06-01
2006-02-01,101.773,2021-06-01
2006-03-01,102.1286,2021-06-01
2006-04-01,102.4575,2021-06-01
2006-05-01,102.7298,2021-06-01
2006-06-01,102.9513,2021-06-01
2006-07-01,103.1264,2021-06-01
2006-08-01,103.258,2021-06-01
2006-09-01,103.3655,2021-06-01
2006-10-01,103.4907,2021-06-01
2006-11-01,103.6481,2021-06-01
2006-12-01,103.8214,2021-06-01
2007-01-01,103.991,2021-06-01
2007-02-01,104.1632,2021-06-01
2007-03-01,104.3293,2021-06-01
2007-04-01,104.4742,2021-06-01
2007-05-01,104.5889,2021-06-01
2007-06-01,104.6787,2021-06-01
2007-07-01,104.7348,2021-06-01
2007-08-01,104.7477,2021-06-01
2007-09-01,104.723,2021-06-01
2007-10-01,104.6465,2021-06-01
2007-11-01,104.4985,2021-06-01
2007-12-01,104.2726,2021-06-01
2008-01-01,103.9876,2021-06-01
2008-02-01,103.6748,2021-06-01
2008-03-01,103.3179,2021-06-01
2008-04-01,102.8546,2021-06-01
2008-05-01,102.1803,2021-06-01
2008-06-01,101.1785,2021-06-01
2008-07-01,99.82304,2021-06-01
2008-08-01,98.20799,2021-06-01
2008-09-01,96.51833,2021-06-01
2008-10-01,94.94954,2021-06-01
2008-11-01,93.65022,2021-06-01
2008-12-01,92.67632,2021-06-01
2009-01-01,92.02559,2021-06-01
2009-02-01,91.66857,2021-06-01
2009-03-01,91.5769,2021-06-01
2009-04-01,91.71011,2021-06-01
2009-05-01,92.02025,2021-06-01
2009-06-01,92.44834,2021-06-01
2009-07-01,92.95126,2021-06-01
2009-08-01,93.50574,2021-06-01
2009-09-01,94.09391,2021-06-01
2009-10-01,94.70461,2021-06-01
2009-11-01,95.32258,2021-06-01
2009-12-01,95.93678,2021-06-01
2010-01-01,96.54303,2021-06-01
2010-02-01,97.13667,2021-06-01
2010-03-01,97.71857,2021-06-01
2010-04-01,98.27409,2021-06-01
2010-05-01,98.80001,2021-06-01
2010-06-01,99.31969,2021-06-01
2010-07-01,99.84682,2021-06-01
2010-08-01,100.3823,2021-06-01
2010-09-01,100.9257,2021-06-01
2010-10-01,101.4691,2021-06-01
2010-11-01,101.9939,2021-06-01
2010-12-01,102.481,2021-06-01
2011-01-01,102.9051,2021-06-01
2011-02-01,103.2461,2021-06-01
2011-03-01,103.4833,2021-06-01
2011-04-01,103.5984,2021-06-01
2011-05-01,103.5995,2021-06-01
2011-06-01,103.5257,2021-06-01
2011-07-01,103.4148,2021-06-01
2011-08-01,103.2982,2021-06-01
2011-09-01,103.2077,2021-06-01
2011-10-01,103.1299,2021-06-01
2011-11-01,103.0359,2021-06-01
2011-12-01,102.9011,2021-06-01
2012-01-01,102.7082,2021-06-01
2012-02-01,102.4367,2021-06-01
2012-03-01,102.0653,2021-06-01
2012-04-01,101.6113,2021-06-01
2012-05-01,101.1301,2021-06-01
2012-06-01,100.7026,2021-06-01
2012-07-01,100.3688,2021-06-01
2012-08-01,100.1228,2021-06-01
2012-09-01,99.9384,2021-06-01
2012-10-01,99.7934,2021-06-01
2012-11-01,99.68165,2021-06-01
2012-12-01,99.59541,2021-06-01
2013-01-01,99.51591,2021-06-01
2013-02-01,99.42458,2021-06-01
2013-03-01,99.32739,2021-06-01
2013-04-01,99.25318,2021-06-01
2013-05-01,99.23099,2021-06-01
2013-06-01,99.27686,2021-06-01
2013-07-01,99.38962,2021-06-01
2013-08-01,99.54623,2021-06-01
2013-09-01,99.72192,2021-06-01
2013-10-01,99.89108,2021-06-01
2013-11-01,100.0463,2021-06-01
2013-12-01,100.1966,2021-06-01
2014-01-01,100.3481,2021-06-01
2014-02-01,100.5193,2021-06-01
2014-03-01,100.7107,2021-06-01
2014-04-01,100.9108,2021-06-01
2014-05-01,101.0885,2021-06-01
2014-06-01,101.1872,2021-06-01
2014-07-01,101.1574,2021-06-01
2014-08-01,100.9879,2021-06-01
2014-09-01,100.6937,2021-06-01
2014-10-01,100.3136,2021-06-01
2014-11-01,99.90858,2021-06-01
2014-12-01,99.55006,2021-06-01
2015-01-01,99.30416,2021-06-01
2015-02-01,99.19122,2021-06-01
2015-03-01,99.16174,2021-06-01
2015-04-01,99.16647,2021-06-01
2015-05-01,99.14169,2021-06-01
2015-06-01,99.04987,2021-06-01
2015-07-01,98.88932,2021-06-01
2015-08-01,98.69051,2021-06-01
2015-09-01,98.48838,2021-06-01
2015-10-01,98.29944,2021-06-01
2015-11-01,98.13416,2021-06-01
2015-12-01,98.01781,2021-06-01
2016-01-01,97.98898,2021-06-01
2016-02-01,98.07211,2021-06-01
2016-03-01,98.25833,2021-06-01
2016-04-01,98.5065,2021-06-01
2016-05-01,98.77627,2021-06-01
2016-06-01,99.0398,2021-06-01
2016-07-01,99.2846,2021-06-01
2016-08-01,99.51859,2021-06-01
2016-09-01,99.74825,2021-06-01
2016-10-01,99.9753,2021-06-01
2016-11-01,100.1909,2021-06-01
2016-12-01,100.3848,2021-06-01
2017-01-01,100.5227,2021-06-01
2017-02-01,100.5904,2021-06-01
2017-03-01,100.5965,2021-06-01
2017-04-01,100.5629,2021-06-01
2017-05-01,100.5132,2021-06-01
2017-06-01,100.4811,2021-06-01
2017-07-01,100.4994,2021-06-01
2017-08-01,100.5743,2021-06-01
2017-09-01,100.6936,2021-06-01
2017-10-01,100.84,2021-06-01
2017-11-01,100.9999,2021-06-01
2017-12-01,101.1513,2021-06-01
2018-01-01,101.2765,2021-06-01
2018-02-01,101.3545,2021-06-01
2018-03-01,101.3928,2021-06-01
2018-04-01,101.4014,2021-06-01
2018-05-01,101.3816,2021-06-01
2018-06-01,101.3238,2021-06-01
2018-07-01,101.2277,2021-06-01
2018-08-01,101.0917,2021-06-01
2018-09-01,100.9193,2021-06-01
2018-10-01,100.7058,2021-06-01
2018-11-01,100.4797,2021-06-01
2018-12-01,100.2998,2021-06-01
2019-01-01,100.2052,2021-06-01
2019-02-01,100.1812,2021-06-01
2019-03-01,100.1996,2021-06-01
2019-04-01,100.2293,2021-06-01
2019-05-01,100.2407,2021-06-01
2019-06-01,100.2291,2021-06-01
2019-07-01,100.2077,2021-06-01
2019-08-01,100.1863,2021-06-01
2019-09-01,100.1748,2021-06-01
2019-10-01,100.1521,2021-06-01
2019-11-01,100.0891,2021-06-01
2019-12-01,99.94935,2021-06-01
2020-01-01,99.71225,2021-06-01
2020-02-01,99.40833,2021-06-01
2020-03-01,98.07125,2021-06-01
2020-04-01,91.02823,2021-06-01
2020-05-01,93.13928,2021-06-01
2020-06-01,98.0004,2021-06-01
2020-07-01,98.7903,2021-06-01
2020-08-01,98.86152,2021-06-01
2020-09-01,98.95415,2021-06-01
2020-10-01,99.07896,2021-06-01
2020-11-01,99.24738,2021-06-01
2020-12-01,99.45161,2021-06-01
2021-01-01,99.68519,2021-06-01
2021-02-01,99.94279,2021-06-01
2021-03-01,100.2125,2021-06-01
2021-04-01,100.4811,2021-06-01
