date,value,update_date
1968-01-01,-12.37751,2021-11-28
1968-02-01,-9.05596,2021-11-28
1968-03-01,-10.89161,2021-11-28
1968-04-01,-11.01697,2021-11-28
1968-05-01,-10.28311,2021-11-28
1968-06-01,-7.33373,2021-11-28
1968-07-01,-11.96272,2021-11-28
1968-08-01,-15.59221,2021-11-28
1968-09-01,-14.82286,2021-11-28
1968-10-01,-19.75095,2021-11-28
1968-11-01,-8.50214,2021-11-28
1968-12-01,-16.18349,2021-11-28
1969-01-01,-18.54553,2021-11-28
1969-02-01,-17.7545,2021-11-28
1969-03-01,-16.63748,2021-11-28
1969-04-01,-22.4801,2021-11-28
1969-05-01,-27.37505,2021-11-28
1969-06-01,-18.40463,2021-11-28
1969-07-01,-26.19463,2021-11-28
1969-08-01,-21.60454,2021-11-28
1969-09-01,-14.04565,2021-11-28
1969-10-01,-6.28296,2021-11-28
1969-11-01,-0.5895,2021-11-28
1969-12-01,4.06332,2021-11-28
1970-01-01,25.59387,2021-11-28
1970-02-01,39.84258,2021-11-28
1970-03-01,53.92423,2021-11-28
1970-04-01,55.23586,2021-11-28
1970-05-01,56.7816,2021-11-28
1970-06-01,52.28059,2021-11-28
1970-07-01,47.85926,2021-11-28
1970-08-01,53.77868,2021-11-28
1970-09-01,59.10246,2021-11-28
1970-10-01,59.54363,2021-11-28
1970-11-01,54.40214,2021-11-28
1970-12-01,16.7437,2021-11-28
1971-01-01,7.95738,2021-11-28
1971-02-01,-15.99307,2021-11-28
1971-03-01,-17.74433,2021-11-28
1971-04-01,-23.00182,2021-11-28
1971-05-01,-29.72845,2021-11-28
1971-06-01,-53.31997,2021-11-28
1971-07-01,-59.53771,2021-11-28
1971-08-01,-63.4894,2021-11-28
1971-09-01,-50.05157,2021-11-28
1971-10-01,-59.77663,2021-11-28
1971-11-01,-43.53991,2021-11-28
1971-12-01,-48.01407,2021-11-28
1972-01-01,-60.01017,2021-11-28
1972-02-01,-66.86695,2021-11-28
1972-03-01,-69.44108,2021-11-28
1972-04-01,-60.23841,2021-11-28
1972-05-01,-64.18477,2021-11-28
1972-06-01,-66.92593,2021-11-28
1972-07-01,-56.73428,2021-11-28
1972-08-01,-63.09885,2021-11-28
1972-09-01,-8.75491,2021-11-28
1972-10-01,-5.86322,2021-11-28
1972-11-01,-4.72097,2021-11-28
1972-12-01,9.27921,2021-11-28
1973-01-01,20.75379,2021-11-28
1973-02-01,29.4976,2021-11-28
1973-03-01,38.61307,2021-11-28
1973-04-01,43.01266,2021-11-28
1973-05-01,50.28843,2021-11-28
1973-06-01,57.74627,2021-11-28
1973-07-01,59.21196,2021-11-28
1973-08-01,69.73057,2021-11-28
1973-09-01,81.15853,2021-11-28
1973-10-01,107.08135,2021-11-28
1973-11-01,104.11097,2021-11-28
1973-12-01,114.11619,2021-11-28
1974-01-01,105.64701,2021-11-28
1974-02-01,88.70618,2021-11-28
1974-03-01,98.2915,2021-11-28
1974-04-01,86.31611,2021-11-28
1974-05-01,104.07282,2021-11-28
1974-06-01,82.40327,2021-11-28
1974-07-01,62.10044,2021-11-28
1974-08-01,58.73468,2021-11-28
1974-09-01,60.48281,2021-11-28
1974-10-01,61.63684,2021-11-28
1974-11-01,59.05131,2021-11-28
1974-12-01,21.88781,2021-11-28
1975-01-01,-0.67705,2021-11-28
1975-02-01,-9.62504,2021-11-28
1975-03-01,-26.42845,2021-11-28
1975-04-01,-41.18246,2021-11-28
1975-05-01,-43.84853,2021-11-28
1975-06-01,-36.70408,2021-11-28
1975-07-01,-41.68859,2021-11-28
1975-08-01,-45.40165,2021-11-28
1975-09-01,-34.19288,2021-11-28
1975-10-01,-33.78455,2021-11-28
1975-11-01,-23.88747,2021-11-28
1975-12-01,-35.51053,2021-11-28
1976-01-01,-45.81636,2021-11-28
1976-02-01,-50.07639,2021-11-28
1976-03-01,-32.34803,2021-11-28
1976-04-01,-28.76019,2021-11-28
1976-05-01,-19.16722,2021-11-28
1976-06-01,-16.03984,2021-11-28
1976-07-01,-21.35033,2021-11-28
1976-08-01,-23.83538,2021-11-28
1976-09-01,-24.56918,2021-11-28
1976-10-01,-20.65921,2021-11-28
1976-11-01,-19.23086,2021-11-28
